start_date,end_date,alternative,size,treatment,ffrtarget,target_before,target_change,decision,text
1988-06-29,1988-06-30,b,0,U,7.4375,7.4375,0.0625,c,"Alternative B would continue to specify adjustment plus seasonal borrowing at the discount window of $550 million. Federal funds are expected to trade in a range around 7-1/2 percent or a little below under alternative B and would move up toward the 8 percent area under alternative C and down to 7-1/4 percent or a bit below under alternative A. (17) The table below gives June-to-September growth of the monetary 2 aggregates anticipated under the three alternatives. -14- Growth from June to September M2 6-1/4 5-1/2 4 M3 7-1/4 7 6-1/2 M1 4-1/2 3-1/2 1-1/2 Associated federal funds rate range 5 to 9 5 to 9 6 to 10 (18) Market rates appear to have incorporated the recent firming of policy, which would be retained under alternative B, and most rates should remain near current levels over the near term. (19) Under alternative B, the widening of opportunity costs over the spring would continue to exert a restraining influence on M2 and M1 in the months ahead. (20) M3, under alternative B, is expected to pick up a little over June to September from the pace of recent months as outflows from money funds abate with the stable interest rates assumed under this alternative."
1988-06-29,1988-06-30,c,0.5,T,7.4375,7.4375,0.0625,c,"Alternative C would specify a borrowing level of $750 million. Federal funds are expected to trade in a range around 7-1/2 percent or a little below under alternative B and would move up toward the 8 percent area under alternative C and down to 7-1/4 percent or a bit below under alternative A. (17) The table below gives June-to-September growth of the monetary 2 aggregates anticipated under the three alternatives. (21) The market does not appear to be anticipating an immediate further monetary tightening as contemplated in alternative C. Thus, the half-point increase in the funds rate under this alternative would prompt other private short-term rates to move up by a similar amount. (22) The boost in opportunity costs under alternative C would reduce monetary growth substantially below the pace of recent months."
1988-08-16,1988-08-16,b,0,U,8.125,8.125,0.0,b,"Alternative B maintains the current $600 million assumption for adjustment plus seasonal borrowing and alternative C increases intended borrowing to $800 million. Under alternative B, a federal funds rate of around 8 percent would be consistent with the average relationship that prevailed over the first half of this year between borrowing and the funds rate-discount rate spread. However, expectations of a further tightening of policy could persist under alternative B, causing funds to trade somewhat higher, in an 8 to 8-1/4 percent range. C Growth from June to September M2 3-1/2 3 M3 5-1/2 5-1/4 M1 5-1/2 4-3/4 Implied growth from July to September M2 3-3/4 3 M3 5-1/2 5 Ml 3-3/4 2-3/4 Associated federal funds rate range 6 to 10 6-1/2 to 10-1/2 (9) Financial markets in recent days have largely built in a federal funds rate of around 8-1/8 percent, although some further adjust- ments may occur under alternative B. (10) M2 under alternative B is expected to increase at a 3-3/4 percent pace over the last two months of the quarter, slightly higher than in July. (12) Under alternative B, average M3 growth over August and September is projected to stay at its 5-1/2 percent July pace, despite a pickup in bank and thrift credit."
1988-08-16,1988-08-16,c,0.5,T,8.125,8.125,0.0,b,"Alternative B maintains the current $600 million assumption for adjustment plus seasonal borrowing and alternative C increases intended borrowing to $800 million. Federal funds likely would trade between 8-1/2 and 8-3/4 percent under alternative C, perhaps more toward the lower end of this range if the additional firming acted to dispel expectations of still further near-term policy moves. (13) The tightening of reserve positions under alternative C immediately following the discount rate hike would be somewhat surprising to market participants and the associated 1/2 percentage point increase in the funds rate probably would show through nearly fully in private money market rates. (14) With the higher interest rates of alternative C, M2 is pro- jected to record only 3 percent growth over August and September. Growth of M3, by contrast, would probably not be damped enough under alternative C to move below its midpoint, even by year-end. Long- term debt issuance by businesses likely would be more restrained under alternative C, shifting some business credit demands to banks, despite a probable further increase in the prime rate."
1988-09-20,1988-09-20,a,-0.5,E,8.125,8.125,0.0,b,"The funds rate would fall to the 7-1/2 to 7-3/4 percent area under alternative A and rise to the 8-1/2 to 8-3/4 percent area under alternative C. (8) The table below presents growth rates of the monetary aggre- gates for the August-to-December period expected under the three alterna- tives. (13) Under alternative A, M2 and M3 would strengthen over the August-to-December period."
1988-09-20,1988-09-20,b,0,U,8.125,8.125,0.0,b,"Under alternative B, the federal funds rate would be expected to continue to trade generally in the 8 to 8-1/4 percent area. (10) M2 is expected to continue to grow at a 3 percent annual rate from August to December under alternative B, with particular weakness in liquid deposits; M1 is projected to increase at only a 1/2 percent annual rate over this period. (11) M3 likely would continue to grow at a 5 percent rate under alternative B, and its velocity would edge up again in the fourth quarter."
1988-09-20,1988-09-20,c,0.5,T,8.125,8.125,0.0,b,"The funds rate would fall to the 7-1/2 to 7-3/4 percent area under alternative A and rise to the 8-1/2 to 8-3/4 percent area under alternative C. (8) The table below presents growth rates of the monetary aggre- gates for the August-to-December period expected under the three alterna- tives. (12) With markets not now expecting a near-term tightening of policy, the rise in the federal funds rate under the firmer reserve condi- tions of alternative C would be about matched by increases in other short- term rates--perhaps including the prime rate. The further rise in oppor- tunity costs under alternative C would likely damp M2 growth to only a 2 percent rate over the August-to-December period, and its M1 component would be expected to decline a little."
1988-11-01,1988-11-01,a,-0.5,E,8.125,8.125,0.0,b,"(14) Under alternative A, money market interest rates would decline about 1/2 percentage point, with the 3-month Treasury bill drop- ping to a little below 7 percent."
1988-11-01,1988-11-01,b,0,U,8.125,8.125,0.0,b,"Under alternative B, reserve paths would continue to be built with seasonal plus adjustment borrowing of $600 million, while under alternatives A and C reserve paths would incorporate borrowing levels of $400 million and $800 million, respectively. -11- (11) Under alternative B, M2 growth would strengthen modest- ly--to a 3 percent rate--from the 1-1/4 percent pace of September and October, largely reflecting some turnaround in overnight RPs and Eurodollars. (12) M3 growth is expected to pick up to a 6-1/2 percent rate over November and December under alternative B, implying quarterly average growth of 4-1/2 percent in the current quarter and a further rise in its velocity--at a 2 percent rate."
1988-11-01,1988-11-01,c,0.5,T,8.125,8.125,0.0,b,"(16) With little anticipation of a near-term tightening of policy remaining in the market, short-term interest rates would climb about 1/2 percentage point under alternative C. -14- (17) Under alternative C, M2 would expand at only a 2 percent rate over the remainder of the year."
1988-12-13,1988-12-14,b,0,U,8.375,8.375,0.3125,c,"Under Alternative B, a borrowing objective of $400 million would be retained, and federal funds would be expected to settle mainly into an 8-3/8 to 8-1/2 percent range, though slightly higher rates are possible through year-end. C Growth from November to March M2 4 3 M3 7 6-1/2 M1 1-1/2 0 Associated federal funds rate range 6 to 10 7 to 11 (10) Short-term market interest rates are likely to retreat some- what under alternative B. (11) From a November base, M2 growth is expected to average 4 per- cent at an annual rate through March under alternative B, maintaining its average pace of October and November. (12) M3 growth of 7 percent at an annual rate is anticipated from November to March under alternative B, somewhat above the average of the last two months. In the household sector, mortgage borrowing is likely to continue near the pace of the last few quarters as home sales are anticipated to hold close to recent levels for several months, especially to the extent that interest rates stabilize or ease off under alternative B. Consumer credit growth may pick up tempo- rarily early next year if, as expected, auto makers step up their sales promotions to boost demand."
1988-12-13,1988-12-14,c,0.5,T,8.375,8.375,0.3125,c,"Alternative C incor- porates an increase in intended discount borrowing to $600 million, with the federal funds rate likely to move up to around 8-7/8 to 9 percent. Under both alternatives, M2 growth over coming months would be relatively restrained, reflecting recent and, under alternative C, prospective increases in mar- ket interest rates. (14) Although market rates incorporate some near-term firming of policy, an immediate rise in federal funds to the 8-7/8 to 9 percent area associated with alternative C likely would elicit some further increase in short-term market interest rates. (15) M2 growth probably would be held down to a 3 percent annual rate from November to March under alternative C, placing this aggregate just at the lower end of its tentative 1989 target range."
1989-02-07,1989-02-08,b,0,U,9.0,9.0,0.125,b,"With funds continuing to trade at or a little above 9 percent, as expected under alternative B, some of the rate increases registered most recently may unwind, with Treasury bill rates moving back to around 8-3/8 percent or a little below. As maintaining the reserve pressures of alternative B causes international investors to begin recon- sidering the likelihood of an imminent U.S. monetary policy tightening, the value of the dollar could begin to slip. I I i I I I I I I I I I I I I I I I I I I I O N D J F M A M J J A S O N D J F M A M J J A S O N D 7800 10200 9900 9600 -1 9300 -- 9000 -- 8700 -- 8400 -- 8100 I i I 1987 1988 1989 -18- (23) Increases in short-term market rates over recent months should restrain M2 growth through this quarter under alternative B. The 2 percent M2 growth of alternative B from December to March implies quarterly average growth of only 3 percent for this aggregate. (24) M3 growth under alternative B should strengthen from its January lull to a 4-1/2 percent annual rate over February and March, bringing growth from December to March to a 3-1/2 percent annual rate."
1989-02-07,1989-02-08,c,0.5,T,9.0,9.0,0.125,b,"-15- Short-run policy alternatives (20) The two near-term policy alternatives presented involve adjustment plus seasonal discount borrowing of $600 million for alterna- tive B with funds trading at around 9 percent or a bit above, and borrow- ing of $800 million for alternative C with funds 1/2 percentage point higher."
1989-03-28,1989-03-28,a,-0.5,E,9.75,9.75,0.0,b,"Alternative A entails federal funds around 9-1/4 percent and borrowing of $300 million, and alternative C involves funds around 10-1/4 percent and borrowing of $700 million. (15) With the lower money market rates of alternative A, M2 growth would strengthen to a 4 percent pace, lifting it above the lower bound of its growth cone by June."
1989-03-28,1989-03-28,b,0,U,9.75,9.75,0.0,b,"Alternative B maintains the current degree of reserve market pres- sure, with federal funds trading around 9-3/4 percent or slightly higher in association with adjustment plus seasonal borrowing of $500 million. The funds rate range suggested for alternatives B and C is a per- centage point above the 7 to 11 percent range now in the directive, better centering the range on current (alternative B) or somewhat higher (alternative C) expected funds rates. C Growth from March to June M2 4 3 2 M3 5-1/2 5 4-1/2 M1 1 -1/2 -2 Growth from QIV'88 to June M2 3-1/4 2-3/4 2-1/4 M3 4-3/4 4-1/2 4-1/4 Ml 1/2 -1/4 -1 Associated federal funds rate ranges 7 to 11 8 to 12 8 to 12 (10) The existing structure of interest rates appears to incor- porate some expectation that monetary policy may be a little firmer in the near term than is assumed under alternative B. As a consequence, with federal funds continuing around 9-3/4 percent or even a little above under alternative B, money market rates might tend to decline a bit. (11) Growth in M2 under alternative B, at 3 percent from March to June, would be stronger on average than over the first three months of this year. (12)- M3 is projected to grow at a 5 percent annual rate over the March-to-June period under alternative B, somewhat faster than from December to March."
1989-03-28,1989-03-28,c,0.5,T,9.75,9.75,0.0,b,"Alternative A entails federal funds around 9-1/4 percent and borrowing of $300 million, and alternative C involves funds around 10-1/4 percent and borrowing of $700 million. The funds rate range suggested for alternatives B and C is a per- centage point above the 7 to 11 percent range now in the directive, better centering the range on current (alternative B) or somewhat higher (alternative C) expected funds rates. With the further rise in market rates, M2 would expand at a 2 percent annual rate over the March-to-June period under alternative C, only a bit faster than the December-to-March pace."
1989-05-16,1989-05-16,a,-0.25,E,9.75,9.75,0.0625,b,"Under alternative A, the funds rate would decline to the 9-1/4 to 9-3/8 percent area with borrowing around $400 million, and under alter- native C federal funds would rise to 10-1/4 to 10-3/8 percent and borrow- ing to $800 million. As a consequence, this aggregate through June should remain below the 3 percent lower bound of its target cone, even under the reduced interest rates of alternative A. However, if money market conditions of either alternative A or B were maintained through the summer, the waning effects of earlier increases in market interest rates, reinforced by the delayed upward adjustment of liquid deposit rates, likely would bring M2 within its annual range by the end of the third quarter, assuming spending and income growth close to the green- book projections. (12) The easing of the federal funds rate under alternative A would result in further declines in short-term rates of an additional 1/4 percentage point."
1989-05-16,1989-05-16,b,0,U,9.75,9.75,0.0625,b,"Under alternative B, funds would continue to trade in the 9-3/4 to 9-7/8 percent range; in light of recent experience, unchanged reserve market conditions are likely to involve borrowing of around $600 million. (11) Since market yields now appear to have built in some near- term easing of monetary policy, maintaining current conditions under alternative B probably would be associated with some back-up in short-term rates."
1989-05-16,1989-05-16,c,0.5,T,9.75,9.75,0.0625,b,"(13) The tightening of policy under alternative C would be a considerable surprise to financial markets, and would likely induce a substantial-backup in rates."
1989-07-05,1989-07-06,a,-0.5,E,9.5625,9.5625,-0.25,a,"The easing of policy under alternative A might be associated with less than the usual $200 million reduction in borrowing. As a consequence, the staff estimates that a funds rate in the 9 to 9-1/8 percent area under alternative A would be consis- tent with borrowing of perhaps around $550 million. (29) The extent of the easing of policy embodied in alternative A would be larger than expected by market participants for the very near term, although the current structure of market rates appears to reflect expectations of a drop in rates of this magnitude in the next few months. (30) With money market rates and opportunity costs dropping under alternative A, M2 growth would strengthen to an 8 percent rate over the June-to-September period, bringing this aggregate into the lower end of its annual target cone in August."
1989-07-05,1989-07-06,b,0,U,9.5625,9.5625,-0.25,a,"Under alternative B, federal funds would continue to trade in the 9-1/2 to 9-5/8 percent area. (27) Under alternative B, M2 would grow at a 6-1/2 percent rate over the June-to-September period, lifting this aggregate to the bottom of its annual target cone in September. (28) M3 growth would strengthen to a 7 percent clip over the June-to-September period under alternative B. Bank credit is projected to be somewhat stronger in coming months, partly reflecting the possibility of major corporate restructuring activity, which would be funded initially by banks."
1989-07-05,1989-07-06,c,0.25,T,9.5625,9.5625,-0.25,a,"Under alternative C, funds would trade around 10 percent or a bit higher with borrowings of $850 million. (31) The tightening of reserve conditions under alternative C would come as a surprise to the financial markets. (32) Under alternative C, M2 would expand over the June-to-Sep- tember period at a 5 percent rate and would remain below the lower bound of its annual growth cone in September (though on a trajectory to touch that lower bound in the fourth quarter)."
1989-08-22,1989-08-22,a,-0.5,E,9.0625,9.0625,0.0,b,"Under alternative A, a funds rate of 8-1/2 to 8-5/8 percent would be expected to be asso- ciated with borrowing of $450 million, while under alternative C, a funds rate of 9-1/2 to 9-5/8 percent would accompany borrowing of $650 million. Under alternative A, seasonal credit would have to drop significantly from current levels. (10) Alternative A's policy easing likely would engender general declines in market yields. A rally in bond markets also would seem probable, espe- cially because inflation concerns do not now seem to be weighing on market -10- psychology; however, should spending prove reasonably strong, there is some risk that such concerns would be reignited against the background of the further easing of policy in alternative A. The lower interest rates of alternative A could boost M2 growth to a 7-1/2 -16- percent rate in September, and, with comparable growth in the fourth quarter, to 4-3/4 percent for the year."
1989-08-22,1989-08-22,b,0,U,9.0625,9.0625,0.0,b,"Alternative B involves federal funds continuing to trade mostly in a 9 to 9-1/8 percent range and adjustment plus seasonal borrow- ing at the discount window remaining at $550 million. The stability of the funds rate around the current level under alternative B, especially if combined with incoming economic data in line with the greenbook forecast of sustained economic growth, would raise further doubts in securities markets about the likelihood of such an easing. Partly as a consequence, M2 growth under alternative B is projected to slow from around 8 percent in August to 6 percent in September, with the resolution impact accounting for per- haps as much as 1 percentage point of the moderation. On balance, the thrift situation is projected to damp M3 growth by about 2 percentage points in September to 5 percent under alternative B. (15) In the fourth quarter, if short-term interest rates remain around current levels, as in the staff economic forecast, M2 growth is seen at a 6-1/2 percent rate, a little above the projected pace of nominal GNP."
1989-08-22,1989-08-22,c,0.5,T,9.0625,9.0625,0.0,b,"Under alternative A, a funds rate of 8-1/2 to 8-5/8 percent would be expected to be asso- ciated with borrowing of $450 million, while under alternative C, a funds rate of 9-1/2 to 9-5/8 percent would accompany borrowing of $650 million. (11) Under alternative C, market interest rates would back up abruptly, given that the Federal Reserve policy tightening would come as a surprise. (17) Alternative C, by widening opportunity costs on liquid balances, would tend to retard M2 growth to a 4-1/2 percent rate in Sep- tember."
1989-10-03,1989-10-03,a,-0.5,E,9.0625,9.0625,0.0,b,"This also implies that, under alternative A, a decline of only $100 million in the borrowing objective--to $400 million--is likely to be associated with a decrease in the federal funds rate to around 8-1/2 percent; similarly, a rise of only $100 million in borrowing--to $600 million--would be asso- ciated with an increase in the federal funds rate to around 9-1/2 percent under alternative C. -12- (13) Under alternative A, short-term interest rates are likely to fall in tandem with the 50 basis point drop in the funds rate. M3 growth would strengthen to a 5 percent rate over the September-to-December period under alternative A. (14) The tightening of policy under alternative C would come as a surprise to the markets, especially in the present international environ- ment."
1989-10-03,1989-10-03,b,0,U,9.0625,9.0625,0.0,b,"Under alternative B, a federal funds rate of around 9 percent would be expected to be asso- ciated, at least initially, with adjustment plus seasonal borrowing of $500 million. -4 780 -- 770 -- 760 -1 750 "" -5% Chart 4 DEBT Billions of dollars - Actual Level * Projected Level O N D 1988 J F M A M J J A S O N D J 1989 1990 10000 9750 9500 9250 9000 8750 -10- (10) Interest rates would be expected to remain near current levels under alternative B. Markets do not now appear to be anticipating any near-term change in policy, and incoming economic data consistent with the staff greenbook forecast are not likely to provoke significant change in market sentiment. (11) Under alternative B, M2 is expected to grow at a 6-1/2 per- cent annual rate over the September-to-December period, a little below the recent pace. (12) Under alternative B, M3 growth would pick up a bit from its August and September pace to a 4-1/2 percent rate."
1989-10-03,1989-10-03,c,0.5,T,9.0625,9.0625,0.0,b,"This also implies that, under alternative A, a decline of only $100 million in the borrowing objective--to $400 million--is likely to be associated with a decrease in the federal funds rate to around 8-1/2 percent; similarly, a rise of only $100 million in borrowing--to $600 million--would be asso- ciated with an increase in the federal funds rate to around 9-1/2 percent under alternative C. M3 growth would strengthen to a 5 percent rate over the September-to-December period under alternative A. (14) The tightening of policy under alternative C would come as a surprise to the markets, especially in the present international environ- ment."
1989-11-14,1989-11-14,a,-0.5,E,8.5,8.5,0.0,b,"In alternative A, a federal funds rate around 8 percent would be accompanied by a borrowing assumption of $100 million. (10) The 1/2 percentage point reduction in the federal funds rate under alternative A would come sooner and be larger than market partici- pants are now expecting. Bond yields probably would decline noticeably under alternative A; market participants may interpret an immediate further easing as suggesting a more aggressive policy posture by the Federal Reserve, and perhaps an assessment of sub- stantial underlying weakening in the economy. However, should incoming data show the economy continuing to advance at its recent pace over coming months, in the context of a weaker dollar, the cumulative effect of past easing measures and alternative A over a short time might be viewed as setting the stage for a subsequent strengthening of the economy, raising questions about prospects for prices. (14) Under alternative A, growth of M2 and M3 through December would be boosted slightly by the associated decline in market interest rates and easing of lending conditions. (15) The recent easing, which would be maintained under alterna- tive B, and any additional easing under alternative A, would have impor- tant effects on money growth in the first quarter of next year. Alternative A likely would yield M2 growth noticeably above the upper end of the tentative growth cone, though well within the parallel lines."
1989-11-14,1989-11-14,b,0,U,8.5,8.5,0.0,b,"In alternative B, federal funds would continue to trade around 8-1/2 percent, a level expected to be associated with adjustment plus seasonal borrowing of $200 million. The exchange value of the dollar could exhibit -7- little net change over the intermeeting period under alternative B, though any policy tightening abroad may tend to exert downward pressure on the dollar. B Growth from September to December M2 8 7-1/2 M3 4-3/4 4-1/2 M1 8 7-1/2 Implied growth from Q4'88 to Q4'89 M2 4-1/2 4-1/2 M3 3-3/4 3-3/4 M1 1/2 1/2 Associated federal funds rate range 6 to 10 7 to 11 (12) Even under the unchanged interest rates of alternative B, M2 growth would remain close to last month's brisk pace, buoyed by recent declines in market interest rates and opportunity costs. B Levels in billions 1989 July 3117.6 3117.6 4003.3 4003.3 777.2 777.2 August 3136.4 3136.4 4010.6 4010.6 777.7 777.7 September 3156.0 3156.0 4013.5 4013.5 781.4 781.4 October 3176.9 3176.9 4027.7 4027.7 787.9 787.9 November 3198.1 3197.0 4044.1 4043.5 791.9 791.5 December 3219.3 3215.6 4061.3 4059.3 797.1 796.1 Monthly Growth Rates 1989 July 11.5 11.5 9.0 9.0 10.7 10.7 August 7.2 7.2 2.2 2.2 0.8 0.8 September 7.5 7.5 0.9 0.9 5.7 5.7 October 7.9 7.9 4.2 4.2 10.0 10.0 November 8.0 7.6 4.9 4.7 6.1 5.5 December 8.0 7.0 5.1 4.7 7.9 7.0 Quarterly Ave. Growth Rates 1988 Q4 3.6 3.6 4.8 4.8 2.3 2.3 1989 Q1 1.8 1.8 3.7 3.7 -0.4 -0.4 Q2 1.2 1.2 2.9 2.9 -5.6 -5.6 Q3 7.3 7.3 4.7 4.7 1.7 1.7 Q4 7.8 7.6 3.5 3.4 6.9 6.7 Sept 89 to Dec. 89 8.0 7.5 4.8 4.6 8.0 7.5 Oct. 89 to Dec. 89 8.0 7.3 5.0 4.7 7.0 6.3 Q4 88 to Q3 89 3.5 3.5 3.8 3.8 -1.5 -1.5 Q4 88 to Q4 89 4.6 4.6 3.8 3.8 0.6 0.6 Q4 88 to Sept 89 3.9 3.9 3.6 3.6 -0.9 -0.9 Q4 88 to Oct. 89 4.3 4.3 3.7 3.7 0.1 0.1 Q4 88 to Dec. 89 4.9 4.8 3.9 3.8 1.1 1.0 3.0 to 7.0 3.5 to 7.51989 Target Ranges: Chart 1 ACTUAL AND TARGETED M2 Billions of dollars Actual Level -- - Estimated Level * Short-Run Alternatives ^' j 49 // ,- 3% ,, 3300 -4 3250 -4 3200 -1 3150 - 3100 -- 3050 -4 3000 I I I I I I I I I I I I O N D J F M A M J J A S O N D J 1988 1989 1990 2950I I I I I I I I I Chart 2 ACTUAL AND TARGETED M3 Billions of dollars Actual Level - - - Estimated Level * Short-Run Alternatives 0 N D J F M A M J J A S 0 N D J 1988 1989 1990 4250 4200 4150 4100 4050 4000 3950 3900 3850 3800 Chart 3 M1 Billions of dollars - Actual Level / -- - Estimated Level ------ Growth From Fourth Quarter , * Short-Run Alternatives S -5% I I I I 11 I I I I O N D J F M A M J J A S O N D J 1988 1989 199 S5% 830 - 820 -- 810 -- 800 S0% / S790 780 770 -- 760 750 740I I I I n I I I I I I 0 Chart 4 DEBT Billions of dollars 10.5% I - Actual Level - --- Estimated Level * Projected Level I I I I I I I I I I I I I I O N D J F M A M J J A S O N D J -4 10000 -1 9750 6.5% -- 9500 9250 9000 8750 19901988 1989 -10- (13) M3 growth under alternative B will continue to be damped by the ongoing shedding of assets by undercapitalized S&Ls and by funds supplied through RTC resolutions. Under alternative B, M2 would expand around the 7 percent upper limit of its -11- tentative range in the early months of 1990."
