year,start_date,end_date,event_type,file_name,Var1,Var2,Var3
1967,1967-01-10,1967-01-10,Meeting,Bluebook,"NO ALTERNATIVE A FOUND","NO ALTERNATIVE B FOUND","NO ALTERNATIVE C FOUND"
1967,1967-02-07,1967-02-07,Meeting,Bluebook,"NO ALTERNATIVE A FOUND","NO ALTERNATIVE B FOUND","NO ALTERNATIVE C FOUND"
1967,1967-03-07,1967-03-07,Meeting,Bluebook,"NO ALTERNATIVE A FOUND","NO ALTERNATIVE B FOUND","NO ALTERNATIVE C FOUND"
1967,1967-04-04,1967-04-04,Meeting,Bluebook,"NO ALTERNATIVE A FOUND","NO ALTERNATIVE B FOUND","NO ALTERNATIVE C FOUND"
1967,1967-05-02,1967-05-02,Meeting,Bluebook,"NO ALTERNATIVE A FOUND","NO ALTERNATIVE B FOUND","NO ALTERNATIVE C FOUND"
1967,1967-05-23,1967-05-23,Meeting,Bluebook,"NO ALTERNATIVE A FOUND","NO ALTERNATIVE B FOUND","NO ALTERNATIVE C FOUND"
1967,1967-06-20,1967-06-20,Meeting,Bluebook,"NO ALTERNATIVE A FOUND","NO ALTERNATIVE B FOUND","NO ALTERNATIVE C FOUND"
1967,1967-07-18,1967-07-18,Meeting,Bluebook,"NO ALTERNATIVE A FOUND","NO ALTERNATIVE B FOUND","NO ALTERNATIVE C FOUND"
1967,1967-08-15,1967-08-15,Meeting,Bluebook,"NO ALTERNATIVE A FOUND","NO ALTERNATIVE B FOUND","NO ALTERNATIVE C FOUND"
1967,1967-09-12,1967-09-12,Meeting,Bluebook,"NO ALTERNATIVE A FOUND","NO ALTERNATIVE B FOUND","NO ALTERNATIVE C FOUND"
1967,1967-10-03,1967-10-03,Meeting,Bluebook,"NO ALTERNATIVE A FOUND","NO ALTERNATIVE B FOUND","NO ALTERNATIVE C FOUND"
1967,1967-10-24,1967-10-24,Meeting,Bluebook,"NO ALTERNATIVE A FOUND","NO ALTERNATIVE B FOUND","NO ALTERNATIVE C FOUND"
1967,1967-11-14,1967-11-14,Meeting,Bluebook,"NO ALTERNATIVE A FOUND","NO ALTERNATIVE B FOUND","NO ALTERNATIVE C FOUND"
1967,1967-12-12,1967-12-12,Meeting,Bluebook,"NO ALTERNATIVE A FOUND","NO ALTERNATIVE B FOUND","NO ALTERNATIVE C FOUND"
1968,1968-01-09,1968-01-09,Meeting,Bluebook,"NO ALTERNATIVE A FOUND","NO ALTERNATIVE B FOUND","NO ALTERNATIVE C FOUND"
1968,1968-02-06,1968-02-06,Meeting,Bluebook,"NO ALTERNATIVE A FOUND","NO ALTERNATIVE B FOUND","NO ALTERNATIVE C FOUND"
1968,1968-03-05,1968-03-05,Meeting,Bluebook,"NO ALTERNATIVE A FOUND","NO ALTERNATIVE B FOUND","NO ALTERNATIVE C FOUND"
1968,1968-04-02,1968-04-02,Meeting,Bluebook,"NO ALTERNATIVE A FOUND","NO ALTERNATIVE B FOUND","NO ALTERNATIVE C FOUND"
1968,1968-04-30,1968-04-30,Meeting,Bluebook,"NO ALTERNATIVE A FOUND","NO ALTERNATIVE B FOUND","NO ALTERNATIVE C FOUND"
1968,1968-05-28,1968-05-28,Meeting,Bluebook,"NO ALTERNATIVE A FOUND","NO ALTERNATIVE B FOUND","NO ALTERNATIVE C FOUND"
1968,1968-06-18,1968-06-18,Meeting,Bluebook,"NO ALTERNATIVE A FOUND","NO ALTERNATIVE B FOUND","NO ALTERNATIVE C FOUND"
1968,1968-07-16,1968-07-16,Meeting,Bluebook,"NO ALTERNATIVE A FOUND","NO ALTERNATIVE B FOUND","NO ALTERNATIVE C FOUND"
1968,1968-08-13,1968-08-13,Meeting,Bluebook,"NO ALTERNATIVE A FOUND","NO ALTERNATIVE B FOUND","NO ALTERNATIVE C FOUND"
1968,1968-09-10,1968-09-10,Meeting,Bluebook,"NO ALTERNATIVE A FOUND","NO ALTERNATIVE B FOUND","NO ALTERNATIVE C FOUND"
1968,1968-10-08,1968-10-08,Meeting,Bluebook,"NO ALTERNATIVE A FOUND","NO ALTERNATIVE B FOUND","NO ALTERNATIVE C FOUND"
1968,1968-10-29,1968-10-29,Meeting,Bluebook,"NO ALTERNATIVE A FOUND","NO ALTERNATIVE B FOUND","NO ALTERNATIVE C FOUND"
1968,1968-11-26,1968-11-26,Meeting,Bluebook,"NO ALTERNATIVE A FOUND","NO ALTERNATIVE B FOUND","NO ALTERNATIVE C FOUND"
1968,1968-12-17,1968-12-17,Meeting,Bluebook,"NO ALTERNATIVE A FOUND","NO ALTERNATIVE B FOUND","NO ALTERNATIVE C FOUND"
1969,1969-01-14,1969-01-14,Meeting,Bluebook,"NO ALTERNATIVE A FOUND","NO ALTERNATIVE B FOUND","NO ALTERNATIVE C FOUND"
1969,1969-02-04,1969-02-04,Meeting,Bluebook,"NO ALTERNATIVE A FOUND","NO ALTERNATIVE B FOUND","NO ALTERNATIVE C FOUND"
1969,1969-03-04,1969-03-04,Meeting,Bluebook,"NO ALTERNATIVE A FOUND","NO ALTERNATIVE B FOUND","NO ALTERNATIVE C FOUND"
1969,1969-04-01,1969-04-01,Meeting,Bluebook,"NO ALTERNATIVE A FOUND","NO ALTERNATIVE B FOUND","NO ALTERNATIVE C FOUND"
1969,1969-04-29,1969-04-29,Meeting,Bluebook,"NO ALTERNATIVE A FOUND","NO ALTERNATIVE B FOUND","NO ALTERNATIVE C FOUND"
1969,1969-05-27,1969-05-27,Meeting,Bluebook,"NO ALTERNATIVE A FOUND","NO ALTERNATIVE B FOUND","NO ALTERNATIVE C FOUND"
1969,1969-06-24,1969-06-24,Meeting,Bluebook,"NO ALTERNATIVE A FOUND","NO ALTERNATIVE B FOUND","NO ALTERNATIVE C FOUND"
1969,1969-07-15,1969-07-15,Meeting,Bluebook,"NO ALTERNATIVE A FOUND","NO ALTERNATIVE B FOUND","NO ALTERNATIVE C FOUND"
1969,1969-08-12,1969-08-12,Meeting,Bluebook,"NO ALTERNATIVE A FOUND","NO ALTERNATIVE B FOUND","NO ALTERNATIVE C FOUND"
1969,1969-09-09,1969-09-09,Meeting,Bluebook,"NO ALTERNATIVE A FOUND","NO ALTERNATIVE B FOUND","NO ALTERNATIVE C FOUND"
1969,1969-10-07,1969-10-07,Meeting,Bluebook,"NO ALTERNATIVE A FOUND","NO ALTERNATIVE B FOUND","NO ALTERNATIVE C FOUND"
1969,1969-10-28,1969-10-28,Meeting,Bluebook,"NO ALTERNATIVE A FOUND","NO ALTERNATIVE B FOUND","NO ALTERNATIVE C FOUND"
1969,1969-11-25,1969-11-25,Meeting,Bluebook,"NO ALTERNATIVE A FOUND","NO ALTERNATIVE B FOUND","NO ALTERNATIVE C FOUND"
1969,1969-12-16,1969-12-16,Meeting,Bluebook,"NO ALTERNATIVE A FOUND","NO ALTERNATIVE B FOUND","NO ALTERNATIVE C FOUND"
1970,1970-01-15,1970-01-15,Meeting,Bluebook,"9.3 4.8 0.0 -13.3 1.1 -0.4 1.2 0.2 9.4 6.2 4.3 0.0 2.1 0.8 0.8 2.0 Prospective developments (8) If the Committee decides to maintain unchanged conditions in the money market over the next four weeks, it may wish to consider the following second paragraph for the directive (alternative A): To implement this policy, WHILE TAKING ACCOUNT OF THE FORTHCOMING TREASURY REFUNDING, System open market operations until the next meeting of the Committee shall be conducted with a view to maintaining the prevailing firm conditions in the money market; provided, however, that operations shall be modified if bank credit appears to be deviating significantly from current projections [DEL: or if unusual liquidity pressures should develop.] (9) The fluctuations in net borrowed reserves and the Federal funds rate over the past several weeks make it difficult to define prevailing money market conditions.","NO ALTERNATIVE B FOUND","NO ALTERNATIVE C FOUND"
1970,1970-02-10,1970-02-10,Meeting,Bluebook,"NO ALTERNATIVE A FOUND","NO ALTERNATIVE B FOUND","NO ALTERNATIVE C FOUND"
1970,1970-03-10,1970-03-10,Meeting,Bluebook,"NO ALTERNATIVE A FOUND","NO ALTERNATIVE B FOUND","NO ALTERNATIVE C FOUND"
1970,1970-04-07,1970-04-07,Meeting,Bluebook,"NO ALTERNATIVE A FOUND","NO ALTERNATIVE B FOUND","NO ALTERNATIVE C FOUND"
1970,1970-05-05,1970-05-05,Meeting,Bluebook,"NO ALTERNATIVE A FOUND","NO ALTERNATIVE B FOUND","NO ALTERNATIVE C FOUND"
1970,1970-05-26,1970-05-26,Meeting,Bluebook,"NO ALTERNATIVE A FOUND","NO ALTERNATIVE B FOUND","NO ALTERNATIVE C FOUND"
1970,1970-06-23,1970-06-23,Meeting,Bluebook,"NO ALTERNATIVE A FOUND","Alternative B (17) If the Committee wishes to return to its earlier emphasis on moderate growth in the monetary aggregates as the primary operating -11target for open market policy, it may wish to adopt a directive with the following language: ""To implement this policy, [DEL: in view of current market uncertainties and liquidity strains,] THE COMMITTEE SEEKS TO PROMOTE MODERATE GROWTH IN MONEY AND BANK CREDIT OVER THE MONTHS AHEAD.","NO ALTERNATIVE C FOUND"
1970,1970-07-21,1970-07-21,Meeting,Bluebook,"NO ALTERNATIVE A FOUND","NO ALTERNATIVE B FOUND","NO ALTERNATIVE C FOUND"
1970,1970-08-18,1970-08-18,Meeting,Bluebook,"NO ALTERNATIVE A FOUND","NO ALTERNATIVE B FOUND","NO ALTERNATIVE C FOUND"
1970,1970-09-15,1970-09-15,Meeting,Bluebook,"NO ALTERNATIVE A FOUND","NO ALTERNATIVE B FOUND","NO ALTERNATIVE C FOUND"
1970,1970-10-20,1970-10-20,Meeting,Bluebook,"NO ALTERNATIVE A FOUND","NO ALTERNATIVE B FOUND","NO ALTERNATIVE C FOUND"
1970,1970-11-17,1970-11-17,Meeting,Bluebook,"Two broad alternatives are discussed in the next two subsections: one (alternative A) calls for maintaining the target for money growth for the fourth and first quarters taken together at a 5 per cent annual rate; the other (alternative B) calls for a higher average rate of growth over that time span.","Two broad alternatives are discussed in the next two subsections: one (alternative A) calls for maintaining the target for money growth for the fourth and first quarters taken together at a 5 per cent annual rate; the other (alternative B) calls for a higher average rate of growth over that time span.","NO ALTERNATIVE C FOUND"
1970,1970-12-15,1970-12-15,Meeting,Bluebook,"Annual rates of increase in money supply Federal funds rate 4th Qtr. 1st Qtr. Alternative A 5--5-1/2 5% 5% B 4-5/8--5-1/8 5% 67.","NO ALTERNATIVE B FOUND","If demand for money at given Federal funds rates continues to be greater than anticipated--as a result of financial transactions or the need to finance a temporary large post-strike bulge in GNP--the Committee may be faced with the possibility of either permitting the Federal funds rate to rise above the ranges shown in paragraph (10) for any particular alternative chosen, or permitting, at least temporarily, a higher money growth rate than contemplated."
1971,1971-01-12,1971-01-12,Meeting,Bluebook,"First qtr. annual rate of increase Federal funds rate Money Stock Bank Credit Alternative A 5 --5-3/4 6 8 B 4 --4-3/4 7-1/2 10-1/2 C 3-1/4-4 8-1/2 11-1/2 (8) The weekly paths between now and the next meeting for the various alternatives are shown in the table on the next page.","The latest estimates and the original target paths for the various monetary aggregates are compared in the following table: 1970 Month October November December Week ending Dec. 2 9 16 23 30 Jan. 6 Fourth Quarter Recent Paths of Key Monetary (Seasonally adjusted, billions Money Supply (M1) Indicated at Actual Last Meeting 1/ Results 213.0 213.8 215.5 214.5 214.9 215.5 215.4 216.4 215.6 % Annual 5.0 213.0 213.5 214.7 214.5 214.2 215.3 213.6 214.8 214.1 Rates of Change 2/ 3.6 Aggregates of dollars) Adjusted Credit Proxy Indicated at Actual Last Meeting 1/ Results 324.8 326.9 331.6 328.3 331.0 330.2 332.7 333.2 334.0 % Annual 9.0 324.8 326.7 331.0 328.3 330.7 330.1 331.4 331.7 331.6 Rates of Change 8.1 November over October 4.5 2.8 7.8 7.0 December over November 9.5 6.7 17.5 16.2 1/ Alternative B path of previous Blue Book.","Under alternative C, which would probably require a funds rate below 4 per cent, the bill rate might also decline below 4 per cent, although expectations that rates were bottoming out might tend to inhibit such a decline in the 3-month rate."
1971,1971-02-09,1971-02-09,Meeting,Bluebook,"It would be anticipated, however, that by early spring, the Federal funds rate would have to rise rather sharply--to around 4-1/2 --5 per cent, with a concurrent snapback in bill rates--as reserves are provided less generously in order to move down to the assumed longer-run growth rate, typified in alternative A by a 6 per cent growth in M1 for the second quarter.","The second column, alternative B, shows a path which does not make up the shortfall by March; in other words, this alternative does not retain as a target the March average level of M 1 set at the previous two FOMC meetings.","NO ALTERNATIVE C FOUND"
1971,1971-03-09,1971-03-09,Meeting,Bluebook,"Alternative A assumes a Federal funds rate maintained at 3-1/2 per cent--that is, it assumes current money market conditions.","This language is proposed for possible use if the Committee decides (a) to formulate its primary instruction in terms of desired growth rates for the aggregates, and (b) to adopt as targets the growth rates (including a 7 per cent second-quarter rise in M1) discussed earlier in connection with alternative B. ""To implement this policy, THE COMMITTEE SEEKS TO PROMOTE SUSTAINED GROWTH IN MONETARY AND CREDIT AGGREGATES OVER THE MONTHS AHEAD.","This language is proposed for possible use if the Committee decides to adopt as targets the growth rates for the aggregates (including a 6 per cent second-quarter rise in M ) discussed earlier in connection with alternative C. ""To implement this policy, THE COMMITTEE SEEKS TO PROMOTE MODERATE GROWTH IN MONETARY AND CREDIT AGGREGATES OVER THE MONTHS AHEAD."
1971,1971-04-06,1971-04-06,Meeting,Bluebook,"Federal funds Member Bank Net M1 rate Borrowings Reserves Alternative A 3-3/4 250-350 +50 to -150 9% Alternative B 4 -4-3/4 400-500 -150 to -300 7% Alternative C 4-3/4--5-1/2 500-600 -250 to -400 6% (7) The money market specifications for alternative A include a Federal funds rate around 3-3/4 per cent, the most recent Desk operating target.","Federal funds Member Bank Net M1 rate Borrowings Reserves Alternative A 3-3/4 250-350 +50 to -150 9% Alternative B 4 -4-3/4 400-500 -150 to -300 7% Alternative C 4-3/4--5-1/2 500-600 -250 to -400 6% (7) The money market specifications for alternative A include a Federal funds rate around 3-3/4 per cent, the most recent Desk operating target.","Federal funds Member Bank Net M1 rate Borrowings Reserves Alternative A 3-3/4 250-350 +50 to -150 9% Alternative B 4 -4-3/4 400-500 -150 to -300 7% Alternative C 4-3/4--5-1/2 500-600 -250 to -400 6% (7) The money market specifications for alternative A include a Federal funds rate around 3-3/4 per cent, the most recent Desk operating target."
1971,1971-05-11,1971-05-11,Meeting,Bluebook,"To clarify policy possibilities in view of these conflicts, three distinct policy alternatives--with sharply differing specifications --are presented on the following pages: Alternative A aims at stabilizing credit market conditions; Alternative C aims at pursuit of the Committee's previously expressed desires with respect to M1 growth; and Alternative B aims at a ""standard-sized"" FOMC tightening of operational targets in the interest of moderating the growth of the aggregates somewhat.","To clarify policy possibilities in view of these conflicts, three distinct policy alternatives--with sharply differing specifications --are presented on the following pages: Alternative A aims at stabilizing credit market conditions; Alternative C aims at pursuit of the Committee's previously expressed desires with respect to M1 growth; and Alternative B aims at a ""standard-sized"" FOMC tightening of operational targets in the interest of moderating the growth of the aggregates somewhat.","(The paths shown as ""desired"" take the June levels for the aggregates indicated in the previous Blue Book under alternative C as targets."
1971,1971-06-08,1971-06-08,Meeting,Bluebook,"Alternative A Alternative B Alternative C Federal funds rate 4-3/4 5-1/4 6 Member bank borrowings 250 350 350 450 450 600 Growth in M1: Monthly June 9.5 9.5 9.0 July 15.5 14.5 13.5 August 9.0 8.5 7.0 September 6.0 5.0 3.5 Quarterly 2nd quarter 12.0 12.0 12.0 3rd quarter 10.5 9.5 8.0 (10) Given a Federal funds rate of around 4-3/4 per cent, M1 growth in June would be expected at about a 9-10 per cent annual rate, and for the second quarter as a whole it would be around 12 per cent.","Alternative A Alternative B Alternative C Federal funds rate 4-3/4 5-1/4 6 Member bank borrowings 250 350 350 450 450 600 Growth in M1: Monthly June 9.5 9.5 9.0 July 15.5 14.5 13.5 August 9.0 8.5 7.0 September 6.0 5.0 3.5 Quarterly 2nd quarter 12.0 12.0 12.0 3rd quarter 10.5 9.5 8.0 (10) Given a Federal funds rate of around 4-3/4 per cent, M1 growth in June would be expected at about a 9-10 per cent annual rate, and for the second quarter as a whole it would be around 12 per cent.","Alternative A Alternative B Alternative C Federal funds rate 4-3/4 5-1/4 6 Member bank borrowings 250 350 350 450 450 600 Growth in M1: Monthly June 9.5 9.5 9.0 July 15.5 14.5 13.5 August 9.0 8.5 7.0 September 6.0 5.0 3.5 Quarterly 2nd quarter 12.0 12.0 12.0 3rd quarter 10.5 9.5 8.0 (10) Given a Federal funds rate of around 4-3/4 per cent, M1 growth in June would be expected at about a 9-10 per cent annual rate, and for the second quarter as a whole it would be around 12 per cent."
1971,1971-06-29,1971-06-29,Meeting,Bluebook,"Alternative A Alternative B Alternative C Federal funds rate 4-7/8--5-1/8% 5--5-1/2% 5-1/2--6% Member bank borrowings $350-500 million $450-700 million $650-850 million 3-month bill rate 4-3/4--5-1/4% 5--5-1/2% 5-3/4--6-1/4% Growth in M1: (SAAR) July August September 3rd Quarter 10% 10-1/2% 9% 10% 10% 9-1/2% 8% 9% n 9-1/2% 8% 7% 8% (7) For seasonal reasons--including Treasury cash borrowing requirements and the ending of reinvestment demand that normally appears in the last half of June as mid-year tax bills mature--the 3-month bill rate is expected to rise in July from its recent level.","Alternative A Alternative B Alternative C Federal funds rate 4-7/8--5-1/8% 5--5-1/2% 5-1/2--6% Member bank borrowings $350-500 million $450-700 million $650-850 million 3-month bill rate 4-3/4--5-1/4% 5--5-1/2% 5-3/4--6-1/4% Growth in M1: (SAAR) July August September 3rd Quarter 10% 10-1/2% 9% 10% 10% 9-1/2% 8% 9% n 9-1/2% 8% 7% 8% (7) For seasonal reasons--including Treasury cash borrowing requirements and the ending of reinvestment demand that normally appears in the last half of June as mid-year tax bills mature--the 3-month bill rate is expected to rise in July from its recent level.","Alternative A Alternative B Alternative C Federal funds rate 4-7/8--5-1/8% 5--5-1/2% 5-1/2--6% Member bank borrowings $350-500 million $450-700 million $650-850 million 3-month bill rate 4-3/4--5-1/4% 5--5-1/2% 5-3/4--6-1/4% Growth in M1: (SAAR) July August September 3rd Quarter 10% 10-1/2% 9% 10% 10% 9-1/2% 8% 9% n 9-1/2% 8% 7% 8% (7) For seasonal reasons--including Treasury cash borrowing requirements and the ending of reinvestment demand that normally appears in the last half of June as mid-year tax bills mature--the 3-month bill rate is expected to rise in July from its recent level."
1971,1971-07-27,1971-07-27,Meeting,Bluebook,"1/ Alternative A Alternative B Federal funds rate 5-1/2% 5-1/2--6% Member bank borrowings $.","1/ Alternative A Alternative B Federal funds rate 5-1/2% 5-1/2--6% Member bank borrowings $.","NO ALTERNATIVE C FOUND"
1971,1971-08-24,1971-08-24,Meeting,Bluebook,"(10) The text table that follows specifies: (1) the growth path for M1 thought to be consistent with the unchanged Federal funds rate assumption of alternative A; and (2) the funds rate thought to be needed to achieve the 6 per cent annual growth rate in M1 (for the third and fourth quarters combined) that was associated with the directive adopted at the last meeting 1/ The table on the next page shows the paths for all of the monetary aggregates under the two alternatives.","Federal funds rate Member bank borrowings 3-month bill rate Growth in M1 (SAAR) August September 3rd Quarter 4th Quarter Second half Alternative A 5-3/8--5-3/4% $700-$900 million 4-3/4--5-1/2% 7-1/2% 5% 8% 3% 5-1/2% Alternative B 4-1/2--5% $450-$650 million 4--4-3/4% 7-1/2% 7% 8-1/2% 4% 6% (11) Staff projections in the last blue book--slightly modified to take into account the 5-3/8-5-3/4 per cent range for the funds rate approved at the July 27 meeting--indicated that M1 would grow at an annual rate averaging around 7 per cent for August and September and around 4 per cent for the fourth quarter.","This would imply the possibility of significantly larger changes in money market conditions, however,  and^ the Committee may wish to set outside limits of acceptable variation in the Federal funds rate--perhaps -13a band of plus or minus one percentage point around the 4-3/4 per cent midpoint of the funds rate range specified under alternative B. (18) If the Committee adopts alternative C it may want to instruct the Manager to make his operating decisions on the basis of available evidence regarding the relationship between the actual supply of reserves and the supply considered to be best calculated to promote growth in the monetary and credit aggregates at the desired rates."
1971,1971-09-21,1971-09-21,Meeting,Bluebook,"Under alternative A--which contemplates a Federal funds rate in a 5--5-5/8 per cent range--the annual rate of growth in M1 is likely to be only about one or two per cent in September and around 3-1/2 per cent for the fourth quarter.","NO ALTERNATIVE B FOUND","NO ALTERNATIVE C FOUND"
1971,1971-10-19,1971-10-19,Meeting,Bluebook,"Alternative A Alternative B Alternative C Federal funds rate 5--5-3/8 4-1/2--5 3-3/4--4-1/2 Member bank borrowings 300--450 150--300 50--150 Growth in M1 (SAAR) October 3% 3% 3% November 1 2 3 December 3-1/2 4 5-1/2 4th Q. 1971 2-1/2 3 4 1st Q. 1972 4-1/2 6 7-1/2 (6) The money market conditions shown for the three paths vary from a range around those recently prevailing (Alt.","Alternative A Alternative B Alternative C Federal funds rate 5--5-3/8 4-1/2--5 3-3/4--4-1/2 Member bank borrowings 300--450 150--300 50--150 Growth in M1 (SAAR) October 3% 3% 3% November 1 2 3 December 3-1/2 4 5-1/2 4th Q. 1971 2-1/2 3 4 1st Q. 1972 4-1/2 6 7-1/2 (6) The money market conditions shown for the three paths vary from a range around those recently prevailing (Alt.","Alternative A Alternative B Alternative C Federal funds rate 5--5-3/8 4-1/2--5 3-3/4--4-1/2 Member bank borrowings 300--450 150--300 50--150 Growth in M1 (SAAR) October 3% 3% 3% November 1 2 3 December 3-1/2 4 5-1/2 4th Q. 1971 2-1/2 3 4 1st Q. 1972 4-1/2 6 7-1/2 (6) The money market conditions shown for the three paths vary from a range around those recently prevailing (Alt."
1971,1971-11-16,1971-11-16,Meeting,Bluebook,"Alternative A/B Alternative C Federal funds rate 4-1/2--4-7/8 3-7/8--4-1/2 Member bank borrowings 150-300 50-150 Growth in M (SAAR) November -1 -1 December 1-1/2 3 4th Q. 1971 0 1/2 1st Q. 1972 6 8 (9) Money market conditions consistent with alternative A/B might encompass a Federal funds rate in a 4-1/2--4-7/8 per cent range; member bank borrowings in a $150-$300 million range; and, taking account of recent wide swings in excess reserves, a net reserve position for member banks in a plus $250 million to minus $150 million area.","NO ALTERNATIVE B FOUND","Alternative A/B Alternative C Federal funds rate 4-1/2--4-7/8 3-7/8--4-1/2 Member bank borrowings 150-300 50-150 Growth in M (SAAR) November -1 -1 December 1-1/2 3 4th Q. 1971 0 1/2 1st Q. 1972 6 8 (9) Money market conditions consistent with alternative A/B might encompass a Federal funds rate in a 4-1/2--4-7/8 per cent range; member bank borrowings in a $150-$300 million range; and, taking account of recent wide swings in excess reserves, a net reserve position for member banks in a plus $250 million to minus $150 million area."
1971,1971-12-14,1971-12-14,Meeting,Bluebook,"NO ALTERNATIVE A FOUND","NO ALTERNATIVE B FOUND","NO ALTERNATIVE C FOUND"
1972,1972-01-11,1972-01-11,Meeting,Bluebook,"(8) If the Committee were to adopt the language of alternative A, it may wish to consider instructing the Manager to ease the Federal funds rate from the prevailing 3-5/8 per cent to the neighborhood of 3-1/4 per cent in the first week following the meeting and to the neighborhood of 3 per cent in the second week, unless a sudden surge of M1 growth were to appear.","Alternative B, on the other hand, places primary stress on bank reserves as the operating target variable, with a money market conditions constraint in a proviso clause.","NO ALTERNATIVE C FOUND"
1972,1972-02-15,1972-02-15,Meeting,Bluebook,"NO ALTERNATIVE A FOUND","-11(16) If the Committee were to adopt alternative B it could base reserve operating targets on the levels and growth rates for reserves shown earlier to be consistent with either patterns I, II, or III.","NO ALTERNATIVE C FOUND"
1972,1972-03-21,1972-03-21,Meeting,Bluebook,"NO ALTERNATIVE A FOUND","NO ALTERNATIVE B FOUND","NO ALTERNATIVE C FOUND"
1972,1972-04-18,1972-04-18,Meeting,Bluebook,"The pattern of specifications for this alternative could be the same as that for alternative A, but the phrase ""taking account of capital market developments"" could be construed as instructing the Manager to be more liberal in providing reserves and more cautious in allowing the Federal funds rate to move upward if significant increases in long-term interest rates appear to be in process.","NO ALTERNATIVE B FOUND","The pattern of specifications for this alternative could be the same as that for alternative A, but the phrase ""taking account of capital market developments"" could be construed as instructing the Manager to be more liberal in providing reserves and more cautious in allowing the Federal funds rate to move upward if significant increases in long-term interest rates appear to be in process."
1972,1972-05-23,1972-05-23,Meeting,Bluebook,"A B C Federal funds rate 3-3/4--5 4-1/4--5-1/2 4-3/4--6 Member bank borrowings 50--300 100--650 250--800 Growth in M1 (SAAR) May 4-1/2% 4-1/2% 4-1/2% June 9% 8-1/2% 8% 2nd Q. 7-1/2% 7-1/4% 7% 3rd Q. 7-1/2% 6-1/2% 5-1/2% Near-term growth in RPD (SAAR) May 7-1/2% 7% 7% June 13% 12% 10-1/2% May-June 10% 9-1/2% 9% (8) Of the three alternatives presented, alternative A involves money market conditions closest to those most recently prevailing.","(11) For alternative B, the mid-point of the Federal funds rate range is just under 5 per cent.","NO ALTERNATIVE C FOUND"
1972,1972-06-19,1972-06-20,Meeting,Bluebook,"But under alternative A, the staff would expect the funds rate to edge down from current levels, while under alternative B it is likely to edge up as reserve provision through open market operations is held back in the face of strengthening demand for money.","But under alternative A, the staff would expect the funds rate to edge down from current levels, while under alternative B it is likely to edge up as reserve provision through open market operations is held back in the face of strengthening demand for money.","NO ALTERNATIVE C FOUND"
