year,start_date,end_date,numberofsentences_altA,DFF_Before_meeting,DFEDTR,Sentence_1,Sentence_2,Sentence_3,Sentence_4,Sentence_5,Sentence_6,Sentence_7,Sentence_8,Sentence_9,Sentence_10
1970,1970-09-15,1970-09-15,5,6.38,No target in FRED,"1/ Alternative A path of previous Blue Book consistent wich a 5 per cent annual rate of growth in money stock for third quarter.","Prospective developments (8) If the Committee wishes to continue with a policy that encompasses financial flows and credit conditions consistent with a 5 per cent rate of growth for the money supply, the following language for the second paragraph of the directive might be considered (alternative A): To implement this policy, the Committee seeks to promote [DEL:some easing of conditions in credit markets and somewhat greater MODERATE growth in money over the months ahead than occurred in the second quarter, while taking account of possible liquidity problems and allowing bank credit growth to reflect BANK EFFORTS TO REBUILD LIQUIDITY AND any continued shift of credit flows from market to banking channels.","(17) Attainment of the more rapid growth in the money supply indicated in the above tables would require a more pronounced easing of money market conditions than under Alternative A. (18) The adjusted credit proxy is expected to grow some- what more rapidly, along with the more rapid growth in money supply, as compared with alternative A. Money supply growth is not expected to become more rapid until October, although the exact lags over the near- term in public and bank responses to monetary policy changes are con- jectural.","(19) Weekly figures for monetary aggregates over the period between now and the next meeting are shown in the table below (with the money supply figures linked to the published series as under alternative A).","","","","","",""
1970,1970-10-20,1970-10-20,1,6.13,No target in FRED,"1/ Alternative A path of previous Blue Book.","","","","","","","","",""
1970,1970-11-17,1970-11-17,4,5.75,No target in FRED,"Recent Paths of Key Monetary Aggregates (Seasonally adjusted, billions of dollars) 2/Adjusted Credit Proxy Mone Supply / Indicated at Actual Indicated at Actual Last Meetingi/ Results Last Meetingi Results 1970 Month September October Week ending October 14 21 28 November 4 11 324.5 326.4 324.5 324.7 324.4 323.9 325.7 324.3 329.1 324.9 329.1 325.5 329.6 326.3 % Annual Ratesof Change 210.8 211.6 210.7 210.8 210.2 210.0 212.4 212.1 212.2 209.6 211.4 210.0 212.6 210.4 % Annual Rates of Change Third Quarter 17.2 17.2 5.0 4 (Sept. over June) October over September 7.0 0.7 4.5 0, 1/ Alternative A path of previous Blue Book.","Two broad alternatives are discussed in the next two subsections: one (alternative A) calls for maintaining the target for money growth for the fourth and first quarters taken together at a 5 per cent annual rate; the other (alternative B) calls for a higher average rate of growth over that time span.","Policy alternative A. (12) If the Committee wishes to stay on a 5 per cent growth path for the money supply, but is wiling to -10- permit some shortfall in the fourth quarter which would be made up in the first quarter, it might consider the following language for the second paragraph of the directive: ""To implement this policy, the Committee seeks to promote some easing of conditions in credit markets and moderate growth in money and attendant bank credit expan- sion over the months ahead, WITH ALLOWANCE FOR TEMPORARY SHIFTS IN MONEY AND CREDIT DEMANDS RELATED TO THE AUTO STRIKE.","Policy alternative B. (16) This alternative is presented in the event that the Committee may wish to consider a more aggressive easing in the money market than under alternative A in order to increase the likelihood of moving closer to a 5 per cent money growth rate (and around 6 per cent bank credit) in the fourth quarter, partly as a way station to moving on to a 6 - 7 per cent growth path for money for the fourth and first quarters taken together.","","","","","",""
1970,1970-12-15,1970-12-15,6,5.25,No target in FRED,"1- 4.5 % Annual Rates of Change 17.2 0.7 6.0 17.2 Actual Results 324.5 324.8 326.9 326.0 326.7 327.8 328.3 331.0 1/ Alternative A path of previous Blue Book, levels and rates of growth for the money supply have been converted to a revised basis.","Alternative A involves a 5 per cent money growth rate; alternative B, 6 per cent; and alternative C, 7 per cent.","Under alternative A, such growth is projected to be a little less in the first quarter than in the fourth, but under alterna- tives B and C, time deposits are assumed to grow somewhat more rapidly because market interest rates would be relatively lower.","Annual rates of increase in money supply Federal funds rate 4th Qtr. 1st Qtr. Alternative A 5--5-1/2 5% 5% B 4-5/8--5-1/8 5% 67.","(11) In the case of alternative A, the Federal funds range is wide enough to allow for some tightening from recent levels.","(15) Alternative A.","","","",""
1971,1971-01-12,1971-01-12,7,4.38,No target in FRED,"The three growth paths shown for the narrowly-defined money supply present alternatives that take account in differing ways of the recent shortfalls relative to expectations, as follows: (A) Alternative A shows a pattern consistent with a 6 per cent annual rate of growth for M1 over the first quarter of 1971.","This would be equal to the rate of growth for the quarter that the Committee indicated as the minimum acceptable at its last meeting, at a time when it was expected that fourth quarter growth would be 5 per cent. Thus alternative A does not make up for the fourth quarter shortfall.","As a result, under alternative A the March level of the money supply would be about $1 billion below previous expectations.","First qtr. annual rate of increase Federal funds rate Money Stock Bank Credit Alternative A 5 --5-3/4 6 8 B 4 --4-3/4 7-1/2 10-1/2 C 3-1/4-- 4 8-1/2 11-1/2 (8) The weekly paths between now and the next meeting for the various alternatives are shown in the table on the next page.","(9) Realization of alternative A aggregates would require, in the staff's judgment, pushing the Federal funds rate up from its recent trading range of around 4-1/2 per cent. (12) With the forthcoming Treasury refunding probably largely discounted by the market, with recent corporate issues well received, and in light of the still large spread of long- over short-term rates, it seems likely that longer-term interest rates will drop further, except under conditions specified for alternative A. Interest rate declines would tend to accelerate should the Federal funds rate move down significantly from prevailing levels.","(15) Alternative A.","","","",""
1971,1971-02-09,1971-02-09,10,3.5,No target in FRED,"The first column--called alternative A--makes up the shortfall by March and continues with a 6 per cent rate of growth in the second quarter.","The particular path would reach the same average level in June for M1 as indicated for alternative A. Alternative A Alternative B End of Quarter Level (Mo. Ave.) (Billions of $) December 214.6 214.6 March 218.8 218.3 June 222.1 222.1 Quarterly Growth Rate (Per cent annual rate) 1st Qtr. (March over Dec.) 8 1/ 7 2nd Qtr. (June over March) 6 7 1/ This growth rate is 8 per cent, rather than the 7-1/2 per cent of the last FOMC meeting, because of a small downward revision in the December average level of the money supply.","(9) To achieve either alternative A or B, an easing of the money market appears to be required between now and the next meeting of the Committee, for reasons indicated in paragraph (6).","The alternative A pattern of growth in monetary aggregates--which contemplates about a Alternative Paths of key Monetary Aggregates--Monthly and Quarterly (Seasonally adjusted, billions of dollars) Concepts of Money M1 Alt.","It would be anticipated, however, that by early spring, the Federal funds rate would have to rise rather sharply--to around 4-1/2 --5 per cent, with a concurrent snapback in bill rates--as reserves are provided less generously in order to move down to the assumed longer-run growth rate, typified in alternative A by a 6 per cent growth in M1 for the second quarter.","This tendency is likely to become more widespread, especially under alternative A, and may serve, along with an increase of consumer spending as projected in the Green Book, to moderate savings inflows.","Under alternative B, the rate of growth in M2 would be expected to be only slightly less rapid than under alternative A. (18) Alternative A.","As will be noted, the language of alternative B differs from that of alternative A only in the omission of the clause (following the reference to the narrowly defined money stock) reading ""making up the shortfall from the desired growth path that has developed.""","",""
1971,1971-03-09,1971-03-09,9,3.13,No target in FRED,"Alternative A assumes a Federal funds rate maintained at 3-1/2 per cent--that is, it assumes current money market conditions.","However, as indicated in the preceding paragraph, under alternative A, M1 would be expected to grow more rapidly in the second quarter than in the first.","Growth in M2 would be expected to moderate from the first quarter pace, even under alternative A, however, as the initial asset ad- justment by the public to the sharp drop of late 1970 and early 1971 in market rates relative to time deposit offering rates runs it course.","(13) An effort to move onto growth paths for aggregates in the second quarter slower than shown for alternative A--given staff assumptions -10- as to the strength of economic recovery and attendent credit demands--seems likely to require a rise in the Federal funds rate from current levels during the next four weeks.","The money market conditions now estimated to be con- sistent with alternative A through C are shown in the table below, using the second quarter annual rate of growth in M1 as a convenient index of the col- lection of monetary aggregates.","Federal Funds Member Bank Net M1 Rate Borrowings Reserves Alternative A 3-1/2 250-350 + 50 to -150 9% Alternative B 3-3/4--4-1/4 400-500 -150 to -300 7% Alternative C 4-1/4--4-3/4 500-600 -250 to -400 6% (14) Weekly paths for key monetary aggregates are shown in the table on the next page.","(21) Alternative A.","As will be noted, the primary instruction in alternative A is identical to that of the present directive, except that it is proposed--in view of the recent increases in long-term rates--to call for accommodating ""any"" rather than ""additional"" downward movements in such rates.","If the Committee adopts this alternative, it may wish to consider the money market conditions set forth in the first line of the table in paragraph (13) above as a description of ""prevailing"" conditions, and for purposes of the proviso clause, to adopt the aggregate growth paths discussed earlier in connection with alternative A as the ""expected"" paths.",""
1971,1971-04-06,1971-04-06,5,4,No target in FRED,"Federal funds Member Bank Net M1 rate Borrowings Reserves Alternative A 3-3/4 250-350 +50 to -150 9% Alternative B 4 -- 4-3/4 400-500 -150 to -300 7% Alternative C 4-3/4--5-1/2 500-600 -250 to -400 6% (7) The money market specifications for alternative A include a Federal funds rate around 3-3/4 per cent, the most recent Desk operating target.","Thus, attain- ment of the conditions specified in alternative A would be likely to re- inforce other trends in capital markets now expected to contribute to some further decline in long-term rates, as noted in the Greenbook.","A rise in long-term rates would seem likely if the Federal funds rate were to trend convincingly above 4 per cent, with the rise in long rates largest if money market conditions were to tighten as much as specified under alternative C. -12- Possible directive language (13) Alternative A.","If the Committee adopts this alternative, it may wish to consider the money market conditions noted for alternative A in paragraph (6) as a description of ""prevailing"" conditions, and for purposes of the proviso clause, to adopt the aggregate growth paths discussed earlier in connection with alterna- tive A as the ""expected"" paths.","Or, if the Committee so desires, it could use a directive with a structure similar to alternative A but with the specifications for money market con- ditions and aggregates given above in connection with alternative B or C.","","","","",""
1971,1971-05-11,1971-05-11,7,4.5,No target in FRED,"To clarify policy possibilities in view of these conflicts, three distinct policy alternatives--with sharply differing specifications --are presented on the following pages: Alternative A aims at stabiliz- ing credit market conditions; Alternative C aims at pursuit of the Committee's previously expressed desires with respect to M1 growth; and Alternative B aims at a ""standard-sized"" FOMC tightening of operational targets in the interest of moderating the growth of the aggregates some- what.","Fed Funds Member Bank M1 Rate Borrowings 2nd Qtr 3rd Qtr Alternative A 4-1/4 100-200 9% 8-1/2% Alternative B 4-3/4 250-350 8-1/2% 7-1/2% Alternative C 6--8 450-700 5-1/2% 6% (15) Under alternative A, with a funds rate around 4-1/4 per cent, M1 is expected to continue growing relatively rapidly through the third quarter, although slowing somewhat on balance from the very rapid pace of recent months.","(16) Between now and the next meeting of the Committee, the 3-month bill rate under alternative A may be in a 3-3/4--4-1/4 per cent range.","Growth in M2 may be affected somewhat sooner by the higher funds rate, and over time the growth rate may diminish by about a percentage point relative to alternative A. (22) Alternative A.","If the Committee adopts this alternative, it may wish to consider the money market conditions noted for alternative A in paragraph (14) as a description of ""prevailing"" conditions, and for purposes of the proviso clause to adopt the aggregate growth paths discussed earlier in connec- tion with alternative A as the ""expected"" paths.","A directive with this general structure-- putting primary emphasis on money market conditions rather than the aggregates--can, of course, be used in connection with specifications other than those shown for alternative A, with suitable language changes.","","","",""
1971,1971-06-08,1971-06-08,5,4.75,No target in FRED,"Alternative A Alternative B Alternative C Federal funds rate 4-3/4 5-1/4 6 Member bank borrowings 250 - 350 350 - 450 450 - 600 Growth in M1: Monthly June 9.5 9.5 9.0 July 15.5 14.5 13.5 August 9.0 8.5 7.0 September 6.0 5.0 3.5 Quarterly 2nd quarter 12.0 12.0 12.0 3rd quarter 10.5 9.5 8.0 (10) Given a Federal funds rate of around 4-3/4 per cent, M1 growth in June would be expected at about a 9-10 per cent annual rate, and for the second quarter as a whole it would be around 12 per cent.","Under alternative A, we would expect the 3-month bill rate between now and mid-year to be in a 4-1/4--4-3/4 per cent range, and it may be expected to rise somewhat above that range in the summer as the Treasury finances large and partly seasonal cash needs.","Outstanding large CD's are expected to show little net change from current levels under alternative A, given the relatively comfortable liquidity position of banks.","(16) Alternative A. -12- If the Committee adopts this alternative, it may wish to consider the money market conditions noted for alternative A in paragraph (9) as a description of ""prevailing"" conditions, and for purposes of the proviso clause to adopt the aggregate growth paths discussed earlier in connec- tion with alternative A as the ""expected"" paths.","","","","","",""
1971,1971-06-29,1971-06-29,7,5.13,No target in FRED,"Alternative A Alternative B Alternative C Federal funds rate 4-7/8--5-1/8% 5--5-1/2% 5-1/2--6% Member bank borrowings $350-500 million $450-700 million $650-850 million 3-month bill rate 4-3/4--5-1/4% 5--5-1/2% 5-3/4--6-1/4% Growth in M1: (SAAR) July August September 3rd Quarter 10% 10-1/2% 9% 10% 10% 9-1/2% 8% 9% n 9-1/2% 8% 7% 8% (7) For seasonal reasons--including Treasury cash borrowing require- ments and the ending of reinvestment demand that normally appears in the last half of June as mid-year tax bills mature--the 3-month bill rate is expected to rise in July from its recent level.","C 31.3 31.8 32.1 32.2 31.3 31.8 32.1 32.1 Per Cent Annual Rates of Growth June July August September 2nd Q. 1971 3rd Q. 1971 1971 9.5 10.0 10.5 9.0 11.5 10.0 9.5 10.0 9.5 8.0 11.5 9.0 9.5 9.5 8.0 7.0 11.5 8.0 12.5 10.0 10.5 8.5 13.0 9.5 12.5 10.0 9.0 7.5 13.0 9.0 1971 12.5 9.5 7.5 6.5 13.0 8.0 7.5 15.5 9.0 7.0 7.0 10.5 7.5 15.5 8.5 6.0 7.0 10.0 7.5 15.0 6.5 5.0 7.0 9.0 3.5 18.5 13.5 4.5 7.5 12.5 3.5 18.5 12.5 3.0 7.5 12.0 3.5 18.5 11.5 1.0 7.5 10.5 -7- (8) Alternative A maintains money market conditions in a range around the average level of recent weeks; in the last few business days the Desk has been aiming at a rate around the upper end of that range.","The alternative A money market conditions would seem most likely to be associated with around a 10 per cent annual rate of growth in M1 over the third quarter.","(11) With the corporate calendar tending to moderate, corporate bond yields could decline under the conditions of alternative A, especially if there were no general rise in the prime rate, or if the rise was limited -9- to only 1/4 of a percentage point.","(13) Alternative A.","If the Committee adopts this alternative, it may wish to consider the money market conditions noted for alternative A in paragraph (6) as a description of ""prevailing"" conditions, and for purposes of the proviso clause to adopt the aggregate growth paths discussed earlier in connec- tion with alternative A as the ""expected"" paths.","The money market specifications mentioned earlier in connection with this alternative--including the pro- posed 5 to 5-1/2 per cent range for the Federal funds rate--would give -12- the Manager more flexibility to firm market conditions than he would have under alternative A.","","",""
1971,1971-07-27,1971-07-27,9,5.25,No target in FRED,"1/ Alternative A Alternative B Federal funds rate 5-1/2% 5-1/2--6% Member bank borrowings $.","9--$1.2 billion 3-month bill rate 5-3/8--5-5/8% 5-1/2--6-1/8% Growth in M1 (SAAR) August 6% 5-1/2% September 8-1/2% 8% 3rd Quarter 9% 8-1/2% 4th Quarter 4% 2-1/2% (10) The money market specifications for alternative A represent a continuation of conditions recently prevailing, as would be consistent with a strict interpretation of ""even keel"".","Under alternative B, growth is expected to be only about 1/2 percentage point lower than under alternative A in the third quarter, but about 1-1/2 percentage points lower in the fourth quarter.","Thus, under alternative A, growth in M2 is expected to drop to a 6-1/2 per cent annual rate in August, and to 8 per cent in the third quarter; growth would be a little slower under alternative B. (14) Growth in the adjusted bank credit proxy during August and September is expected to be more rapid than in recent months, and the growth rate for the third quarter may be around 9 per cent. Business loan demands are expected to remain fairly weak until around the fourth quarter, but banks are likely to be substantial net buyers of forthcoming Treasury offerings, including the bills to be announced toward the end of August.","(15) The deposit patterns described above for alternative A imply a 7-1/2 per cent annual rate of increase in total reserves, seasonally adjusted, from June to September, assuming excess reserves average about $225 million.","(16) The slowing of growth in M1 and accompanying reserve developments under alternative A would not be expected to lead to higher interest rates in either short- or long-term markets, at least in the -12- immediate future.","(19) Alternative A.","If the Committee adopts this alternative, it may wish to consider the money market conditions noted for alternative A in paragraph (9) as a description of ""prevailing"" conditions, and for purposes of the proviso clause to adopt the aggregate growth paths discussed earlier in connection with alternative A been as the ""expected"" paths.","On the other hand, the formulation of this alternative--with its greater emphasis on monetary aggregates--would also be consistent with the specifications of alternative A (or some modification thereof) since a more moderate growth in M1 in particular is indicated in the paths associated with alternative A. -16- Alternative Weekly Paths of Key Monetary Aggregates (Seasonally adjusted, billions of dollars) M1 Alt.",""
1971,1971-08-24,1971-08-24,9,5.5,No target in FRED,"July 27 Path 1/ 12.0 6.0 10.6 7.5 8.0 6.5 7.4 8.0 6.5 11.0 7.6 11.5 227.6 228.2 229.1 228.9 347.9 351.3 227.0 226.7 228.7 229.2 454.2 455.2 456.5 456.7 454.0 454.2 456.4 457.4 347.7 348.9 349.8 350.8 1/ Consistent with the directive the Committee adopted at the July 27 meeting, and close to the alternative A path in the blue book prepared for that meeting.","(10) The text table that follows specifies: (1) the growth path for M1 thought to be consistent with the unchanged Federal funds rate assumption of alternative A; and (2) the funds rate thought to be needed to achieve the 6 per cent annual growth rate in M1 (for the third and fourth quarters combined) that was associated with the directive adopted at the last meeting 1/ The table on the next page shows the paths for all of the monetary aggregates under the two alternatives.","Federal funds rate Member bank borrowings 3-month bill rate Growth in M1 (SAAR) August September 3rd Quarter 4th Quarter Second half Alternative A 5-3/8--5-3/4% $700-$900 million 4-3/4--5-1/2% 7-1/2% 5% 8% 3% 5-1/2% Alternative B 4-1/2--5% $450-$650 million 4--4-3/4% 7-1/2% 7% 8-1/2% 4% 6% (11) Staff projections in the last blue book--slightly modified to take into account the 5-3/8-5-3/4 per cent range for the funds rate approved at the July 27 meeting--indicated that M1 would grow at an annual rate averaging around 7 per cent for August and September and around 4 per cent for the fourth quarter.","(14) Under alternative A, rates of growth in the other monetary aggregates are projected to slow significantly after August.","Under alternative A banks would probably have to press more actively to obtain CD funds than under alternative B in order to offset the slower growth in demand accounts.","(22) Alternative A.","If the Committee adopts this alternative, it may wish to consider the money market conditions notedfor alternative A in paragraph (10) as a description of ""prevailing"" conditions, and for purposes of the proviso clause to adopt the growth paths for the monetary and credit aggregates discussed earlier in connection with alternative A as the ""expected"" paths.","If the Committee favors a money market orientation for its primary instruction but would prefer to see the aggregates grow at rates somewhat above those projected under unchanged money market conditions, it might modify the alternative A language to call for operations with a view to ""attaining somewhat less firm money market conditions"" and associate with the revised language the money market and aggregate specifications described above in connection with alternative B. (23) Alternative B. -18- If the Committee favors an aggregate orientation for its primary instruction but would prefer to see the aggregates grow at rates somewhat below those discussed in connection with this alternative, it could adopt the language of alternative B (or C) but associate with such language the growth rates discussed in connection with alternative A. (24) Alternative C.","",""
