year,start_date,end_date,numberofsentences_altA,DFF_Before_meeting,DFEDTR,Sentence_1,Sentence_2,Sentence_3,Sentence_4,Sentence_5,Sentence_6,Sentence_7,Sentence_8,Sentence_9,Sentence_10,Sentence_11,Sentence_12
1971,1971-03-09,1971-03-09,9,3.13,No target in FRED,"Alternative B, for instance, shows a 7 per cent annual rate of growth for M1 over the second quarter and alternative C a 6 per cent rate of increase.","Federal Funds Member Bank Net M1 Rate Borrowings Reserves Alternative A 3-1/2 250-350 + 50 to -150 9% Alternative B 3-3/4--4-1/4 400-500 -150 to -300 7% Alternative C 4-1/4--4-3/4 500-600 -250 to -400 6% (14) Weekly paths for key monetary aggregates are shown in the table on the next page.","Under alternative B money market specifications, a 3-month bill rate in a 3-1/2--4-1/2 per cent range might be anticipated, and under alternative C a 4--4-3/4 per cent range.","Thus, a rise in short-rates of about the magnitude indicated for alternative B might not be accompanied by any appreciable rise in long rates over the second quarter as a whole, although an initial market reaction would be likely; money market tightening of the degree contemplated under alternative C might well bring a more lasting long-term rate advance.","(22) Alternative B.","This language is proposed for possible use if the Committee decides (a) to formulate its primary instruction in terms of desired growth rates for the aggregates, and (b) to adopt as targets the growth rates (including a 7 per cent second-quarter rise in M1) dis- cussed earlier in connection with alternative B. ""To implement this policy, THE COMMITTEE SEEKS TO PROMOTE SUSTAINED GROWTH IN MONETARY AND CREDIT AGGREGATES OVER THE MONTHS AHEAD.","This language differs from alternative B only in that the word ""moderate"" rather than ""sustained"" is suggested to describe the lower target growth rates for the aggregates.","","","","",""
1971,1971-04-06,1971-04-06,5,4,No target in FRED,"Federal funds Member Bank Net M1 rate Borrowings Reserves Alternative A 3-3/4 250-350 +50 to -150 9% Alternative B 4 -- 4-3/4 400-500 -150 to -300 7% Alternative C 4-3/4--5-1/2 500-600 -250 to -400 6% (7) The money market specifications for alternative A include a Federal funds rate around 3-3/4 per cent, the most recent Desk operating target.","Or, if the Committee so desires, it could use a directive with a structure similar to alternative A but with the specifications for money market con- ditions and aggregates given above in connection with alternative B or C. (14) Alternative B.","This language is proposed for possible use if the Committee decides (a) to formulate its primary instruction in terms of desired growth rates for the aggregates, and (b) to adopt as targets the growth rates (including a 7 per cent second-quarter rise in M1) discussed earlier in connection with alternative B, which would be somewhat more moderate than the rates experienced recently, ""To implement this policy, THE COMMITTEE SEEKS TO PROMOTE SOMEWHAT MORE MODERATE GROWTH IN MONETARY AND CREDIT AGGREGATES OVER THE MONTHS AHEAD, WHILE CONTINUING TO MEET SOME PART OF RESERVE NEEDS THROUGH PURCHASES OF COUPON ISSUES IN THE INTEREST OF PROMOTING ACCOMMODATIVE CONDITIONS IN LONG-TERM CREDIT MARKETS.","This language differs from alternative B only in the use of the term ""moderate"" to describe the lower target growth rates for the aggregates.","","","","","","","",""
1971,1971-05-11,1971-05-11,7,4.5,No target in FRED,"To clarify policy possibilities in view of these conflicts, three distinct policy alternatives--with sharply differing specifications --are presented on the following pages: Alternative A aims at stabiliz- ing credit market conditions; Alternative C aims at pursuit of the Committee's previously expressed desires with respect to M1 growth; and Alternative B aims at a ""standard-sized"" FOMC tightening of operational targets in the interest of moderating the growth of the aggregates some- what.","Alternative B takes a middle course.","Fed Funds Member Bank M1 Rate Borrowings 2nd Qtr 3rd Qtr Alternative A 4-1/4 100-200 9% 8-1/2% Alternative B 4-3/4 250-350 8-1/2% 7-1/2% Alternative C 6--8 450-700 5-1/2% 6% (15) Under alternative A, with a funds rate around 4-1/4 per cent, M1 is expected to continue growing relatively rapidly through the third quarter, although slowing somewhat on balance from the very rapid pace of recent months.","(17) Alternative B--which assumes a funds rate centering on 4-3/4 per cent--leads to a somewhat slower growth in monetary aggregates over time.","-14- (18) The 3- onth bill rate would be likely to rise under alternative B, perhaps to around 4-1/2 per cent, or somewhat higher if expectations of an upward adjustment in the discount rate should develop.","(23) Alternative B.","This language is proposed for possible use if the Committee decides (a) to formulate its primary instruction in terms of desired growth rates for the monetary and credit aggregates -17- (subject to the constraints that might be imposed by the Treasury financing and foreign exchange market uncertainties), and (b) to adopt as targets the growth rates (including an 8-1/2 per cent second-quarter rise in M1) discussed earlier in connection with alternative B. ""To implement this policy, THE COMMITTEE SEEKS TO MODERATE GROWTH IN MONETARY AND CREDIT AGGREGATES OVER THE MONTHS AHEAD, [DEL: while] taking account of the CURRENT Treasury financing [DEL: the terms of which are to be announced late in the month,] AND UNCERTAINTIES IN FOREIGN EXCHANGE MARKETS.","This language differs from that shown under alternative B only in that it describes the objective for the aggregates as that of seeking ""to promote moderate growth"" (rather than ""seeking"" to moderate growth')and it omits -19- the phrase ""over the months ahead.""","","","",""
1971,1971-06-08,1971-06-08,5,4.75,No target in FRED,"Alternative A Alternative B Alternative C Federal funds rate 4-3/4 5-1/4 6 Member bank borrowings 250 - 350 350 - 450 450 - 600 Growth in M1: Monthly June 9.5 9.5 9.0 July 15.5 14.5 13.5 August 9.0 8.5 7.0 September 6.0 5.0 3.5 Quarterly 2nd quarter 12.0 12.0 12.0 3rd quarter 10.5 9.5 8.0 (10) Given a Federal funds rate of around 4-3/4 per cent, M1 growth in June would be expected at about a 9-10 per cent annual rate, and for the second quarter as a whole it would be around 12 per cent. -9- (11) A tightening of the money market between now and mid-year to the degrees indicated by the suggested specifications for alternatives B and C would have little effect on growth in M1 during June, but would begin to have more noticeable effects in ensuing months.1/ Under alternative B the M 1 growth rate in the third quarter would be expected to be reduced to 9-1/2 per cent and under alternative C to 8 per cent. (12) Alternative B, which indicates a somewhat more gradual deceleration of the aggregates than alternative C, is less likely to lead to sharp and sustained upward interest rate adjustments and hence to the need for a later easing in money market conditions.","However, over the near- term a funds rate around 5-1/4 per cent, as specified in alternative B, would likely induce a renewed increase in long-term interest rates, particularly as expectations of a discount rate increase became more prevalent and another rise in the prime rate more likely.","Under alternative B, the 3-month bill would be likely to move into a 4-5/8--5-1/4 per cent range by or shortly after mid-year; and the rate would likely be substantially higher under alternative C. (14) Loan demands on banks over the summer months are expected to be fairly strong as economic recovery proceeds and as some borrowers switch from the open market to banks.","(17) Alternative B.","This language is proposed for possible use if the Committee decides (a) to formulate its primary instruction in terms of desired growth rates for the monetary and credit aggregates (subject to any constraints that might be imposed by developments in capital markets), and (b) to adopt as targets for the time being the growth rates discussed earlier in connection with alternative B. ""To implement this policy, the Committee seeks to moderate growth in monetary [DEL: and credit] aggregates over the months ahead, taking account of [DEL: the current Treasury financing,] developments in capital markets [DEL: , and uncertainities in foreign exchange markets].","","","","","","",""
1971,1971-06-29,1971-06-29,7,5.13,No target in FRED,"Alternative A Alternative B Alternative C Federal funds rate 4-7/8--5-1/8% 5--5-1/2% 5-1/2--6% Member bank borrowings $350-500 million $450-700 million $650-850 million 3-month bill rate 4-3/4--5-1/4% 5--5-1/2% 5-3/4--6-1/4% Growth in M1: (SAAR) July August September 3rd Quarter 10% 10-1/2% 9% 10% 10% 9-1/2% 8% 9% n 9-1/2% 8% 7% 8% (7) For seasonal reasons--including Treasury cash borrowing require- ments and the ending of reinvestment demand that normally appears in the last half of June as mid-year tax bills mature--the 3-month bill rate is expected to rise in July from its recent level.","Indeed, under alternative C, little or no growth in M 1 would be expected in the fourth quarter; and alternative B, if maintained, might provide a growth rate of only modest proportions.","Alternative B money market conditions(particularly if the funds rate moves to the upper end of the range) would reduce the likelihood of any rally in the corporate bond market over the near-term, and could cause such yields to back up somewhat, at least for a time.","(14) Alternative B.","If the Committee adopts alternative B it could choose to instruct the Manager to move gradually toward the upper end of the indicated range for the funds rate even if the mone- tary aggregates are growing at the rates specified earlier in connec- tion with alternative B, so long as it appears that such action would not be unduly disturbing to the capital markets.","","","","","","",""
1971,1971-07-27,1971-07-27,9,5.25,No target in FRED,"Alternative B path of the last Bluebook Path 2/ 12.5 10.0 13.0 the bluebook Adjusted Proxy Current Bluebook Current Estimate Path 2 / Estimate 11.0 7.5 6.6 8.0 15.5 6.5 12.6 7.0 6.5 show the reconciliation among bluebook.","(2) The actual course of the monetary aggregates in recent weeks is compared with the alternative B paths of the previous bluebook in-the following rable.","1/ Alternative B. (5) Although M1 in July has turned out to be somewhat stronger than previously projected, the need for reserves in the first three weeks of the month was considerably less than expected (as shown by the difference between ""path"" and ""actual"" required reserves in the table above).","Thus, with the need for reserves reduced, growth of member bank total reserves in July is falling substantially short of what was implied by the alternative B path at the time of the last Committee meeting, as shown in the table above, despite the sharp rise in member bank borrowings.","1/ Alternative A Alternative B Federal funds rate 5-1/2% 5-1/2--6% Member bank borrowings $.","Specifications for alternative B, on the other hand, would envisage a gradual firming of the money market, to the extent permitted by the Treasury financing, to a Federal funds rate of 6 per cent by late in the inter-meeting period; a funds rate fluctuating around 6 per cent has been assumed for the alternative B paths for the monetary aggregates.","Under alternative B, growth is expected to be only about 1/2 percentage point lower than under alternative A in the third quarter, but about 1-1/2 percentage points lower in the fourth quarter.","Thus, under alternative A, growth in M2 is expected to drop to a 6-1/2 per cent annual rate in August, and to 8 per cent in the third quarter; growth would be a little slower under alternative B. (14) Growth in the adjusted bank credit proxy during August and September is expected to be more rapid than in recent months, and the growth rate for the third quarter may be around 9 per cent. Business loan demands are expected to remain fairly weak until around the fourth quarter, but banks are likely to be substantial net buyers of forthcoming Treasury offerings, including the bills to be announced toward the end of August.","Reserve growth would be somewhat less under alternative B, particularly for nonborrowed reserves, with part of the drop-off in nonborrowed offset by increased borrowing.","(20) Alternative B. unless the monetary -15- aggregates appear to be increasing at rates well below those discussed earlier under alternative B.","",""
1971,1971-08-24,1971-08-24,9,5.5,No target in FRED,"Federal funds rate Member bank borrowings 3-month bill rate Growth in M1 (SAAR) August September 3rd Quarter 4th Quarter Second half Alternative A 5-3/8--5-3/4% $700-$900 million 4-3/4--5-1/2% 7-1/2% 5% 8% 3% 5-1/2% Alternative B 4-1/2--5% $450-$650 million 4--4-3/4% 7-1/2% 7% 8-1/2% 4% 6% (11) Staff projections in the last blue book--slightly modified to take into account the 5-3/8-5-3/4 per cent range for the funds rate approved at the July 27 meeting--indicated that M1 would grow at an annual rate averaging around 7 per cent for August and September and around 4 per cent for the fourth quarter.","Under alternative A banks would probably have to press more actively to obtain CD funds than under alternative B in order to offset the slower growth in demand accounts.","Under alternative B, growth rates for both M2 and the credit proxy show little change from the third to fourth quarters on the assumption that the lower interest rates realized under ^that^ alternative would be associated with a greater improvement in time deposit performance.","(16) While the market probably has already discounted some re- duction in the Federal funds rate, sizable downward movement--say, to the lower end of the range specified in alternative B--would undoubtedly be interpreted by the market as a significant policy move.","If the public appetite for demand as against time deposits proves different from that assumed in the alternative B specifications, for example, the Committee might nevertheless wish to provide only the quantity of reserves consistent with those projections.","This would imply the possibility of significantly larger changes in money market conditions, however,  and^ the Committee may wish to set outside limits of acceptable variation in the Federal funds rate--perhaps -13- a band of plus or minus one percentage point around the 4-3/4 per cent midpoint of the funds rate range specified under alternative B. (18) If the Committee adopts alternative C it may want to instruct the Manager to make his operating decisions on the basis of available evidence regarding the relationship between the actual supply of reserves and the supply considered to be best calculated to promote growth in the monetary and credit aggregates at the desired rates.","If the decline in borrowings needed to achieve the alternative B paths is some- what overstated, the growth in nonborrowed reserve could be commensurately smaller.","If the Committee favors a money market orientation for its primary instruction but would prefer to see the aggregates grow at rates somewhat above those projected under unchanged money market conditions, it might modify the alternative A language to call for operations with a view to ""attaining somewhat less firm money market conditions"" and associate with the revised language the money market and aggregate specifications described above in connection with alternative B. (23) Alternative B.","This language is proposed for possible use if the Committee decides (a) to formulate its primary instruction in terms of desired growth rates in the monetary and credit aggregates, and (b) to adopt as targets growth rates similar to those associated with the directive adopted at the previous meeting, as discussed above in connection with alternative B. ""To implement this policy, [DEL: taking account of the current Treasury financing and of developments in capital markets,] the Committee seeks to PROMOTE [DEL: achieve more] moderate growth in mone- tary AND CREDIT aggregates over the months ahead.","-18- If the Committee favors an aggregate orientation for its primary instruction but would prefer to see the aggregates grow at rates somewhat below those discussed in connection with this alternative, it could adopt the language of alternative B (or C) but associate with such language the growth rates discussed in connection with alternative A. (24) Alternative C.","This language is proposed for possible use if the Committee decides to seek the objectives discussed above in connec- tion with alternative B, but would prefer to have the Desk shift emphasis from money market conditions to bank reserves in implementing policy.","As will be noted, the primary instructions of this alternative differs from the language of alternative B only in the deletion of the words ""and money market"" from the phrase ""with a view to achieving bank reserve and money market conditions."""
1971,1971-09-21,1971-09-21,9,5.38,No target in FRED,"(15) Alternative B.","","","","","","","","","","",""
1971,1971-10-19,1971-10-19,8,5.13,No target in FRED,"Alternative A Alternative B Alternative C Federal funds rate 5--5-3/8 4-1/2--5 3-3/4--4-1/2 Member bank borrowings 300--450 150--300 50--150 Growth in M1 (SAAR) October 3% 3% 3% November 1 2 3 December 3-1/2 4 5-1/2 4th Q. 1971 2-1/2 3 4 1st Q. 1972 4-1/2 6 7-1/2 (6) The money market conditions shown for the three paths vary from a range around those recently prevailing (Alt.","For alternative B, the annual rate of money growth rises from 3 per cent in the fourth quarter to 6 per cent in the first quarter,.","(15) Alternative B.","This language is proposed for possible use if the Committee decides to seek the growth rates for the aggregates over the months ahead discussed earlier in connection with alternative B, including a fourth-quarter rate for M1 of 3 per cent and moving up to a 6 per cent path in the first quarter.","This language differs from that of alternative B in indicating that the Committee seeks ""actively to promote"" rather than ""to achieve"" moderate growth in the aggregates over the months ahead.","","","","","","",""
1971,1971-11-16,1971-11-16,10,5,No target in FRED,"(18) Alternative B.","The language for alternative B, ""To implement this policy, the Committee seeks to achieve moderate growth in monetary and credit aggregates over the months ahead.","This language differs from that of alternative B in indicating that the Committee seeks ""to promote substantial growth"" rather than ""to achieve moderate growth"" in the aggregates over the months ahead.","","","","","","","","",""
