year,start_date,end_date,numberofsentences_altC,DFF_Before_meeting,DFEDTR,Sentence_1,Sentence_2,Sentence_3,Sentence_4,Sentence_5,Sentence_6,Sentence_7,Sentence_8,Sentence_9,Sentence_10,Sentence_11,Sentence_12
1971,1971-03-09,1971-03-09,6,3.13,No target in FRED,"Alternative B, for instance, shows a 7 per cent annual rate of growth for M1 over the second quarter and alternative C a 6 per cent rate of increase.","Federal Funds Member Bank Net M1 Rate Borrowings Reserves Alternative A 3-1/2 250-350 + 50 to -150 9% Alternative B 3-3/4--4-1/4 400-500 -150 to -300 7% Alternative C 4-1/4--4-3/4 500-600 -250 to -400 6% (14) Weekly paths for key monetary aggregates are shown in the table on the next page.","Under alternative B money market specifications, a 3-month bill rate in a 3-1/2--4-1/2 per cent range might be anticipated, and under alternative C a 4--4-3/4 per cent range.","Thus, a rise in short-rates of about the magnitude indicated for alternative B might not be accompanied by any appreciable rise in long rates over the second quarter as a whole, although an initial market reaction would be likely; money market tightening of the degree contemplated under alternative C might well bring a more lasting long-term rate advance.","(23) Alternative C.","This language is proposed for possible use if the Committee decides to adopt as targets the growth rates for the aggregates (including a 6 per cent second-quarter rise in M ) discussed earlier in connection with alternative C. ""To implement this policy, THE COMMITTEE SEEKS TO PROMOTE MODERATE GROWTH IN MONETARY AND CREDIT AGGREGATES OVER THE MONTHS AHEAD.","","","","","",
1971,1971-04-06,1971-04-06,3,4,No target in FRED,"Federal funds Member Bank Net M1 rate Borrowings Reserves Alternative A 3-3/4 250-350 +50 to -150 9% Alternative B 4 -- 4-3/4 400-500 -150 to -300 7% Alternative C 4-3/4--5-1/2 500-600 -250 to -400 6% (7) The money market specifications for alternative A include a Federal funds rate around 3-3/4 per cent, the most recent Desk operating target.","A rise in long-term rates would seem likely if the Federal funds rate were to trend convincingly above 4 per cent, with the rise in long rates largest if money market conditions were to tighten as much as specified under alternative C. -12- Possible directive language (13) Alternative A.","This language is proposed for possible use if the Committee decides to adopt as targets the growth rates for the aggregates (including a 6 per cent second quarter rise in M1) discussed earlier in connection with alternative C. ""To implement this policy, THE COMMITTEE SEEKS TO PROMOTE MODERATE GROWTH IN MONETARY AND CREDIT AGGREGATES OVER THE MONTHS AHEAD, WHILE CONTINUING TO MEET SOME PART OF RESERVE NEEDS THROUGH PURCHASES OF COUPON ISSUES IN THE INTEREST OF PROMOTING ACCOMMODATIVE CONDITIONS IN LONG-TERM CREDIT MARKETS.","","","","","","","","",
1971,1971-05-11,1971-05-11,7,4.5,No target in FRED,"(The paths shown as ""desired"" take the June levels for the aggregates indicated in the previous Blue Book under alternative C as targets.","To clarify policy possibilities in view of these conflicts, three distinct policy alternatives--with sharply differing specifications --are presented on the following pages: Alternative A aims at stabiliz- ing credit market conditions; Alternative C aims at pursuit of the Committee's previously expressed desires with respect to M1 growth; and Alternative B aims at a ""standard-sized"" FOMC tightening of operational targets in the interest of moderating the growth of the aggregates some- what.","Alternative C represents a continuation from that table of what was desired for 1/ Weekly paths between now and the next meeting of the Committee are appended.","Fed Funds Member Bank M1 Rate Borrowings 2nd Qtr 3rd Qtr Alternative A 4-1/4 100-200 9% 8-1/2% Alternative B 4-3/4 250-350 8-1/2% 7-1/2% Alternative C 6--8 450-700 5-1/2% 6% (15) Under alternative A, with a funds rate around 4-1/4 per cent, M1 is expected to continue growing relatively rapidly through the third quarter, although slowing somewhat on balance from the very rapid pace of recent months.","(19) Alternative C presents the staff's best estimate as of this moment of the money market conditions required to rapidly move M 1 back to the growth path previously desired by the Committee for the second quarter, and assuming M1 growth at a 6 per cent rate in the third quarter.","-18- (24) Alternative C.","This language is proposed for possible use if the Committee decides to adopt as targets the growth rates (including a 5-1/2 per cent second quarter rise in M1) discussed earlier in connection with alternative C. ""To implement this policy, THE COMMITTEE SEEKS TO PROMOTE MODERATE GROWTH IN MONETARY AND CREDIT AGGREGATES, while taking account of the CURRENT Treasury financing [DEL: the terms of which are to be announced late in the month,] AND UNCERTAINTIES IN FOREIGN EXCHANGE MARKETS.","","","","",
1971,1971-06-08,1971-06-08,9,4.75,No target in FRED,"Though not as magnified, similar control problems could develop in moving onto other less restrictive paths--for instance, the alternative C path presented for consideration at this time.","Alternative A Alternative B Alternative C Federal funds rate 4-3/4 5-1/4 6 Member bank borrowings 250 - 350 350 - 450 450 - 600 Growth in M1: Monthly June 9.5 9.5 9.0 July 15.5 14.5 13.5 August 9.0 8.5 7.0 September 6.0 5.0 3.5 Quarterly 2nd quarter 12.0 12.0 12.0 3rd quarter 10.5 9.5 8.0 (10) Given a Federal funds rate of around 4-3/4 per cent, M1 growth in June would be expected at about a 9-10 per cent annual rate, and for the second quarter as a whole it would be around 12 per cent. -9- (11) A tightening of the money market between now and mid-year to the degrees indicated by the suggested specifications for alternatives B and C would have little effect on growth in M1 during June, but would begin to have more noticeable effects in ensuing months.1/ Under alternative B the M 1 growth rate in the third quarter would be expected to be reduced to 9-1/2 per cent and under alternative C to 8 per cent.","However, by late summer or early fall, it is our best estimate that the growth rate would be sharply reduced, perhaps in alternative C to only about a 3--4 per cent annual rate, although there are great difficulties of course in pinpointing exact months in which low growth rates would be likely to emerge.","(12) Alternative B, which indicates a somewhat more gradual deceleration of the aggregates than alternative C, is less likely to lead to sharp and sustained upward interest rate adjustments and hence to the need for a later easing in money market conditions.","But the general interest rate increase would not carry as far as under alternative C and there would be a greater probability of a corrective market rally later on.","Under alternative B, the 3-month bill would be likely to move into a 4-5/8--5-1/4 per cent range by or shortly after mid-year; and the rate would likely be substantially higher under alternative C. (14) Loan demands on banks over the summer months are expected to be fairly strong as economic recovery proceeds and as some borrowers switch from the open market to banks.","(18) Alternative C.","This language is proposed for possible use if the Committee decides to adopt as targets the growth rates dis- cussed earlier in connection with alternative C, and to instruct the Desk to move to the money market conditions noted in paragraph (9) in connec- tion with that alternative.","","","",
1971,1971-06-29,1971-06-29,5,5.13,No target in FRED,"Alternative A Alternative B Alternative C Federal funds rate 4-7/8--5-1/8% 5--5-1/2% 5-1/2--6% Member bank borrowings $350-500 million $450-700 million $650-850 million 3-month bill rate 4-3/4--5-1/4% 5--5-1/2% 5-3/4--6-1/4% Growth in M1: (SAAR) July August September 3rd Quarter 10% 10-1/2% 9% 10% 10% 9-1/2% 8% 9% n 9-1/2% 8% 7% 8% (7) For seasonal reasons--including Treasury cash borrowing require- ments and the ending of reinvestment demand that normally appears in the last half of June as mid-year tax bills mature--the 3-month bill rate is expected to rise in July from its recent level.","Indeed, under alternative C, little or no growth in M 1 would be expected in the fourth quarter; and alternative B, if maintained, might provide a growth rate of only modest proportions.","Under alternative C, substantial across- the-board increases in long-term interest rates would be highly likely.","(15) Alternative C.","This language is proposed for possible use if the Committee decides to strive for the more substantial modera- tion of growth in the monetary aggregates discussed earlier in connec- tion with alternative C. ""To implement this policy, [DEL: the Committee seeks to moderate growth in monetary aggregates over the months ahead, taking account of developments in capital markets.] System open market operations until the next meeting of the Committee shall be conducted with a view to achiev- ing bank reserve and money market conditions consistent with [DEL: those objectives] SUBSTANTIAL MODERATION OF GROWTH IN MONETARY AGGREGATES OVER THE MONTHS AHEAD.""","","","","","","",
1971,1971-07-27,1971-07-27,0,5.25,No target in FRED,"No Sentences Alternative C","","","","","","","","","","",
1971,1971-08-24,1971-08-24,6,5.5,No target in FRED,"The specifications given for the second alternative (B) might also be employed with directive language presented in a later section under the label of alternative C. (17) Alternative C, as noted earlier, differs from B only with respect to the indicated operating techniques.","This would imply the possibility of significantly larger changes in money market conditions, however,  and^ the Committee may wish to set outside limits of acceptable variation in the Federal funds rate--perhaps -13- a band of plus or minus one percentage point around the 4-3/4 per cent midpoint of the funds rate range specified under alternative B. (18) If the Committee adopts alternative C it may want to instruct the Manager to make his operating decisions on the basis of available evidence regarding the relationship between the actual supply of reserves and the supply considered to be best calculated to promote growth in the monetary and credit aggregates at the desired rates.","(19) Shown in the table below are monthly and weekly aggregates reserve paths consistent with alternative C. -14- Total and Nonborrowed Reserve Paths--alternative C (Daily averages in millions of dollars, seasonally adjusted) Total Reserves Nonborrowed Reserves August September December Per Cent Annual Rates of Growth August September 3rd Q. 1971 4th Q. 1971 Weekly Paths Total Reserves Nonborrowed Reserves Seasonally Adjusted 1/ Not Seasonally Adjusted Seasonally Adjusted 1/ Not Seasonally Adjusted August 25 September 1 8 15 22 31,604 31,929 32,478 32,226 31,955 30,270 30,466 30,940 30,817 30,721 30,739 30,137 32,007 31,707 31,530 29,720 29,916 30,390 30,267 30,171 1/ The level of this series also reflects step adjustments made in the past to avoid discontinuities because of reserve requirement changes.","-18- If the Committee favors an aggregate orientation for its primary instruction but would prefer to see the aggregates grow at rates somewhat below those discussed in connection with this alternative, it could adopt the language of alternative B (or C) but associate with such language the growth rates discussed in connection with alternative A. (24) Alternative C.","","","","","","","",
1971,1971-09-21,1971-09-21,5,5.38,No target in FRED,"Under alternative C, money supply growth would be expected to be a little more rapid in the fourth quarter than under alternative A.","The pick-up could be quite modest under alternative A, however, while under alternative C the cumulative impact of lower interest rates could lead to a return to growth rates of around 6 per cent or so.","A somewhat more rapid growth in such deposits would be anticipated under alternative C, given the marked decline in market interest rates that would be expected.","Under alternative C, the growth rate in the bank credit proxy in the fourth quarter is expected to be around 6-1/2 per cent, as banks in a period of declining interest rates add to investments for purposes of obtaining high yields or capital gains.","(16) Alternative C.","","","","","","",
1971,1971-10-19,1971-10-19,5,5.13,No target in FRED,"Alternative A Alternative B Alternative C Federal funds rate 5--5-3/8 4-1/2--5 3-3/4--4-1/2 Member bank borrowings 300--450 150--300 50--150 Growth in M1 (SAAR) October 3% 3% 3% November 1 2 3 December 3-1/2 4 5-1/2 4th Q. 1971 2-1/2 3 4 1st Q. 1972 4-1/2 6 7-1/2 (6) The money market conditions shown for the three paths vary from a range around those recently prevailing (Alt.","The lower the Federal funds rate were to drop-- and particularly if it moved into the range of alternative C--the greater would be the possibility of a large speculative build-up in bond positions, especially during this forthcoming Treasury financing period.","andfor alternative C from a 4 per cent annual rate to a 7-1/2 per cent annual rate over the same period.","(16) Alternative C.","It is proposed for possible use if the Committee decides to pursue the more aggressive course contemplated by the specifications given earlier for alternative C. ""To implement this policy, the Committee seeks ACTIVELY to PROMOTE [DEL: achieve] moderate growth in monetary and credit aggregates [DEL: , taking account of developments in capital markets] OVER THE MONTHS AHEAD.","","","","","","",
1971,1971-11-16,1971-11-16,9,5,No target in FRED,"Alternative A/B Alternative C Federal funds rate 4-1/2--4-7/8 3-7/8--4-1/2 Member bank borrowings 150-300 50-150 Growth in M (SAAR) November -1 -1 December 1-1/2 3 4th Q. 1971 0 1/2 1st Q. 1972 6 8 (9) Money market conditions consistent with alternative A/B might encompass a Federal funds rate in a 4-1/2--4-7/8 per cent range; member bank borrowings in a $150-$300 million range; and, taking account of recent wide swings in excess reserves, a net reserve position for member banks in a plus $250 million to minus $150 million area.","Alternative C would imply a significant further easing of money market conditions from those that have recently evolved, with, for example, the Federal funds rate thought to be consistent with this alternative in a 3-7/8--4-1/2 per cent range.","Under alternative C, however, short-term interest rates would almost certainly decline over the period ahead, with the bill rate likely to be in a 3-3/4--4-1/4 per cent range.","The lower interest rates and greater reserve supply under alternative C would likely lead to a more rapid 3 per cent rate of growth in December, followed by an 8 per cent expansion in the first quarter.","Under alternative C there could be a pick-up in business borrowing from banks as lending terms ease further, but the increased inflow of demand and consumer-type deposits associated with that alternative would probably generate enough resources so that banks would not need to be more aggressive in that CD market.","Under alternative C, bank credit expansion would be somewhat more rapid in the last few weeks of the current quarter, and considerably larger than under alternative A/B in the first quarter of next year as growth in M2 accelerates.","And if the money market moved into the alternative C range, the whole market would likely adjust downward in yield, impelled in part by expectations of a further decline in the discount rate.","(19) Alternative C.","It -16- is proposed for possible use if the Committee decides to pursue the more aggressive course contemplated by the specifications given earlier for alternative C. ""To implement this policy, the Committee seeks to PROMOTE SUB- STANTIAL [DEL: achieve moderate] growth in monetary and credit aggregates over the months ahead.","","",
1971,1971-12-14,1971-12-14,4,4.25,No target in FRED,"Under alternative C the growth rate in December might be about 5 per cent. (13) The growth rate of M1 is expected to slow in January, except under alternative C.","It would move down from that range under alternative C and up under alternative A. (16) In long-term credit markets, fundamental forces working to hold interest rates down appear strongest in the corporate and mortgage markets.","(20) Alternative C.","It is proposed for possible use if the Committee decides to pursue the more aggressive easing course contemplated by the specifications given earlier for alternative C. -15- ""To implement this policy, the Committee seeks to promote [DEL: somewhat] greater growth in monetary [DEL: and credit] aggregates over the months ahead.","","","","","","","",
1972,1972-01-11,1972-01-11,0,3.75,No target in FRED,"No Sentences Alternative C","","","","","","","","","","",
1972,1972-02-15,1972-02-15,0,3.38,No target in FRED,"No Sentences Alternative C","","","","","","","","","","",
1972,1972-03-21,1972-03-21,0,3.88,No target in FRED,"No Sentences Alternative C","","","","","","","","","","",
1972,1972-04-18,1972-04-18,1,4.06,No target in FRED,"(16) Alternative C.","","","","","","","","","","",
1972,1972-05-23,1972-05-23,5,4.25,No target in FRED,"With sizable transactions demands, efforts to move onto a slower growth path for monetary aggregates--as in alternatives B and C--are likely to involve additional upward pressures on short-term interest rates, with such pressures particularly strong under alternative C.","Under alternative C, the bill rate could move higher more quickly.","This would be particularly so under the money market conditions expected to be consistent with alternative C aggregates.","If short-term rates rise into the alternative C range, we would expect that banks would have to rely particularly heavily on large CD's as interest rate ceilings constrain consumer-type time deposit inflows.","The Committee may wish, however, to consider including the capital markets reference--particularly under alternative C and possibly B--in view of the possibility under these alternatives that strong upward rate pressures could develop in longer-term markets.","","","","","","",
1972,1972-06-19,1972-06-20,3,4.38,No target in FRED,"(16) Alternative C. ""To implement this policy, while taking account of capital market developments and possible Treasury [DEL: refunding] FINANCING, the Committee seeks to achieve bank reserve and money market conditions that will support [DEL: somewhat slower] growth in monetary aggregates over the months ahead AT SOMEWHAT SLOWER RATES THAN IN RECENT MONTHS.""","However, the Committee might wish to consider including such a reference in association with alternative C because of the stronger upward pressures in long-term markets that could develop under that alternative.","As indicated, it is proposed to retain the phrase ""somewhat slower"" in alternative C. CHART 1 RESERVES AVAILABLE TO SUPPORT PRIVATE NONBANK DEPOSITS STRICTLY CONFIDENTIAL (FR) 6/16/72 BILLIONS OF DOLLARS 133 K I I I I I I I I I I27 I I I I I I I I J M J 1971 O M 1972 S M A M 1972 J I J I I J J CHART 2 MONETARY AGGREGATES STRICTLY CONFIDENTIAL (FR) 6/16/72 NARROW MONEY SUPPLY M1,- BILLIONS OF DOLLARS - M 220 I I I I 1 1 I i I i i i BROADER MONEY SUPPLY M2 1971 1972 46/14/72) I/ I I I I I 2 2: 4 SI I J I I - F M A M J J 1972 I_ _ CHART 3 STRICTLY CONFIDENTIAL(FR) 6/16/72 MONETARY AGGREGATES ADJUSTED CREDIT PROXY BILLIONS OF DOLLARS - 400 - 400 - -390 - 380 - 6/14/72) -380 -360 370 -340 iijil_ I Ii I il4 IJ 1,J1 I I I t \ \ TOTAL RESERVES - 35 -36 34 -34 33 - 32 /14/72) 32 32 30 1971 1972 F M A M J J 1972 CHART 4 MONEY MARKET CONDITIONS AND INTEREST RATES MONEY MARKET CONDITIONS INTEREST RATES Short-term FWEEKLY AVERAGES INTEREST RATES Long-term 1970 1971 19721971 1972 1970 1971 19721970 Table 1 Bank Reserves STRICTLY CONFIDENTIAL (FR) June 16, 1972 Reserves Available for Private Nonbank Deposits Aggregate Reserves Required Reserves Seasonally Adjusted Not Seasonally Adjusted Seasonally Adjusted Target and Actual Target and Actual Time U. S. Gov't.","","","","","","","","",
1972,1972-07-18,1972-07-18,3,4.56,No target in FRED,"(10) With respect to money and short-term market conditions, the staff's best current estimate is that the Federal funds rate will need to move up from the recent 4-1/2--4-5/8 per cent range--given rising trans- action demands for cash associated with expansion in GNP--in attaining the reserve path and aggregates of alternatives B or C, with a more pronounced rise likely under alternative C.","If loan demands strengthen as expected, and assuming bank sources of funds become more costly and show only moderate growth (as is most likely under alternative C), banks would probably become more reluctant buyers of longer-term issues of securities.","(19) Alternative C. ""To implement this policy, while taking account of [DEL: possible] THE FORTHCOMING Treasury financing, developments in capital markets, and international developments, the Committee seeks to achieve bank reserve and money market conditions that will support [DEL: moderate] SOMEWHAT SLOWER growth in monetary aggregates over the months ahead.""","","","","","","","","",
1972,1972-08-15,1972-08-15,6,4.81,No target in FRED,"Alternative C would set an RPD growth path designed to slow expansion in M1 down to a 6-1/2 per cent annual rate by the fourth quarter.","Under this approach, the response of interest rates would be less marked than under Alternative C; the Federal funds rate would be expected to fluctuate around 5-1/4 per cent, about 50 basis points above its recent level.","The money market rates associated with alternative C would reduce inflows still further, and given present rate ceilings, they could also make all but the highest yielding longer- term accounts non-competitive with market instruments by the time of the year-end interest-crediting period.","However, the increases in money market rates associated with alternative B could produce an earlier advance in long-term rates, and under alternative C the upward movement in long rates would undoubtedly be both large and prompt.","-14- (20) Alternative C. ""To implement this policy, while taking account of [DEL: the forthcoming Treasury financing,] developments in capital markets, [DEL: and international developments,] the Committee seeks to achieve bank reserve and money market conditions that will support [DEL: moderate] SOMEWHAT SLOWER growth in monetary aggregates over the months ahead.""","In alternative C the same language could be interpreted as calling for adopting Desk operations as necessary to facilitate orderly market adjustments to the higher long-term rate levels foreseen.","","","","","",
1972,1972-09-19,1972-09-19,3,4.94,No target in FRED,"(13) The monetary aggregates under alternative B and C are con- sistent with progressive firming in reserve and money market conditions over the months ahead; however, alternative B moves in this direction more gradually than alternative C. Short rate increases would be greater under alternative C than under B, and the probability of reviving expectations of a discount rate increase would also be commensurately greater.","Alternative C ""To implement this policy, while taking account of developments in [DEL: capital] CREDIT markets, [DEL: and] international developments, AND THE EFFECTS OF BANK REGULATORY CHANGES, the Committee seeks to achieve bank reserve and money market conditions that will support MORE moderate growth in monetary aggregates over the months ahead.""","","","","","","","","","",
1972,1972-10-17,1972-10-17,5,5.06,No target in FRED,"As a result, M2 growth, particularly under alternative C, is targeted to slow more than M1 growth.","The institutional supply of funds would likely be constrained under alternative C, and to a smaller degree under B.","Under alternative C, the range is skewed even more in an upward direction.","-11- Alternative C ""To implement this policy, while taking [DEL: special] account of the effects of possible bank regulatory changes, TREASURY FINANCING OPERATIONS, AND developments in credit markets, [DEL: and international developments,] the Committee seeks to achieve bank reserve and money market conditions that will support [DEL: more] moderate growth in monetary aggregates over the months ahead.""","::;;:: ::::::::::::::::::::::::: :::::::::::::::::::::::: ::::::::::::::::::::::::::::::::::::::::::::::::::..........::: ::: :: .... :::.......... ::: ......................... ...........::::: :: ................ ::::: ...............: :::: Annual Growth Rates consistent with alternative C 1/ Sept. Oct. QIII M. 11.0 7.5 10.5 M 11.0 8.0 10.0 Credit Proxy (Adj.) 99.0 16.0 10.5 11.0 Table 2 Monetary Aggregates (Actual and current projections, seasonally adjusted) STRICTLY CONFIDENTIAL (FR) October 13, 1972 Narrow Broad Adjusted U.S. Total Time deposits Nondeposit Money Money Credit Govt. Time and other Negotiable Sources of Period Supply (M,) Supply (M2 ) Proxy Deposits Savings than CD's CD's Funds 1972--June July Aug. Sept. Oct. 1971--4th Qtr. 1972--1st Qtr. 2nd Qtr. 3rd Qtr. 4th Qtr. 1972--June July Aug. Sept. Oct. 1972--June 7 14 21 28 July 5 12 19 26 Aug. 2 16916 23 30 Sept. 6 13 20 27 p Oct. & p 11 pe (1) ' (2) Monthly Pattern in Billions 236.6 490.4 239.4 495.0 240.5 498.3 241.7 501.8 (243.0) (505.4) Annual Percentage Rates of 1.1 8.0 9.3 13.3 5.3 8.6 8.6 9.3 (7.","","","","","","",
1972,1972-11-20,1972-11-21,2,4.88,No target in FRED,"(14) Under alternative C, the funds rate might be expected to rise in a 5 to 6 per cent range over the next few weeks.","Alternative C To implement this policy, while taking account of the effects of RECENT [DEL: possible] bank regulatory changes, [DEL: Treasury financing operations, and developments in credit markets,] the Committee seeks to achieve bank reserve and money market con- ditions that will support [DEL: more] moderate growth in monetary aggregates over the months ahead [DEL: than recorded in the third quarter].","","","","","","","","","",
1972,1972-12-19,1972-12-19,5,5.56,No target in FRED,"(10) Of the alternatives presented, alternative C--which encompasses a 5 per cent M1 target for the first half of 1973--does involve a slowing of M1 growth that eventually compensates for recent overshoots.","It is thought that attainment of the alternative C aggregate targets would be accompanied by a rise in the Federal funds rate to around 6 per cent over the next few weeks, with perhaps some modest further increase developing later in the winter.","A movement of the Federal funds rate above 5-1/2 per cent--as would be contemplated under alternative C and is possible under alternative B--would set off larger short-term market rate adjustments.","The more substantial rise in short rates anticipated under alternative C, however, probably would exert considerable pressure on longer-term markets.","Alternative C To implement this policy, while taking account of TREASURY FINANCING OPERATIONS [DEL: the effects of recent bank regulatory changes] AND POSSIBLE CREDIT MARKET DEVELOPMENTS, the Committee seeks to achieve bank reserve and money market conditions that will support [DEL: more moderate] SLOWER growth in monetary aggregates over the months ahead than [DEL: recorded in the third quarter] APPEARS INDICATED FOR THE SECOND HALF OF THIS YEAR.","","","","","","",
1973,1973-01-16,1973-01-16,3,5.88,No target in FRED,"Alternative A provides for somewhat more rapid growth in the aggregates and alternative C for somewhat less.","(15) Efforts to achieve the reserve and monetary aggregates of alternative C are likely to entail an even greater firming of money market conditions, with the Federal funds rate probably moving well above 6 per cent by the time of the next meeting.","-13- Alternative C To implement this policy, while taking account of THE FORTHCOMING Treasury financing [DEL: operations] and possible credit market developments, the Committee seeks to achieve bank reserve and money market conditions that will support CONSIDERABLY slower growth in monetary aggregates over the months ahead than [DEL: appears indicated for] OCCURRED IN the second half of [DEL: this] LAST year.","","","","","","","","",
