date,prev,new,description
6/23/70,7.875 , 7.625,"The FOMC agrees that it wants to give greater priority to moderating pressures on financial markets, and that it is willing to accept temporarily high growth of money and the bank credit proxy.  It therefore desires to nudge interest rates down, with an asymmetry toward further easing."
7/21/70,7.3125 , 7.0625,"The FOMC again agrees to attempt to reduce interest rates slightly, with an asymmetry toward further easing."
8/18/70,6.75 , 6.25,"The FOMC agrees to aim for a funds rate of 6-6.75%, with an asymmetry toward ease.  Thus it appears to be agreeing on a direct reduction in the expected funds rate of roughly 3/8 point, plus an additional expected reduction of roughly 1/8 point from the asymmetry."
9/15/70,6.375 , 6.1875,"The FOMC agrees that some easing in credit market conditions is appropriate, and that it desires a growth rate of the money stock consistent with staff projections of a funds rate toward the low end of 6.125-6.5%."
10/20/70,6.25 , 6.125,"The FOMC agrees to a slight and gradual easing, but still wants the funds rate to remain in the range of 6-6.5%."
11/17/70,5.75 , 5.125,"The FOMC agrees to aim for a funds rate in the lower half of 5-5.75%, with a possibility of letting the rate go below 5% if circumstances warrant."
12/15/70,5.125 , 4.75,"The FOMC agrees to aim for a funds rate of 5%, with a strong asymmetry toward further ease.  Given the volatility of the funds rate in this period, the asymmetry suggests an additional expected fall in the funds rate of roughly 1/4 point."
1/12/71,4.5 , 4,"The FOMC agrees to aim for a funds rate around 4.25% immediately, with a strong asymmetry toward further easing.  The lower bound of its range for the funds rate is 3.75%.  Given the volatility of the funds rate in this period and the strength of the asymmetry, this suggests an additional expected reduction of roughly 1/4 point."
2/9/71,3.75 , 3.625,"The FOMC agrees on no immediate change, but a clear asymmetry toward ease."
3/9/71,3.5 , 3.625,"The FOMC agrees on no immediate change, but a clear asymmetry toward tightening."
4/6/71,3.75 , 4.125,The FOMC agrees to tighten.  There is no explicit discussion of the magnitude.  But the summary of the next meeting implies that most but not all of the overall rise of 1/2 point in the intermeeting period was an implementation of the policy agreed to at this meeting.
5/11/71,4.25 , 4.5,"The FOMC had been seeking a funds rate of around 4.25%, but the actual rate had been around 4.5% despite its efforts.  At this meeting, the FOMC decides that it wants the rate to remain around its current level of 4.5%.  In addition, there is a complicated asymmetry:  the FOMC wants to move aggressively to reduce rates if money growth is less than expected, and to raise them moderately if money growth is greater than or roughly equal to expected.  This does not point to an expected rate clearly above or below 4.5%."
6/8/71,4.75 , 5.125,"The FOMC agrees to tighten gradually.  The Federal Reserve Bank of New York open-market desk's series for the expected funds rate rises immediately by 1/4 point; this suggests an expected tightening of somewhat more than this.  Further, the summary of the next meeting does not attribute any of the moves in the Desk's expected rate in the intermeeting period, which total 3/8 point, to news."
6/29/71,5.125 , 5.375,"The FOMC agrees to tighten policy.  The Committee's focal rate for the funds rate is 5-5.5%, with a clear expectation that it will be in the upper half of the range."
7/27/71,5.5 , 5.625,"The FOMC agrees that it wants more moderate money growth.  But there is no explicit reference to any firming of money market conditions.  Thus there appears to be a slight expected tightening.  The behavior of the Desk's expected rate is consistent with this:  there is no immediate change, and then a rise from ""5-5.5, upper end"" to ""5.5-5.75, upper end."""
8/24/71,5.625,5.625,"The FOMC agrees on no change in policy, with a slight asymmetry toward tightening.  The asymmetry is quite weak, however, and the range for the Desk's expected rate in fact moves down slightly."
9/21/71,5.5 , 5.25,"The FOMC agrees to ease.  The Committee appears to want the funds rate to be in the lower half of 5-5.625%, suggesting a rate around 5.1875%.  But in the face of low money growth over the intermeeting period, the Desk's expected rate falls only to ""5.25, or a shade under.""  Balancing these somewhat conflicting pieces of evidence suggests an expected rate of about 5.25% on the basis of the policy adopted at this meeting."
10/19/71,5.1875 , 5.0625,"The FOMC agrees that some easing might be indicated.  The Committee wants the funds rate to stay above 5% barring unexpected developments, and the Blue Book for the next meeting suggests that the level of the funds rate expected on the basis of this meeting was about 5.0625%.  Consistent with this, the Desk's expected rate falls to 5-5.125% over the two weeks after the meeting."
11/16/71,4.75 , 4.375,"The FOMC agrees to seek appreciably easier money market conditions.  The Committee appears to want a funds rate in the lower half of the range 4.25-4.875%, and the material from the next meeting suggests that the fall in the funds rate to 4.375% over the intermeeting period was not a response to adverse news."
12/14/71,4.375 , 3.75,"The FOMC in effect adopts a lower bound for the funds rate of 3.625%, with a policy that is expected to lower the rate to near this bound with substantial probability."
1/11/72,3.625 , 3.3125,"The FOMC agrees to seek a large increase in total reserves to support faster monetary growth.  The Committee appears to want to reduce the funds rate immediately to around 3.25%, with a possibility of lowering it further.  The Desk's expected rate, however, moves only to slightly below 3.5% and remains there for two weeks despite favorable news about money and reserve growth.  Balancing these conflicting considerations suggests an expected funds rate of slightly above 3.25%."
2/15/72,3.25,3.25,"The FOMC agrees that it wants to avoid large changes in money market conditions in either direction.  The Committee agrees to seek a rate of growth of reserves available to support private nonbank deposits (RPD's) that the staff projection suggests may possibly be associated with some firming.  But one member dissents on the grounds that he believes the policy will in fact lead to easing.  Thus, the Committee does not appear to be agreeing on any clear expected change in the funds rate.  The Desk's expected rate is not available for the two weeks after the meeting, and is therefore not informative."
3/21/72,3.9375 , 4.25,"The FOMC agrees not to let the funds rate exceed 4.25% without consultation, but also adopts a goal for RPD's that the staff projects will be likely to require a rate over 4.25%.  This suggests that 4.25% is a reasonable estimate for the likely outcome for the funds rate."
4/18/72,4.25 , 4.375,The FOMC agrees to a goal for RPD's that the staff projects will lead to a funds rate of 4-5%.  But it also agrees to aim to keep the funds rate around 4.25% unless reserve and money growth appear likely to be outside the Committee's desired ranges.  These considerations suggest an expected funds rate between 4.25% and 4.5%.
5/23/72,4.25 , 4.5625,"The FOMC adopts a range for the funds rate of 4.25-5.5%, but with a desire to avoid a large increase and a strong reluctance to let it exceed 5%.  This suggests an expected rate slightly below the midpoint of 4.25-5%.  Consistent with this, the Desk's expected rate rises gradually over the intermeeting period to just under 4.5% despite low RPD growth."
6/19/72,4.4375 , 4.5625,The FOMC agrees to a goal for RPD's that the staff projection suggests might be associated with some firming.  The Committee appears to want a funds rate above its current level and below 4.75%.  The Desk's expected rate rises marginally soon after the meeting.
7/18/72,4.625,4.625,"There is a clear sense that little or no change in interest rates is needed.   There is more sentiment on the FOMC for a slight updrift than a slight downdrift, but no important support for any significant change.  Further, there is essentially no change in the Desk's expected rate for two weeks after the meeting, and the summary of the next meeting suggests that the small change that did occur after two weeks was a response to high RPD growth."
8/15/72,4.75 , 4.875,"The FOMC adopts a range for the funds rate of 4.5-5.25%, with a focus on the narrower range 4.75-5%.  Consistent with this, the Desk's expected rate rises quickly by 1/8 point; it then rises gradually by another 1/8 point in response to high RPD growth."
9/19/72,5 , 5.1875,"The FOMC adopts a range for the funds rate of 4.75-5.375%, but with an expectation that the rate is unlikely to go below 5%.  The Desk's expected rate moves immediately to 5.125%, and at the next meeting the open-market manager reports that at the time he believed that it was very likely that additional firming would be needed."
10/17/72,5.0625 , 5.1875,"The FOMC agrees that a fair amount of emphasis should be put on interest rates in implementing policy.  It also agrees to seek no immediate change in interest rates, but with a clear asymmetry toward tightening."
11/20/72,5.0625 , 5.1875,There is again a clear asymmetry toward tightening:  the FOMC agrees that the funds rate is unlikely to go below 5% or above 5.5%.  This suggests an expected rate between its current level and the midpoint of 5-5.5%.
12/19/72,5.375 , 5.625,"The funds rate had risen by about 1/8 point between the time of the forecast and the time of the meeting.  At the meeting, the FOMC agrees to a range for the funds rate of   5.125-5.875%.  But the Committee is clearly reluctant for the rate either to fall from its current level of around 5.5% or to exceed 5.75%."
1/16/73,5.75 , 6.25,"The FOMC agrees to a range for the funds rate of 5.75-6.375%, but with a clear sense that the rate will move to between 6.125% and 6.375%."
2/13/73,6.375 , 6.6875,"The FOMC agrees to a range for the funds rate of 6-6.75%, but with a clear sense that the rate will be in the upper part of this range, and with an asymmetry to further tightening.  This suggests and expected rate slightly above the midpoint of the upper half of this range, which is 6.5625%."
3/19/73,7 , 7.125,"The FOMC agrees to a range for the funds rate of 6.75-7.5%, with a focus on the narrower range of 7-7.25%."
4/17/73,7 , 7.1875,"The FOMC adopts a range for the funds rate of 6.875-7.5%, but with money and RPD targets the staff projects are most likely to be consistent with a funds rate in the lower part of this range.  The Desk's expected rate moves immediately to 7.25%, however.  Balancing these somewhat conflicting pieces of evidence suggests an expected rate of around 7.1875%."
5/15/73,7.5 , 8,"The FOMC adopts a stated range for the funds rate of 7.25-7.875%, but with a fairly explicit acknowledgement that the range is probably too low to be consistent with its money and RPD targets, and that intermeeting adjustments may be needed.  The Desk's expected rate moves immediately to 7.875%, and then gradually to 8.5% over the intermeeting period in response to high money growth.  At the next meeting, the open-market manager comments that the stated upper limit of 7.875% had little impact on how policy was conducted.  These considerations suggest an expected rate slightly above 7.875%."
6/18/73,8.5 , 9,"The FOMC agrees to a lower target range for RPD growth than the one the staff analysis suggests would be associated with little change in money market conditions, and agrees that money market conditions might be permitted to vary more in the intermeeting period than previously.  The Committee adopts a range for the funds rate of 7.75-9.25%, but with a clear expectation that interest-rate increases are likely."
7/17/73,9.75 , 10,"The FOMC adopts money and RPD targets that the staff projects will be associated with little change in interest rates, but with an asymmetry toward tightening and a willingness to accept non-trivial fluctuations in interest rates."
8/21/73,10.5 , 10.75,"The FOMC adopts a range for the funds rate of 10-11%, but with a clear expectation that the rate will be in the upper part of the range."
9/18/73,10.75 , 10.375,"The FOMC agrees to seek a funds rate of 10.5% immediately, with a modest asymmetry toward further easing."
10/16/73,10.5 , 9.75,"The FOMC agrees to seek a funds rate of 9.75-10%, with a modest asymmetry toward further easing."
11/19/73,10.125,10.125,"The FOMC agrees to a range for the funds rate of 9-10.5%, with a focus on the narrower range of 10.125-10.25%.  Given the asymmetry of 9-10.5% around 10.125-10.25%, this suggests an expected rate slightly below the midpoint of 10.125-10.25%."
12/17/73,10.25 , 9.625,"The FOMC agrees that in general it will place more emphasis on money market conditions.  It also agrees to seek a funds rate of 9.75% initially, with an asymmetry toward further ease."
1/21/74,9.75 , 9.375,The FOMC agrees to attempt to move the funds rate promptly to 9.25-9.5%.
2/20/74,9 , 8.875,"The FOMC agrees to seek no immediate change in the funds rate, but with a modest asymmetry toward ease."
3/18/74,9.1875 , 9.875,"The FOMC agrees to seek a funds rate of 9.75% after a few days, with a modest asymmetry toward further tightening."
4/15/74,9.875 , 10.5,"The Desk's expected rate rose from ""9.75, or a shade higher"" to ""10, or somewhat above"" between the time of the forecast and the time of this meeting.  At the meeting, the FOMC agrees to seek a funds rate of 10.25-10.5%, with a modest asymmetry toward further tightening."
5/21/74,11 , 11.375,"The Desk's expected rate rose from 11% to 11.25% between the time of the forecast and the time of this meeting.  At the meeting, the FOMC agrees to a range for the funds rate of 11-11.5%, with a modest asymmetry toward tightening."
6/18/74,11.625 , 11.875,"The Desk's expected rate rose from roughly 11.625% to roughly 11.75% between the time of the forecast and the time of this meeting.  At the meeting, the FOMC agrees to a range for the funds rate of 11.25-12.25%, with a focus on the narrower range of 11.75-12%."
7/16/74,12.75 , 12.25,"Although the stated upper limit of the FOMC's target range remained at 12.25% over the entire intermeeting period, the actual rate was generally over 13% and the FOMC decided in an intermeeting teleconference not to press hard to bring the rate within the target range.  Thus it appears that initially the FOMC was aiming for a rate between 12.25% and 13-13.5%.  At this meeting, the FOMC agrees to ease, and chooses a new target range centered on 12.25%.  The Desk's expected rate moves quickly to around 12.25% and remains there."
8/20/74,12.25 , 11.875,"The FOMC agrees to a range for the funds rate of 11.5-12.5%, with a focus on 11.75-12%.  The Desk's expected rate goes quickly to ""12, or a shade below."""
9/10/74,11.75 , 11.125,"The FOMC agrees to seek a funds rate of about 11.25% if money growth rates are within its target ranges, with an asymmetry toward further ease."
10/14/74,10.4375 , 9.625,"The FOMC agrees to seek a funds rate of about 9.75% if money growth rates are within its target ranges, with an asymmetry toward further ease."
11/19/74,9.5 , 9.25,"The FOMC agrees to ease slightly further, and agrees to a target range for the funds rate of 8.5-10% with no asymmetry."
12/16/74,8.875 , 8.25,"The Desk's expected rate fell from around 8.875% at the time of the forecast to around 8.75% at the time of this meeting.  At the meeting, the FOMC agrees to some further easing, with a range for the funds rate of 7.5-9% and an emphasis on the midpoint of the range.  The Desk's expected rate falls immediately to 8.25%."
1/20/75,7.25 , 6.6875,"The Desk's expected rate fell from around 7.25% to around 7.125% between the time of the forecast and the time of this meeting.  At the meeting, the FOMC agrees to a range for the funds rate of 6.5-7.25%, but with a focus on the bottom part of the range.  The Desk's expected rate moves immediately to 6.75-7%, and then gradually to 6.25% over the intermeeting period in response to news.  The midpoint of the bottom half of the FOMC's range seems a reasonable estimate of the expected funds rate based on this meeting."
2/19/75,6.25 , 5.75,"The FOMC agrees that money market conditions will probably have to ease further for its money growth targets to be achieved, and it chooses a range for the funds rate centered on 5.75%.  At the next meeting, the open-market manager reports that he had expected to move the funds rate to roughly 5.75% over the intermeeting period."
3/18/75,5.75 , 5.25,"The FOMC agrees to seek a funds rate of 5.5% immediately.  It also agrees that in all likelihood it will soon seek a rate of 5.25%, although unusual circumstances could cause it to aim either higher or lower.  At the next meeting, the open-market manger reports that he had expected to move the rate to 5.25%."
4/14/75,5.5 , 5.375,"The FOMC chooses a range for the funds rate of 4.75-5.75%.  But it agrees to initially seek a range around 5.5%, and then to let the rate drift gradually down toward 5.25% but to avoid aggressive efforts to reach that rate."
5/20/75,5.125,5.125,"The FOMC agrees to emphasize money market conditions more than before, and to seek to attempt to maintain conditions similar to those now prevailing.  There is a hint of a slight asymmetry toward ease, but not enough to point to a noticeable expected fall in the funds rate."
6/16/75,5.25 , 5.625,"The FOMC agrees to a range for the funds rate of 5-6% and to initially seek a rate of 5.5%, but with an asymmetry toward further tightening."
7/15/75,6 , 6.125,"The FOMC agrees to seek roughly unchanged money market conditions, with an asymmetry toward tightening.  Its new range for the funds rate is centered on 6.125%."
8/19/75,6.1875,6.1875,"The FOMC agrees to seek a funds rate in its current range of 6.125-6.25%, with no asymmetry."
9/16/75,6.125 , 6.375,"The FOMC agrees to a range for the funds rate of 6-7%, but not to go above 6.75% without consultation.  The Desk's expected rate moves quickly to 6.25-6.5%."
10/21/75,5.75 , 5.5,"The FOMC agrees that in the absence of significant news, it will seek a funds rate of around 5.5%."
11/18/75,5.25 , 5,"The FOMC agrees to a range for the funds rate of 4.5-5.5%, and to seek to move the rate to 5% barring unusual developments.  At the next meeting, the open-market manager reports that he had expected to move the rate to 5%."
12/16/75,5.25,5.25,"The FOMC agrees to seek to keep the funds rate around its current level of 5.25%.  There is a slight asymmetry toward ease, but not enough to point to a noticeable expected fall in the funds rate."
1/20/76,4.75,4.75,The FOMC agrees to seek to keep the funds rate around its current level of 4.75%.
2/17/76,4.75,4.75,Same as previous meeting.
3/15/76,4.75,4.75,Same as previous meeting.
4/20/76,4.75 , 4.875,"The FOMC agrees to seek a funds rate around 4.875%, and the Desk's expected rate moves promptly to this level."
5/18/76,5.125 , 5.375,"The Desk's expected rate rose from 5.125% to 5.25% between the time of the forecast and the time of this meeting.  At the meeting, the FOMC agrees to a policy that is likely to involve some modest further firming, and to a range for the funds rate centered on 5.375%.  The Desk's expected rate moves promptly to this level."
6/22/76,5.5,5.5,"Although there is some sentiment in the FOMC for a slight tightening, the Committee agrees to a range of 5.25-5.75% for the funds rate, and the Desk's expected rate does not change."
7/19/76,5.25,5.25,"There is slightly more sentiment on the FOMC for tightening than for easing, but not enough to point to a noticeable expected rise in the funds rate.  Further, the Committee agrees to a range for the funds rate centered on 5.25%, and the Desk's expected rate does not change."
8/17/76,5.25,5.25,The FOMC agrees to seek to keep the funds rate around its current level of 5.25%.
9/21/76,5.25,5.25,"There is slightly more sentiment on the FOMC for easing than for tightening, but not enough to point to a noticeable expected fall in the funds rate.  The midpoint of the new range is 5.125%.  However, the Desk's expected rate does not change initially, and the summary of the meeting indicates that the later fall was a response to news."
10/19/76,5 , 4.875,"The FOMC agrees to seek a funds rate of around 4.875%.  In fact, however, the Desk never lowers its expected rate, because the money growth data on 10/21 are unexpectedly high.  Nonetheless, the expected reduction agreed to at this meeting is 1/8 point."
11/16/76,5 , 4.75,The FOMC agrees to seek a reduction of the funds rate in two steps to 4.75% unless money growth is surprisingly strong.  The Desk's expected rate makes these falls.
12/20/76,4.6875 , 4.625,"The Desk's expected rate fell from 4.625-4.75% to 4.625% between the time of the forecast and the time of this meeting.  At the meeting, the FOMC agrees to seek to keep the funds rate around its current level."
1/17/77,4.625 , 4.6875,The FOMC agrees to seek a funds rate between 4.625% and 4.75%.
2/15/77,4.6875,4.6875,The FOMC agrees to seek to keep the funds rate around 4.625-4.75%.
3/15/77,4.6875,4.6875,"Despite some sentiment for a slight tightening, the FOMC agrees to seek to keep the funds rate in the area of 4.625-4.75%."
4/19/77,4.6875 , 4.8125,"The Desk's expected rate rose from 4.625-4.75% to 4.75% between the time of the forecast and the time of this meeting.  At the meeting, the FOMC agrees to seek a funds rate of about 4.75%.  There is some discussion of a target of 4.875%, however, and the Committee's new range for the rate is centered on 4.875%.  The Desk's expected rate moves promptly to ""4.75, or a shade higher."""
5/17/77,5.25 , 5.375,The FOMC agrees to seek a funds rate around 5.375%.
6/21/77,5.375,5.375,The FOMC agrees to seek to keep the funds rate around its current level of 5.375%.
7/19/77,5.375,5.375,"Although there is a little sentiment for tightening, the FOMC agrees to seek to maintain the funds rate at its current level of 5.375%.  The summary of the next meeting states that the change in the targeted rate later in the month was a response to news."
8/16/77,5.875 , 6,"The Desk's expected rate rose from 5.875% to 6% between the time of the forecast and the time of this meeting.  At the meeting, the FOMC agrees to seek to maintain the funds rate at about the prevailing level of 6%."
9/20/77,6.125 , 6.25,"The FOMC agrees to seek a funds rate of about 6.25%, and the Desk's expected rate rises promptly to this level."
10/17/77,6.5,6.5,"Although there is a little sentiment for tightening, the FOMC agrees to seek to maintain the funds rate around its current level of 6.5%.  The Desk's expected rate does not change."
11/15/77,6.5,6.5,The FOMC agrees to seek to maintain the funds rate around its current level of 6.5%.
12/19/77,6.5,6.5,Same as previous meeting.
1/17/78,6.75,6.75,"The FOMC agrees to maintain the funds rate around its current level of 6.75%.  There is a slight asymmetry toward tightening, but not enough to point to a noticeable expected rise."
2/28/78,6.75,6.75,"Similar to previous meeting, though the asymmetry appears even milder."
3/21/78,6.75,6.75,"Similar to the January meeting.  When money growth is unexpectedly high during the intermeeting period, the Desk does not act to raise the funds rate; this supports the view that the intended policy is not strongly asymmetric."
4/18/78,6.75 , 7,"The FOMC agrees to seek a funds rate slightly above its current level of 6.75%.  The Desk's expected rate moves immediately to 7%, and the summary of the next meeting states that this move was taken in accordance with the Committee's decision at this meeting."
5/16/78,7.3125 , 7.5,"The FOMC agrees to seek a funds rate slightly higher than its current level, which is described as between 7.25% and 7.375%, or as slightly above 7.25%.  The Desk's expected rate moves immediately to 7.5%, and the summary of the next meeting states that this move was taken in accordance with the Committee's decision at this meeting."
6/20/78,7.5 , 7.75,"The FOMC agrees to seek a funds rate of 7.75%, and the Desk's expected rate moves promptly to this level."
7/18/78,7.75 , 7.875,"The FOMC agrees to seek a funds rate between 7.75% and 8%, and the Desk's expected rate moves promptly to 7.875%."
8/15/78,7.875 , 8,"The FOMC agrees to seek a funds rate of around 8%, and the Desk's expected rate moves promptly to this level.  Somewhat surprisingly, its expected rate then moves to 8-8.125% on 8/21; there is no evidence that this is a response to a decision reached at this meeting, however."
9/19/78,8.375 , 8.5,"The FOMC agrees to seek a funds rate of around 8.5%, and the Desk's expected rate moves promptly to this level.  There is a little sentiment for more tightening, but it is not strong and no asymmetry is agreed to.  The Desk's expected rate rises to 8.625% on 9/22, but there is no evidence that this is a response to a decision reached at this meeting, and the summary of the next meeting suggests that it may have been a response to news."
10/17/78,8.75 , 9,"The FOMC agrees to seek a funds rate around 9%, and the Desk's expected rate moves promptly to this level."
11/21/78,9.6875 , 9.875,"The FOMC agrees to seek a funds rate of around 9.875%, and the Desk's expected rate moves promptly to this level."
12/19/78,9.875 , 10.0625,"The FOMC agrees to seek a funds rate of 10% or slightly higher, and the Desk's expected rate moves promptly to ""10, preferring slightly above to below."""
2/6/79,10.0625,10.0625,"The FOMC agrees to seek to maintain the funds rate at about its current level of 10% or slightly higher, and the Desk's expected rate remains unchanged at ""10, or slightly above."""
3/20/79,10.0625,10.0625,Same as previous meeting.
4/17/79,10.0625,10.0625,Same as previous meeting.
5/22/79,10.25,10.25,"The FOMC agrees to seek to maintain the funds rate at about its current level of 10.25%, and the Desk's expected rate is unchanged at this level."
7/11/79,10.25,10.25,Same as previous meeting.
8/14/79,10.625 , 11,"The FOMC agrees to seek a funds rate of about 11%, and the Desk's expected rate moves promptly to this level."
9/18/79,11.375 , 11.5,"The FOMC agrees to seek a funds rate of about 11.5%, and the Desk's expected rate moves promptly to this level."
10/6/79,11.5 , 14.5,"As part of its change in operating procedures, the FOMC widens its range for the funds rate to 11.5-15.5%, and agrees to place much less emphasis on the funds rate.  The Committee anticipates that the policy adopted at this meeting will lead to a prompt increase in the funds rate.  Two pieces of evidence suggest that 14.5% is a reasonable estimate of the expected level of the rate implied by the policy adopted at this meeting.  First, the Committee believes that the rate is much more likely to be in the upper half of its target range than in the lower half; the midpoint of the upper half is 14.5%.  Second, the Desk's expected rate moves immediately to 13%, and then to ""might be pushed into upper portions of 11.5-15.5.""  It then rises to 15.5% or above, but the summary of the next meeting makes it clear that this was in part a response to news."
11/20/79,13.5,13.5,"The FOMC agrees to keep the range of 11.5-15.5%, which is centered on the current level of 13.5%, with no indication that it expects the funds rate to move in one direction or the other.  The Desk's expected rate remains steady at 13-14%."
1/8/80,13.5,13.5,"The FOMC agrees to keep the range for the funds rate at 11.5-15.5%, and there is no indication that it desires any change in the rate from the generally prevailing recent level, neglecting transitory factors, of around 13.5%.  The Desk's expected rate is ""down somewhat from the 14 recent level."""
2/4/80,13.5 , 14,"The FOMC agrees that the monetary aggregates are more or less on course, and agrees to keep the range for the funds rate at 11.5-15.5%.  But it wants money growth to slow, and does not appear to think that this will happen on its own.  Thus there appears to be a modest tightening.  In light of the volatility of the funds rate, this suggests an expected move of roughly 1/2 point.  The Desk's expected rate is missing for the two weeks after the meeting, and is then 14.5-15%.  The summary of the next meeting suggests that there was significant news by mid-February, however."
3/18/80,16.5 , 18.25,"It is clear that the FOMC is choosing a policy that it anticipates will produce a funds rate higher than the current level of both the actual rate and the Desk's expected rate of about 16.5%.  The Committee raises the lower limit of its range for the rate by 1.5 points and the upper limit by 2, suggesting an expected tightening of about 1.75 points.  Similarly, the average of the current level of the rate and the upper limit of the range is 18.25%.  The Desk's expected rate is not very informative:  it is missing for a week, then 16-18%, and then suggests that the rate could go close to 20%."
4/22/80,18.375 , 14.5,"It is clear that the FOMC expects a substantial fall in the funds rate.  For example, the one member who wants only a moderate loosening dissents on the grounds that he believes that policy adopted will lead to an excessive fall in rates.  The Desk's expected rate moves immediately to 14-15%."
5/20/80,10.875 , 9.5,"Again, it is clear that the FOMC expects the funds rate to fall.  The Desk's expected rate moves immediately to ""decline .. to not below 9.5%,"" and the summary of the next meeting does not attribute any of the decline in the rate to about 9.375% in the intermeeting period to news.  Similarly, the average of the current rate and the bottom of the Committee's range is 9.6875%, and the midpoint of the lower half of the Committee's range is 9.875%.  All of this suggests an expected fall to the vicinity of 9.5%."
7/9/80,9.375,9.375,"There is no discussion of expectations about the funds rate in the meeting summary, and the Desk's expected rate is missing around this meeting.  But the fact that the Committee leaves the lower end of its range unchanged at 8.5%, only moderately below the current level, suggests that it does not expect a noticeable decline in the rate.  And the fact that the summary indicates that the Committee will accept higher money growth if demand rises suggests that it does not expect a noticeable rise."
8/12/80,9.625 , 9.875,"Most members support a policy that would not be expected to lead to any clear change in the funds rate in either direction.  But a few members favor a more restrictive policy, and the FOMC adopts objectives for money growth marginally lower than those the majority had been discussing.  This suggests a slight tightening.  Consistent with this, the Desk's expected rate rises slightly."
9/16/80,10.25 , 11.25,"The funds rate rose from about 10.25% to about 10.75% between the time of the forecast and the time of this meeting.  At the meeting, the FOMC expresses a strong desire to reduce money growth, although it thinks that this may not require an immediate change in money market conditions.  Thus there appears to be a clear asymmetry toward tightening.  In light of the volatility of the funds rate, this suggests an additional expected increase of roughly 1/2 point.  Broadly consistent with this, the Desk's expected rate changes little initially but ends up rising above 12% in response to news."
