date_m,d_menu_adj_m050,d_menu_adj_m025,d_menu_adj_0,d_menu_adj_025,d_menu_adj_050
2001-08-01,1,1.0,1.0,0.0,0
2001-09-01,0,0.0,0.0,0.0,0
2001-10-01,0,1.0,0.0,0.0,0
2001-11-01,1,1.0,1.0,0.0,0
2001-12-01,1,1.0,1.0,0.0,0
2002-01-01,0,1.0,1.0,0.0,0
2002-02-01,0,0.0,0.0,0.0,0
2002-03-01,0,1.0,1.0,1.0,0
2002-04-01,0,0.0,0.0,0.0,0
2002-05-01,0,0.0,1.0,1.0,0
2002-06-01,0,1.0,1.0,1.0,0
2002-07-01,0,0.0,0.0,0.0,0
2002-08-01,0,1.0,1.0,0.0,0
2002-09-01,1,1.0,1.0,0.0,0
2002-10-01,0,0.0,0.0,0.0,0
2002-11-01,1,1.0,1.0,0.0,0
2002-12-01,0,1.0,1.0,0.0,0
2003-01-01,0,1.0,1.0,0.0,0
2003-02-01,0,0.0,0.0,0.0,0
2003-03-01,1,1.0,1.0,0.0,0
2003-04-01,0,0.0,0.0,0.0,0
2003-05-01,1,1.0,1.0,0.0,0
2003-06-01,1,1.0,1.0,0.0,0
2003-07-01,0,0.0,0.0,0.0,0
2003-08-01,0,1.0,1.0,0.0,0
2003-09-01,0,1.0,1.0,0.0,0
2003-10-01,0,1.0,1.0,0.0,0
2003-11-01,0,0.0,0.0,0.0,0
2003-12-01,0,1.0,1.0,0.0,0
2004-01-01,0,1.0,1.0,1.0,0
2004-02-01,0,0.0,0.0,0.0,0
2004-03-01,0,0.0,1.0,0.0,0
2004-04-01,0,0.0,0.0,0.0,0
2004-05-01,0,0.0,1.0,1.0,0
2004-06-01,0,0.0,1.0,1.0,1
2004-07-01,0,0.0,0.0,0.0,0
2004-08-01,0,0.0,1.0,1.0,1
2004-09-01,0,0.0,1.0,1.0,0
2004-10-01,0,0.0,0.0,0.0,0
2004-11-01,0,0.0,1.0,1.0,0
2004-12-01,0,0.0,1.0,1.0,0
2005-01-01,0,0.0,0.0,0.0,0
2005-02-01,0,0.0,1.0,1.0,1
2005-03-01,0,0.0,0.0,1.0,1
2005-04-01,0,0.0,0.0,0.0,0
2005-05-01,0,0.0,0.0,1.0,1
2005-06-01,0,0.0,0.0,1.0,1
