start_date,Var1
1987-03-31,"On a quarterly
average basis, M1 would rise at a 7-1/2 percent rate in the second quarter,
the slowest rate since late 1984, and its velocity would decline at only a
at about a 10 percent annual rate..
(14) Alternative A assumes a reduction in discount window borrow-
ing to a near-frictional $150 million or a 50 basis point decrease in the
discount rate with borrowing maintained at $300 million."
1988-05-17,"M3 could
be supported somewhat by a further shifting of business credit demands to
banks as higher bond yields curtail firms' offerings of longer-term debt,
necessitating greater reliance on managed liabilities by banks than under
alternative B..
(14) Alternative A would be implemented through restoring the
assumption for adjustment plus seasonal borrowing to the level of $200 mil-
lion that was in force from late January through late March, with federal
funds probably returning to the 6-1/2 percent trading area; even lower rates
could prevail if seasonal credit, which is now above $200 million, responded
relatively little to the decline in reserve pressures."
1988-11-01,"And, in
general, trend growth in bank and thrift credit should remain damped in
response to capital requirements and regulatory pressures..
(14) Under alternative A, money market interest rates would
decline about 1/2 percentage point, with the 3-month Treasury bill drop-
ping to a little below 7 percent."
1990-02-06,"In the
federal sector, borrowing quickens over the balance of the quarter, while
the average growth of the overall debt of the other sectors should about
maintain the estimated January pace..
(25) The policy easing embodied in alternative A, with the funds
rate moving to 7-3/4 percent, would induce a nearly comparable decline in
other short-term interest rates."
1990-10-02,"Under alternative A, the drop in opportunity costs would boost
Alternative Levels and Growth Rates for Key Monetary Aggregates
M2 M3 M1
Alt."
1995-09-26,"Of course, markets may be buffeted by
developments in the legislative process suggesting shifting odds on
the extent of deficit reduction..
(12) If the Committee saw reasonably high odds of more
restrictive effects on the economy than the staff forecast, it might
favor an easing of the funds rate, as under alternative A."
1997-12-16,"Against this
background, and with labor markets already extremely tight, the Committee might perceive
that counting on sufficient additional restraint coming from Asian developments runs an
unacceptable risk of a rebound in inflation in 1998 that would be disruptive to reverse..
(13) The 25 basis point easing of Alternative A might be favored if the Committee
were concerned that turmoil abroad might have an even greater impact on the U.S. economy
than the staff has built into the forecast."
1998-02-03,"In these circumstances, the Committee should be
able to head off a potential upturn in inflation before higher actual inflation gets built into
wage and price decisions..
(23) The Committee may see sufficient chances of a shortfall in activity from the
staff forecast to suggest a small easing at this time--as in the 25 basis point decline in the
federal funds rate under alternative A."
1998-08-18,"Credit-
risk spreads on domestic private debt, as well as on the obligations of a number of foreign
governments and firms, likely would widen noticeably..
(10) In view of recent developments in global financial markets, the Committee might
be inclined to consider a 25 basis point easing of monetary policy, as in alternative A.
Aggregate demand in the United States apparently has already decelerated appreciably, and
Committee members may believe that the staff forecast does not give enough weight to ongoing
deflationary forces coming from developments abroad."
1998-12-22,"Finally, the surprise easing of monetary policy in continental Europe may indicate an increased
willingness there to respond to signs of demand weakness, which would facilitate easing in other
countries and reduce the risk of a slackening in global economic activity..
(13) The case for easing further at some point, as in the 1/4 point reduction in the
federal funds rate at this meeting of alternative A, might rest on the view that there are
substantial risks of a shortfall in global demand and of more downward pressure on prices than
the Committee might find desirable."
