start_date,Paragraph_number,Paragraph,Alternatives
1972-09-19,5,"(5) Expansion of M1 and M2 in August exceeded growth rates thought
to be consistent with policy alternative B in the last Blue Book by 1/2 to
In the case of M 1 the annual growth rate for August was 6 per cent, as shown
in attached Table 2. However, data for early September suggest that growth of
M1 will be rapid from August to September, and is thus likely to be stronger
in the third quarter than thought at the last FOMC meeting.
","alternative B"
1973-12-17,5,"(6) Of the three alternatives summarized below for Committee
consideration, alternative B includes a growth rate for M1 over the
first half of 1974 that is consistent with the extension to mid-year of
the 5 per cent growth path adopted by the Committee at its previous meeting.
This growth path starts from the revised September 1973 base (which is about
$2-1/2 billion above the old series, as was indicated in the previous bluebook).
In alternative B, M1 is targeted to increase at a 4-1/2 per cent annual rate
from December '73-to June '74. This growth rate is lower than 5 per cent to
compensate for the overshoot in M1 growth in the fourth quarter. As shown in
the chart on the next page, the estimated level of the money stock in December
is about $1 billion above the path level for that month. Alternatives A and C
involve more and less rapid growth in the aggregates, respectively. (Detailed
figures for the alternatives are shown on page 6a; all figures for the aggregates
are based on revised data, though revisions are still in a preliminary
Alt. A Alt. B Alt. C
Targets (1st & 2nd qtrs.
combined
M 1 5-3/4 4-1/2 3-1/4
M2 8-3/4 7 5-1/4
Credit Proxy 10-1/2 8 5-1/2
Associated ranges for
December-January
RPD 9-11 8-1/4-10-1/4 7-1/4--9-1/4
M1  3-1/2-5-1/2 3--5 2-1/2-4-1/2
M2 5-1/2--7-1/2 5--7 4-1/2--6-1/2
Federal funds rate range 8-1/4--10 9--10-1/4 9-3/4--10-1/2
(inter-meeting period)
MONEY SUPPLY AND LONGER RUN TARGET PATH
RATIO SCALE, BILLIONS OF DOLLARS
- 280
- -,,-
REVISED Ml
(PRELIMINARY)
J A
1973
--1 270
S O N 0 J F M A M J
1974
A M
Alternative Longer-Run Targets for Key Monetary Aggregates
Alt. A Alt. B Alt. C Alt. A Alt. B Alt. C Alt. A Alt. B Alt. C
Rates of Growth
Months:
Dec.
Jan.
Dec.
Jan.
Adjugted Credit Proxy
Alt. A Alt. B Alt. C
Total Reserves
Alt. A Alt. B Alt. C
Alt A PD
Alt. A Alt. B
Alt. C
","alternative B, alternative B"
1976-04-20,5,"(5) Alternative longer-run growth ranges for the monetary
aggregates are shown below for Committee consideration. They pertain to the
one year period from QI '76 to QI '77. The ranges shown under alternative B
are the same as those adopted in January for the QIV '75-QIV '76 period.
Alt. A Alt. B Alt. C
M1 5½-8½ 4½-7½ 3½-6½
M2 9-12 7¾-10¾ 6-9
M3  10-13 9-12 7½-10½
Proxy 7-10 6-9 5-8
","alternative B"
1969-11-25,6,"(6) For the second paragraph of the current economic policy
directive, the Committee might wish to continue the language currently
in force which reads as follows (alternative A):
""To implement this policy, System open market operations until
the next meeting of the Committee shall be conducted with a view to main-
taining the prevailing firm conditions in money and short-term credit
markets; provided, however, that operations shall be modified if bank
credit appears to be deviating significantly from current projections.""
","alternative A"
1971-01-12,6,"(6) Taking the December figures as a starting point, the
table on the next page shows three patterns of growth for the monetary
aggregates over the first quarter which the Committee may wish to
consider. The three growth paths shown for the narrowly-defined money
supply present alternatives that take account in differing ways of the
recent shortfalls relative to expectations, as follows:
(A) Alternative A shows a pattern consistent with a 6 per
cent annual rate of growth for M1 over the first quarter of 1971. This
would be equal to the rate of growth for the quarter that the Committee
indicated as the minimum acceptable at its last meeting, at a time when
it was expected that fourth quarter growth would be 5 per cent. Thus
alternative A does not make up for the fourth quarter shortfall. The
growth rate for the fourth and first quarters taken together would be
only about 4-3/4 per cent, as compared with the 5-1/2 per cent previously
desired. As a result, under alternative A the March level of the money
supply would be about $1 billion below previous expectations.
(B) Alternative B shows a growth path for the first quarter
which makes up for the shortfall in December and in the fourth quarter.
The first quarter growth rate in this alternative is 7-1/2 per cent,
which would lead to a March level for the money stock equal to that
resulting from the earlier 5-1/2 per cent path for the fourth and first
quarters taken together.
(C) Alternative C, which has an 8-1/2 per cent annual rate of
growth in the first quarter for M1, makes up for the shortfall and raises
the growth rate in money supply for the September-to-March period back up
to the 6 per cent rate of expansion experienced over the first three
quarters of 1970.
Alternative Paths of Key Monetary Aggregates--Monthly and Quarterly
Money Supply Adj. Credit Proxy rotal Reserves
Alt. A Alt. B Alt. C Alt. A Alt. B Alt. C Alt. A Alt. B Alt. C
Per cent
Annual Rates of Growth
","Alternative A, alternative A, alternative A, Alternative B, Alternative C"
1971-04-06,6,"(6) The table on the next page shows three alternative monthly
paths for key monetary aggregates through the second quarter. Money
market conditions now estimated to be consistent with these paths are
collection of aggregates.
Federal funds Member Bank Net M1
rate Borrowings Reserves
Alternative A 3-3/4 250-350 +50 to -150 9%
Alternative B 4 -- 4-3/4 400-500 -150 to -300 7%
Alternative C 4-3/4--5-1/2 500-600 -250 to -400 6%
","Alternative A, Alternative B, Alternative C"
1971-06-29,6,"(6) Three possible policy alternatives showing different relation-
ships among money market conditions, bill rates, and monetary aggregates
are summarized in the table below. More detailed information and monthly
paths for the full range of aggregates are shown in the table on the next
page. 1/ It should be noted that the wide borrowing ranges, particularly
for alternatives B and C, allow for a possible increase in borrowings from
one bank which has special problems.
Alternative A Alternative B Alternative C
Federal funds rate 4-7/8--5-1/8% 5--5-1/2% 5-1/2--6%
Member bank borrowings $350-500 million $450-700 million $650-850 million
Growth in M1:
","Alternative A, Alternative B, Alternative C"
1971-10-19,6,"(6) The money market conditions shown for the three paths vary
from a range around those recently prevailing (Alt. A) to considerably
easier specifications. Overall credit conditions--as typified by behavior
of short- and long-term interest rates--might well ease somewhat between
now and the next Committee meeting even under Alternative A. Credit demands
from businesses and State and local governments in long-term markets appear
to be tapering off, and investors have shown a greater willingness to purchase
longer-term securities. Investors' demands will be influenced, however, by
their evaluation, as the details of Phase II become known, of the extent
to which it seems to promise significant restraint on wage and price pressures.
Alternative Monthly and Quarterly
Paths of Key Monetary Aggregates
M1
Alt. A Alt. B
October
November
December
March 231.4
Alt. C
Alt. A Alt. B Alt. C
Per Cent Annual Rates of Growth
October
November
December
Adjusted Credit Proxy
Alt. A Alt. B Alt. C
Total Reserve
Alt. A Alt. B Alt. C
Per Cent Annual Rates of Growth
October
November
December
- 6.0
- 3.5
- 4.0
- 2.0
- 2.5
October
November
December
","Alternative A"
1972-01-11,6,"(6) Presented below for Committee consideration are two alterna-
tives for the second paragraph of the directive which differ with respect
to the kinds of operating procedures they imply but not necessarily with
respect to the monetary aggregate targets (whether I or II) the Committee
may wish to adopt. As noted below, the language of alternative A is quite
similar to that adopted by the Committee on December 14. Alternative B, on
the other hand, places primary stress on bank reserves as the operating
target variable, with a money market conditions constraint in a proviso
clause. The choice of operating procedure depends in part on the Committee's
relative confidence in reserves or money market conditions as bearing a more
dependable relationship to bank deposit behavior.
","alternative A, Alternative B"
1973-12-17,6,"(7) With regard to money market conditions, the staff would
expect some decline in the Federal funds rate between now and mid-January
if the Committee chooses to provide the reserves consistent with alternative B.
A funds rate range of 9--10-1/4 per cent is shown for that alternative. If
the rate were to drop toward the lower end of the range over the next few
weeks, the staff would not anticipate that any significant further reductions
would be needed in the first few months of 1974 to be consistent with the
targeted growth rates for money.
","alternative B"
1974-01-21,6,"(8) Alternative C encompasses the 5-1/4 per cent growth rate
for M1 between December and June adopted by the Committee at its last
meeting. (This and other alternative growth rates are shown in the chart
on the following page in relation to the rate of increase for M1 over the
past year). The money market specifications for alternative C indicate
that continuation of the path for the aggregates adopted at the last
meeting would likely be associated with some upward movement in the
Federal funds rate from the prevailing level of around 9-3/4 per cent.
This now seems probable because we expect somewhat greater demand for
money in the first half of 1974 than we did at the time of the last
MONEY SUPPLY AND LONGER RUN TARGET PATH
RATIO SCALE, BILLIONS OF DOLLARS
REVISED M1
....-**
RATE OF GROWTH
DEC. '72 TO DEC. '73 5.9%
- 270
Alternative Longer-Run
Targets for Key Monetary Aggregates
Alt. A Alt. B
Alt. C
Alt. A Alt. B Alt. C
Alt. A Alt. B
Months:
Jan.
Feb.
Feb.
Mar.
Quarters:
1974 1st Q.
Months:
Jan.
Adjusted Credit
Alt. A Alt. B
Proxy
Alt. C
Rates of Growth
Total Reserves
Alt. A Alt. B Alt. C
Jan.
Feb.
Mar.
Alt. C
RPD
Alt. B
Alt. A
FOMC meeting, reflecting the larger increase in prices and in nominal
GNP now projected.
","Alternative C, alternative C"
1976-04-20,6,"(6) In considering these alternative longer-run targets, the
Committee may be interested in their relationship to the QIV '76 levels for
the monetary aggregates that were implied by the mid-points of the ranges
adopted in January. From the fourth quarter of '75 to first quarter of '76,
M2 and M3 expanded at annual rates very near the mid-points of the ranges
adopted previously (and shown above under alternative B); thus, continuation
of growth near these rates would be associated with QIV '76 levels close to
those implied by the earlier targets. However, M1 growth from the fourth
to first quarter--at a 2.9 per cent annual rate--was well below both the
lower limit of the longer-run range and the 6 per cent mid-point of
that range. To achieve the level in QIV '76 implied by the mid-point of the
earlier range, M1 would have to grow at almost a 7 per cent annual rate over
the last three quarters of this year. Assuming M1 growth returns to a 6 per
cent annual rate in the first quarter of 1977, this would imply a growth rate
Alternative Levels and Growth Rates for Key Monetary Aggregates
Alt. A Alt. B Alt. C Alt. A Alt. B Alt. C Alt. A Alt. B Alt. C
Growth Rates
Monthly:
Quarterly Average:
Semi-annual
QI '76-QIII '76
QIII '76-QI '77
Annual
QIV '75-QIV '76
QI '76-QI '77
Alternative Levels and Growth Rates for Key Monetary Aggregates (cont'd)
Credit Proxy
Alt. A Alt. B Alt. C Alt. A Alt. B Alt. C Alt, A Alt. B Alt. C
Growth Rates
Monthly:
Quarterly Averages:
Semi-annual
QI '76-QIII '76
QIII '76-QI '77
Annual
QIV '75-QIV '76
QI '76-QI '77
for the new one-year target period QI '76-QI '77 of about 6¾ per cent--well
within the ranges of alternatives A and B and a shade above the upper limit
of alternative C.
","alternative B, alternative C"
1977-01-17,6,"(6) Three alternative sets of longer-run ranges for the
monetary aggregates applicable to the one year QIV '76-QIV '77 period
are shown below. Alternative B continues the same ranges currently in
place except for the bank credit proxy for which the range is higher
than the present 5-8 per cent. The relationship of the proposed ranges to
shorter-run specifications and longer-run interest rate and monetary
developments is discussed in ensuing paragraphs. (End-point levels for
M1 and M 2 implied by current and proposed longer-run ranges are compared
in appendix I).
Alt. A Alt. B Alt. C
M1  5½-7½ 4½-6½ 3½-5½
M2  8½-11 7½-10 6½-9
M 3  10-12½ 9-11 7½-10
Bank credit proxy 8-11 7½-10½ 6½-9½
","Alternative B"
1977-10-17,6,"(6) Alternative B retains the growth range for M-1 adopted by
the Committee in July. However, the associated ranges for M-2 and M-3
are lower than those currently in place. The staff has assumed that
a higher average level of market interest rates would be required in
the QIII '77-QIII '78 period than had been earlier contemplated to keep
M-1 growth at the mid-point of a 4-6½ per cent range in the face of an
apparently strengthened demand for cash balances. Higher interest rates
would work to constrain growth in the time and savings deposit component
of M-2 and M-3 by more than would be implied by the mid-points of the
current ranges for those aggregates. Alternatives A and C encompass,
respectively, slightly higher and slightly lower longer-run growth ranges
for the aggregates. Alternative D reflects a larger downward adjustment
in growth ranges, including a reduction in the M-1 range sufficient to
compensate for the third-quarter overshoot in M-1 growth.
","Alternative B"
1978-07-18,6,"(6) Alternative longer-run growth ranges for the monetary
aggregates over the QII '78 to QII '79 period are shown below for
Committee consideration. Alternative B continues the ranges for
M-1, M-2, and M-3 adopted by the Committee in April for the QI '78-
QI '79 period, but specifies a somewhat higher range for bank
credit. Alternatives A and C represent, respectively, more and
less expansive policies.
Current
Alt. A Alt. B Alt. C Ranges
M-1 5 to 7½ 4 to 6½ 3 to 5½ 4 to 6½
M-2 7 to 9½ 6½ to 9 6 to 8½ 6½ to 9
M-3 8 to 10½ 7½ to 10 7 to 9½ 7½ to 10
Bank Credit 9 to 12 8½ to 11½ 8 to 11 7½ to 10½
","Alternative B"
1990-05-15,6,"(6) Three alternatives--containing the standard differences in
associated federal funds rates--are presented below for consideration by
the Committee. Under alternative B, federal funds would be expected to
continue to trade around 8-1/4 percent, with an initial level of adjust-
ment plus seasonal borrowing of $350 million. The specifications of
alternative A call for federal funds trading around 7-3/4 percent and a
borrowing level of $300 million, while those of alternative C call for
federal funds in the 8-3/4 percent area, which is likely to involve $400
million of borrowing. Judging from the experience of recent years, it is
anticipated that seasonal borrowing will rise about $100 million over the
intermeeting period; the borrowing levels suggested above incorporate a
$50 million technical increase to take account of the expected rise in the
next few weeks, but an additional increase in the borrowing path may be
necessary under all three alternatives.
","alternative B, alternative A, alternative C"
1991-11-05,6,"(7) Two alternatives are presented below for consideration
by the Committee. Under alternative B, federal funds would continue
to trade around 5 percent in combination with adjustment plus seasonal
borrowing of $175 million.3  Under alternative A, the federal funds
rate would move down to 4-1/2 percent, achieved either through a 1/2
percentage point cut in the discount rate with the same level of bor-
rowing as under alternative B or through open market operations that
lowered the borrowing level to $125 million. In the latter case, the
decline in the funds rate to 1/2 percentage point below the discount
rate would cause borrowing to fall to frictional levels. A bit more
volatility in the federal funds rate would be implied as the discount
window becomes a little less effective buffer to disturbances in the
reserves market.
","alternative B, alternative A, alternative B"
1992-08-18,6,"(6) Three alternatives are presented below for consideration
by the Committee. Under alternative B, federal funds would continue to
trade around 3-1/4 percent in combination with an initial allowance for
adjustment plus seasonal borrowing of $250 million.3 Under alterna-
tive A, the federal funds rate would drop to 2-3/4 percent. This could
be achieved by a reduction in the borrowing allowance to $225 million
with the funds rate dropping below the discount rate, or by a cut in the
discount rate of 1/2 percentage point with an unchanged borrowing al-
lowance. Alternative C involves a return of the federal funds rate to
","alternative B, Alternative C"
1992-12-22,6,"(6) Three alternatives are presented below for consideration
by the Committee. Under alternative B, federal funds would continue to
trade around 3 percent, in association with the allowance for adjustment
and seasonal borrowing remaining at $50 million. (Seasonal borrowing
ordinarily would be expected to edge down in January, but with such
borrowing already at a very low level of about $20 million, little
change is likely over the intermeeting period.) Alternative A incor-
porates a 1/2 percentage point reduction in the federal funds rate.
Such a reduction could be accomplished through open market operations--
by lowering the borrowing allowance by $25 million--pushing the federal
funds rate below the discount rate. The lower funds rate also could be
achieved by reducing the discount rate by 1/2 percentage point and
leaving the borrowing allowance unchanged. The latter approach would be
in line with the Committee's usual procedure, as it would not involve
moving the intended federal funds rate below the discount rate. The 1/2
percentage point increase in the federal funds rate of alternative C
could be implemented by raising the borrowing allowance by $25 million.
","alternative B, Alternative A, alternative C"
1993-08-17,6,"(6) Three alternatives are presented below for consideration
by the Committee. Under alternative B, federal funds would continue to
trade around 3 percent in association with an allowance for adjustment
plus seasonal borrowing of $250 million.5 Under alternative A, the
federal funds rate would decline to 2-1/2 percent, either through a drop
in the borrowing allowance to $225 million or a cut in the discount rate
of 50 basis points in combination with an unchanged level of borrowing.
Under alternative C, the federal funds rate would rise to 3-1/2 percent
accompanying a boost in adjustment plus seasonal borrowing to $275 mil-
","alternative B, alternative A, alternative C"
1993-09-21,6,"(6) Three policy alternatives are presented for consideration
by the Committee. Under alternative B, federal funds would continue to
trade around 3 percent in combination with an initial allowance for
adjustment plus seasonal borrowing of $250 million. Under alterna-
tive A, the federal funds rate would decline to 2-1/2 percent, either
through a reduction in the initial borrowing allowance or a cut in the
discount rate by 50 basis points and an unchanged initial borrowing
allowance. Under alternative C, the federal funds rate would rise to
","alternative B, alternative C"
1993-12-21,6,"(6) Three alternatives are presented below for Committee
consideration. Under alternative B, federal funds would continue to
trade around 3 percent in association with adjustment plus seasonal
borrowing at the discount window of $50 million. Under alternative C,
the federal funds rate would move up to 3-1/2 percent and the borrow-
ing allowance to $75 million. In the case of alternative A, the
federal funds rate would decline to 2-1/2 percent and borrowing would
fall, perhaps to $25 million.
","alternative B, alternative C, alternative A"
1994-08-16,6,"(6) Three monetary policy alternatives are presented for
consideration by the Committee. Under alternative B, federal funds
would continue to trade around 4-1/4 percent in association with re-
taining the $450 million allowance for adjustment plus seasonal bor-
rowing.8 Under alternative C, the federal funds rate would be
raised to 4-1/2 percent and the initial borrowing allowance to $475
million. Under alternative D, the funds rate would be moved to 4-3/4
percent, either through an increase in the initial borrowing allowance
to $500 million or a hike in the discount rate to 4 percent and un-
changed adjustment plus seasonal borrowing.
","alternative B, alternative C"
1994-09-27,6,"(6) Three monetary policy alternatives are presented below
for consideration by the Committee. Under alternative B, the federal
funds rate would continue to trade around 4-3/4 percent, consistent
with retaining an allowance of $475 million for adjustment plus sea-
sonal borrowing.5 Alternative C envisages raising the federal
funds rate 1/4 percentage point, to 5 percent, in conjunction with an
increase in the borrowing allowance to $500 million. Under alterna-
tive D, the federal funds rate would be moved up to 5-1/4 percent,
achieved either by an increase in the initial borrowing allowance to
$525 million or by an unchanged borrowing allowance and a hike in the
discount rate to 4-1/2 percent.
","alternative B, Alternative C"
1996-11-13,6,"(6) If the Committee views the staff forecast as both likely and
acceptable, it presumably would favor standing pat--alternative B.
Even if the Committee found unacceptable the forecasted upcreep in
core inflation (abstracting from technical CPI adjustments), it might
want to wait for more evidence that such an outcome is in train before
taking action. The overutilization of resources may be seen as
staying modest in any event, and thus policy inaction at this meeting
would not seem to risk allowing inflation to rise so much that jarring
adjustments to employment and output would be required eventually.
","alternative B"
1997-08-19,6,"(6) With the risks apparently still tilted toward higher inflation, this document
presents the two basic policy options discussed in recent bluebooks: no change and tighter.
Under alternative B, the intended federal funds rate would be kept at its current level of 5-1/2
percent. Under alternative C, it would be boosted to 5-3/4 percent, either through reduced
provision of nonborrowed reserves or a hike in the discount rate.
","alternative B, alternative C"
1997-09-30,6,"(6) The staff assessment of the pressures on resources implies that policy restraint
is in order at some point to check an upcreep in inflation, but the Committee may,
nonetheless, prefer to hold the federal funds rate at its current level of 5-1/2 percent at this
meeting, as in alternative B. Over the past few quarters sustained high levels of resource
utilization have been associated with flat or, by some measures, even declining inflation. The
Committee may read this experience as suggesting the possibility that economic activity can
run on the high side of historical norms without putting much pressure on inflation. Even in
the staff forecast some of the moderate pickup in consumer prices owes to a smaller drag
from import prices as, by assumption, the dollar stabilizes. Additional impetus to inflation
comes from a projected further decline in the unemployment rate. Given these uncertainties
attending the prospects for inflation, the Committee might be willing to defer putting restraint
in place so as to get more readings on the pace of stock-building, the strength of final sales,
and the behavior of wages and prices. A willingness to await new information might be
reinforced if the Committee were of the view that any current misalignment of policy was
modest at worst. Some reassurance in this regard might be gotten from the likelihood that the
real fed funds rate has ticked higher in recent months, as inflation expectations seem to have
declined along with the drop in measured inflation, while the nominal funds rate has been
held steady. With scant indications of pipeline pressures that normally presage a pickup in
inflation, and with business profit margins perhaps ample enough to absorb a portion of any
speed up in cost increases, the Committee may well have time to act before an incipient
increase in inflation becomes firmly embedded in inflation expectations.
","alternative B"
1998-08-18,6,"(6) If the Committee found the staff forecast, with inflation and unemployment both
staying relatively low, to be both a reasonable expectation and a desirable outcome, it
presumably would maintain the current 51/2 percent federal funds rate, as under alternative B.
The Committee could still favor alternative B even if it saw higher inflation eventually, but was
rather uncertain about its expectation of the eventual pickup in inflation, given the surprisingly
favorable price performance of recent years. The odds on a significant price acceleration within a
year or so may be seen as low; in such circumstances, delay would not materially jeopardize the
Committee's goal of containing inflation and would buy some time to accumulate information on
the evolving dynamics of inflation and hence the need for tightening. Moreover, the Committee
may want to weigh any concerns about higher inflation against the increasingly precarious
conditions in global financial markets. The greater fragility of these markets evident over the
intermeeting period may suggest that the potential for adverse effects of a tightening of U.S.
monetary policy on other economies has risen further.
","alternative B, alternative B"
1969-10-28,7,"(7) For the second paragraph of the current economic policy
directive, the Committee might wish to consider language along the following
lines (alternative A):
'To implement this policy, System open market operations until
the next meeting of the Committee shall be conducted with a view to main-
taining the prevailing firm conditions in money and short-term credit
markets; provided, however, that operations shall be modified if bank
credit appears to be deviating significantly from current projections.
This language is the same as that of the directive issued on October
","alternative A"
1969-12-16,7,"(7) For the second paragraph of the current economic policy
directive, the Committee may wish to consider the following wording
(Alternative A):
""To implement this policy, System open market
operations until the next meeting of the Committee
shall be conducted with a view to maintaining the
prevailing firm conditions in THE money [DEL: and-short
term-credit markets; provided, however, that opera-
tions shall be modified if bank credit appears to be
deviating significantly from current projections or
if UNUSUAL LIQUIDITY pressures SHOULD DEVELOP."" arise
","Alternative A"
1970-03-10,7,"(7) If the Committee wishes to continue on the growth path
of monetary aggregates (taken together),and associated money market
conditions, that are implicit in the policy stance adopted at the
last meeting, it may wish to consider the following second paragraph
for the directive (alternative A):
To implement this policy, while taking account of [DEL: the
current Treasury refundin possibble bank regulatory changes
and] the Committee's desire to see moderate growth in money and
bank credit over the months ahead, System open market operations
until the next meeting of the Committee shall be conducted with
a view to MAINTAINING THE SOMEWHAT LESS [DEL: moving gradually toward
somewhat less] firm conditions THAT HAVE BEEN ATTAINED in the
money market; provided, however, that operations shall be
modified promptly to resist any tendency for money and bank credit
to deviate significantly from a moderate growth pattern.
","alternative A"
