year,start_date,end_date,numberofsentences_altD,DFF_Before_meeting,DFEDTR_before,DFEDTR_end,Sentence_1,Sentence_2,Sentence_3,Sentence_4,Sentence_5,Sentence_6,Sentence_7,Sentence_8
1969,1969-10-07,1969-10-07,0,9.5,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1969,1969-10-28,1969-10-28,0,8,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1969,1969-11-25,1969-11-25,0,8.5,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1969,1969-12-16,1969-12-16,0,9,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1970,1970-01-15,1970-01-15,0,8,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1970,1970-02-10,1970-02-10,0,9,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1970,1970-03-10,1970-03-10,0,7.5,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1970,1970-04-07,1970-04-07,0,7.5,No target in FRED,No target in FRED,"Alternative path (15) If the Committee desires to see somewhat more growth in money and bank credit over the months ahead, it may wish to consider the following directive language (alternative E); -11- To implement this policy, the Committee desires to see SOMEWHAT MORE moderate growth in money and bank credit over the months ahead THAN SOUGHT AT THE PRECEDING MEETING.","","","","","","",
1970,1970-05-05,1970-05-05,0,8.5,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1970,1970-05-26,1970-05-26,0,7.88,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1970,1970-06-23,1970-06-23,0,7.75,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1970,1970-07-21,1970-07-21,0,7.13,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1970,1970-08-18,1970-08-18,0,6.63,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1970,1970-09-15,1970-09-15,0,6.38,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1970,1970-10-20,1970-10-20,0,6.13,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1970,1970-11-17,1970-11-17,0,5.75,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1970,1970-12-15,1970-12-15,1,5.25,No target in FRED,No target in FRED,"(19) Alternative D.","","","","","","",
1971,1971-01-12,1971-01-12,0,4.38,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1971,1971-02-09,1971-02-09,0,3.5,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1971,1971-03-09,1971-03-09,4,3.13,No target in FRED,No target in FRED,"If in these circumstances the Committee would wish to promote somewhat easier over-all credit conditions, including near- term declines in long-term rates, it could consider a policy alternative-- such as Alternative D--that would call for some further easing of money market conditions.","-14- (19) As nearly as can be judged, the expected effect on monetary aggregates of a policy consistent with the money market specif- ications of alternative D would be as shown in the table below.","Paths of Key Monetary Aggregates-- Monthly and Quarterly (alternative D) (Seasonally adjusted, billions of dollars) Concepts of Money M1 M 2 1971 February March April May June 217.3 218.4 220.0 222.1 223.9 430.7 435.6 441.2 447.1 453.1 Adj. Credit Proxy 337.7 341.2 347.4 349.4 352.2 Per Cent Annual Rates of Growth March April May June 1st Q. 1971 2nd Q. 1971 6.0 9.0 11.5 9.5 7.0 10.0 13.5 15.5 16.0 16.0 16.0 16.0 Paths of Key Monetary Aggregates-- Weekly (Alternative D) February 2 4 p March April 3e 10 17 24 31 217.9 217.3 217.8 218.5 219.0 219.0 7 219.5 432.5 432.8 433.9 435.5 436.8 437.8 438.8 p--Preliminary.","(24) Alternative D.","","","",
1971,1971-04-06,1971-04-06,0,4,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1971,1971-05-11,1971-05-11,0,4.5,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1971,1971-06-08,1971-06-08,0,4.75,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1971,1971-06-29,1971-06-29,0,5.13,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1971,1971-07-27,1971-07-27,0,5.25,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1971,1971-08-24,1971-08-24,0,5.5,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1971,1971-09-21,1971-09-21,0,5.38,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1971,1971-10-19,1971-10-19,0,5.13,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1971,1971-11-16,1971-11-16,0,5,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1971,1971-12-14,1971-12-14,0,4.25,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1972,1972-01-11,1972-01-11,0,3.75,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1972,1972-02-15,1972-02-15,0,3.38,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1972,1972-03-21,1972-03-21,0,3.88,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1972,1972-04-18,1972-04-18,0,4.06,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1972,1972-05-23,1972-05-23,0,4.25,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1972,1972-06-19,1972-06-20,0,4.38,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1972,1972-07-18,1972-07-18,0,4.56,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1972,1972-08-15,1972-08-15,0,4.81,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1972,1972-09-19,1972-09-19,5,4.94,No target in FRED,No target in FRED,"At the other limit (alternative D), we have shown an M1 path under which growth is curtailed to a 6 per cent annual rate by the first quarter of next year; this path implies a full percentage point rise in the Federal fund rate between now and the next meeting.","(14) Alternative D sets a path which is expected to result in a prompt upward move of interest rates.","Upward market rate adjustments would, of course, be quite sharp under alternative D. -12- Prooosed directives (18) Presented below are four alternative formulations for the operational paragraph of the directive, which might be taken to correspond to the similarly lettered policy alternatives discussed in the preceding section: Alternative A ""To implement this policy, while taking account of developments in [DEL: capital] CREDIT markets, [DEL: and] international developments, AND THE EFFECTS OF BANK REGULATORY CHANGES, the Committee seeks to achieve bank reserve and money market conditions that will support [DEL: moderate] SOME MODERATION OF growth in monetary aggregates over the months ahead.""","-13- Alternative D ""To implement this policy, while taking account of developments in [DEL: capital] CREDIT markets, [DEL: and] international developments, AND THE EFFECTS OF BANK REGULATORY CHANGES, the Committee seeks to achieve bank reserve and money market conditions that will support moderate growth in monetary aggregates over the months ahead.""","In alternative D (and also to lesser extents in C and B) the same language could be interpreted as calling for adapting Desk operations as necessary to facilitate orderly market adjustments to the higher interest rate levels foreseen.","","",
1972,1972-10-17,1972-10-17,0,5.06,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1972,1972-11-20,1972-11-21,0,4.88,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1972,1972-12-19,1972-12-19,0,5.56,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1973,1973-01-16,1973-01-16,0,5.88,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1973,1973-02-13,1973-02-13,0,6.44,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1973,1973-03-19,1973-03-20,0,7.25,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1973,1973-04-17,1973-04-17,0,7.13,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1973,1973-05-15,1973-05-15,0,7.75,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1973,1973-06-18,1973-06-19,0,8.5,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1973,1973-07-17,1973-07-17,0,11,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1973,1973-08-21,1973-08-21,0,10.58,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1973,1973-09-18,1973-09-18,0,10.84,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1973,1973-10-16,1973-10-16,0,10,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1973,1973-11-19,1973-11-20,0,10.19,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1973,1973-12-17,1973-12-18,0,10.09,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1974,1974-01-21,1974-01-22,0,9.62,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1974,1974-02-20,1974-02-20,0,9.16,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1974,1974-03-18,1974-03-19,0,9.35,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1974,1974-04-15,1974-04-16,0,10.27,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1974,1974-05-21,1974-05-21,0,11.17,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1974,1974-06-18,1974-06-18,0,11.88,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1974,1974-07-16,1974-07-16,0,13.33,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1974,1974-08-20,1974-08-20,0,12.35,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1974,1974-09-10,1974-09-10,0,11.86,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1974,1974-10-14,1974-10-15,0,10.01,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1974,1974-11-19,1974-11-19,0,9.47,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1974,1974-12-16,1974-12-17,3,8.75,No target in FRED,No target in FRED,"(9) The 5½ per cent growth rate in M1 from November forward, under alternative D, appears to be consistent with prevailing money market conditions, as typified by a Federal funds rate around 8¾ per cent.","The position of thrift institutions probably also will continue to improve, even under alternative D. -11- Alternative D To implement this policy, while taking account of develop- ments in domestic and international financial markets, the Committee seeks to achieve bank reserve and money market conditions consistent with RELATIVELY SLOW [DEL: moderate] growth in monetary aggregates over the months ahead.","","","","","",
1975,1975-01-20,1975-01-21,0,6.95,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1975,1975-02-19,1975-02-19,2,6.22,No target in FRED,No target in FRED,"-10- (17) Under alternative D, which involves money market conditions in the neighborhood of those prevailing on average in the period since the last meeting, M 1 would grow at a rate of about 4 per cent over the first nine months of the year.","-12- Alternative C To implement this policy, while taking account of [DEL: the forthcoming Treasury financing,] developments in domestic and international financial markets, [DEL: and the Board's action on reserve requirements,] the Committee seeks to achieve bank reserve and money market conditions consistent with [DEL: more rapid MODERATE growth in monetary aggregates over the months ahead than has occurred in recent months.] Alternative D To implement this policy, while taking account of [DEL: the forthcoming Treasury financing,] developments in domestic and international financial markets, [DEL: and the Board's action on reserve requirements,] the Committee seeks to achieve bank reserve and money market conditions consistent with [DEL: more rapid MODEST growth in monetary aggregates over the months ahead than has occurred in recent months.] CHART 1 RESERVES AVAILABLE TO SUPPORT PRIVATE NONBANK DEPOSITS BILLIONS OF DOLLARS - 40 -134 CONfIDENTIAL (FR) CLASS In-FOMC 2/14/75 I I -1 0 N 1974 D J F 1975 D M J S 0 M J 1975 Break In Series Due To Changes In Reserve Requirements S 1973 1974 CHART 2 MONETARY AGGREGATES 1975 CONFIDENTIAL (FR) CLASS II-FOMC 2/14/75 BILLIONS OF DOLLARS 1973 1974 1974 F 1975 NARROW MONEY SUPPLY Ml CHART 3 MONETARY AGGREGATES ADJUSTED CREDIT PROXY RVES BILLIONS OF DOLLARS - 500 - 500 I !","","","","","",
1975,1975-03-18,1975-03-18,0,5.5,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1975,1975-04-14,1975-04-15,0,5.39,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1975,1975-05-20,1975-05-20,0,5.13,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1975,1975-06-16,1975-06-17,0,5.2,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1975,1975-07-15,1975-07-15,0,5.92,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1975,1975-08-19,1975-08-19,0,6.15,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1975,1975-09-16,1975-09-16,0,6.41,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1975,1975-10-21,1975-10-21,0,5.77,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1975,1975-11-18,1975-11-18,0,5.31,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1975,1975-12-16,1975-12-16,0,5.23,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1976,1976-01-20,1976-01-20,0,4.79,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1976,1976-02-17,1976-02-18,0,4.8,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1976,1976-03-15,1976-03-16,0,4.81,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1976,1976-04-20,1976-04-20,0,4.74,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1976,1976-05-18,1976-05-18,0,5.36,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1976,1976-06-22,1976-06-22,0,5.49,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1976,1976-07-19,1976-07-20,0,5.28,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1976,1976-08-17,1976-08-17,0,5.38,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1976,1976-09-21,1976-09-21,0,5.26,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1976,1976-10-19,1976-10-19,0,5.03,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1976,1976-11-16,1976-11-16,0,5.09,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1976,1976-12-20,1976-12-21,0,4.56,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1977,1977-01-17,1977-01-18,0,4.6,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1977,1977-02-15,1977-02-15,0,4.73,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1977,1977-03-15,1977-03-15,0,4.67,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1977,1977-04-19,1977-04-19,0,4.76,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1977,1977-05-17,1977-05-17,0,5.38,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1977,1977-06-21,1977-06-21,0,5.39,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1977,1977-07-19,1977-07-19,5,5.41,No target in FRED,No target in FRED,"The specifi- cations of alternative D, however, involve a larger adjustment in the ranges, with the midpoint of the growth range for M-1 reduced to 4¾ per cent over the QII '77-QII '78 period.","While the reduction is substantially larger in the case of alternative D, in either case the Committee may wish to consider a rise in the funds rate between now and the next meeting to around 5-7/8 per cent, the midpoint of a 5½-6¼ per cent range.","The greater restraint on growth of the monetary aggregates over the longer-run under alternative D would require a larger rise of interest rates to levels closer to those projected at the previous FOMC meeting.","Alternative D would achieve the implied QII '78 level based on 5 per cent growth from QI '77, but it would fall slightly short of achieving the QII '78 level that would be implied if the base were carried back to QIV '76.","Alternative D would also fall short of achieving the implied QII '78 levels for M2 based on the earlier paths.","","",
1977,1977-08-16,1977-08-16,0,6.01,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1977,1977-09-20,1977-09-20,0,6.08,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1977,1977-10-17,1977-10-18,5,6.48,No target in FRED,No target in FRED,"Alternative D reflects a larger downward adjustment in growth ranges, including a reduction in the M-1 range sufficient to compensate for the third-quarter overshoot in M-1 growth.","-6- (7) The implications of mid-points in the proposed growth ranges for M-1 and M-2 for growth rates in these aggregates over 15-month and 18-month periods beginning in QII '77 and QI '77, respectively, and ending in QIII '78 are shown in the table below.1/ Growth Rates in Monetary Aggregates Assuming Growth over QIII '77-QIII '78 Period at near Mid-Points of Alternative Ranges (Annual rates, compounded quarterly) Period A B C D M-1 QIII '77-QIII '78 5.6 5.3 5.0 4.2 QII '77-QIII '78 6.4 6.1 5.9 5.3 QI '77-QIII '78 6.8 6.6 6.4 5.8 Memo: QII '77-QII '78 6.6 6.4 6.2 5.6 M-2 QIII '77-QIII '78 7.9 7.5 7.0 6.4 QII '77-QIII '78 8.5 8.1 7.8 7.3 QI '77-QIII '78 8.6 8.3 8.0 7.6 Memo: QII '77-QII '78 8.6 8.3 8.0 7.5 (8) It may be seen that under alternative D growth in M-1 at around a 4¼ per cent rate over the QIII '77-QIII '78 period would lead to expansion in the QII '77-QIII '78 period at a 5¼ per cent annual rate --the mid-point of the current longer-run range.","Growth would be somewhat higher if measured from QI '77 since there was also an overshoot in the second quarter for which alternative D does not compensate.","Rate increases would, of course, be larger under alternative D, which involves M-1 growth over the QIII '77-QIII '78 period at a mid- point rate of 4¼ per cent.","Under alternative D, we have assumed an upward adjustment in Regulation Q ceilings on time deposits of ¼ percentage point across the board in the second quarter of next year.","","",
1977,1977-11-15,1977-11-15,0,6.54,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1977,1977-12-19,1977-12-20,0,6.55,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1978,1978-01-17,1978-01-17,0,6.93,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1978,1978-02-28,1978-02-28,0,6.88,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1978,1978-03-21,1978-03-21,0,6.84,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1978,1978-04-18,1978-04-18,0,6.85,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1978,1978-05-16,1978-05-16,0,7.41,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1978,1978-06-20,1978-06-20,0,7.5,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1978,1978-07-18,1978-07-18,0,7.91,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1978,1978-08-15,1978-08-15,0,7.92,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1978,1978-09-19,1978-09-19,0,8.39,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1978,1978-10-17,1978-10-17,0,8.84,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1978,1978-11-21,1978-11-21,0,9.7,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1978,1978-12-19,1978-12-19,0,9.97,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1979,1979-02-06,1979-02-06,0,10.26,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1979,1979-03-20,1979-03-20,0,10.11,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1979,1979-04-17,1979-04-17,0,10.03,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1979,1979-05-22,1979-05-22,0,10.34,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1979,1979-07-11,1979-07-11,0,10.24,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1979,1979-08-14,1979-08-14,0,10.93,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1979,1979-09-18,1979-09-18,0,11.51,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1979,1979-11-20,1979-11-20,0,13.21,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1980,1980-01-08,1980-01-09,0,14,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1980,1980-02-04,1980-02-05,0,13.44,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1980,1980-03-18,1980-03-18,0,16.75,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1980,1980-04-22,1980-04-22,0,17.65,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1980,1980-05-20,1980-05-20,0,10.92,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1980,1980-07-09,1980-07-09,0,8.75,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1980,1980-08-12,1980-08-12,0,9.19,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1980,1980-09-16,1980-09-16,0,10.96,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1980,1980-10-21,1980-10-21,0,12.37,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1980,1980-11-18,1980-11-18,0,16.22,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1980,1980-12-18,1980-12-19,0,20.27,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1981,1981-02-02,1981-02-03,0,17.25,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1981,1981-03-31,1981-03-31,0,15.23,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1981,1981-05-18,1981-05-18,0,18.49,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1981,1981-07-06,1981-07-07,0,19.83,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1981,1981-08-18,1981-08-18,0,18.3,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1981,1981-10-05,1981-10-06,0,16.57,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1981,1981-11-17,1981-11-17,0,13.33,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1981,1981-12-21,1981-12-22,0,12.28,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1982,1982-02-01,1982-02-02,5,14.21,No target in FRED,No target in FRED,"D 436.5 440.7 448.9 446.0 443.0 1981--November December 1982--January February March Growth Rates Monthly 1981--November December 1982--January February March 9.7 11.5 22.3 -7.8 -8.1 4.5 2.1 -7.9 Nov. '81 - March '82 Dec. '81 - March '82 Jan. '82 - March '82 Quarterly Averages QIV '81 - QI '82 QIV '81 - QIV '82 436.5 440.7 448.9 449.3 449.6 9.7 11.5 22.3 1.1 0.8 436.5 440.7 448.9 449.9 450.9 9.7 11.5 22.3 2.7 2.7 436.5 440.7 448.9 450.4 451.9 9.7 11.5 22.3 4.0 4.0 9.0 9.9 10.6 8.1 9.3 10.2 0.9 2.7 4.0 8.5 11.5 12.1 12.5 4.0 4.0 5.0 6.2 1809.4 1821.5 1838.5 1847.0 1855.4 13.7 8.0 11.2 5.5 5.5 1809.4 1821.5 1838.5 1850.8 1863.0 13.7 8.0 11.2 8.0 7.9 1809.4 1821.5 1838.5 1851.5 1864.5 13.7 8.0 11.2 8.5 8.4 8.9 9.1 9.1 9.4 8.0 8.5 8.9 9.8 8.0 8.0 1809.4 1821.5 1838.5 1852.3 1866.1 13.7 8.0 11.2 9.0 8.9 2174.3 2187.0 2204.2 2217.6 2230.9 13.2 7.0 9.4 7.3 7.2 2174.3 2187.0 2204.2 2221.4 2238.5 13.2 7.0 9.4 9.4 9.2 7.8 8.9 8.0 9.4 7.3 9.3 2174.3 2187.0 2204.2 2221.7 2239.1 13.2 7.0 9.4 9.5 9.4 2174.3 2187.0 2204.2 2222.2 2240.2 13.2 7.0 9.4 9.8 9.7 8.9 9.1 9.5 9.7 9.5 9.8 10.1 9.0 Annual Averages 1981 over 1980 1982 over 1981 7.0 7.0 5.1 5.8 9.8 9.8 8.6 8.8 9.5 9.5 11.6 11.6 9.5 9.8 11.6 11.6 9.8 10.0 NOTE: Bank credit would be expected to grow approximately 8 percent between QIV '81 and QIV '82 under alternatives A, B, and C, and somewhat faster under alternative D -- !","(14) Alternative D specifies a 4 percent annual rate of growth for February and March.","With such a rebasing of the 2½ to 5½ percent longer-run range for 1982, the specifications of alternative D if extended for the year would bring M1 into the upper half of the rebased range by the fourth quarter of this year.","Given the slowing in M1 growth that is targeted for the balance of the year, the staff expects that M2 growth over the year as a whole will fall within its longer-run range for alternatives A, B, and C, and will be at the top of the range under the more expansive alternative D. (20) Alternative D, involving a 4 percent rate of growth of M1 on average in February and March, would require a growth in total reserves at about a 4 percent annual rate.","","","",
1982,1982-03-29,1982-03-30,0,14.39,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1982,1982-05-18,1982-05-18,0,14.68,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1982,1982-06-30,1982-07-01,0,14.71,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1982,1982-08-24,1982-08-24,0,9.01,No target in FRED,No target in FRED,"No Sentences Alternative D","","","","","","",
1982,1982-10-05,1982-10-05,0,10.9,10,10,"No Sentences Alternative D","","","","","","",
1982,1982-11-16,1982-11-16,0,9.82,9.5,9.5,"No Sentences Alternative D","","","","","","",
1982,1982-12-20,1982-12-21,0,8.79,8.5,8.5,"No Sentences Alternative D","","","","","","",
1983,1983-02-08,1983-02-09,0,8.56,8.5,8.5,"No Sentences Alternative D","","","","","","",
1983,1983-03-28,1983-03-29,0,8.76,8.5,8.5,"No Sentences Alternative D","","","","","","",
1983,1983-05-24,1983-05-24,0,8.74,8.625,8.625,"No Sentences Alternative D","","","","","","",
1983,1983-07-12,1983-07-13,0,9.21,9,9,"No Sentences Alternative D","","","","","","",
1983,1983-08-23,1983-08-23,0,9.37,9.5,9.5,"No Sentences Alternative D","","","","","","",
1983,1983-10-04,1983-10-04,0,9.62,9.375,9.375,"No Sentences Alternative D","","","","","","",
1983,1983-11-14,1983-11-15,0,9.38,9.375,9.375,"No Sentences Alternative D","","","","","","",
