
GDP_1991_12_11     Nominal GDP
1993:4     6478.1
1994:1     6574.7
1994:2     6689.9
1994:3     6775.9
1994:4     6876.9
1995:1     6972.1
1995:2     7044.2
1995:3     7106.8
1995:4     7174.2
1996:1     7253.6
1996:2     7335.9
1996:3     7421.1
1996:4     7509.0


GDP_1994_12_14     Nominal GDP

1992:1     5896.8
1992:2     5971.3
1992:3     6043.6
1992:4     6169.3
1993:1     6235.9
1993:2     6299.9
1993:3     6359.2
1993:4     6478.1
1994:1     6574.7
1994:2     6689.9
1994:3     6775.9
1994:4     6876.9
1995:1     6972.1
1995:2     7044.2
1995:3     7106.8
1995:4     7174.2
1996:1     7253.6
1996:2     7335.6
1996:3     7421.1
1996:4     7509.0


GDP_1995_01_25     Nominal GDP

1992:1     5896.8
1992:2     5971.3
1992:3     6043.6
1992:4     6169.3
1993:1     6235.9
1993:2     6299.9
1993:3     6359.2
1993:4     6478.1
1994:1     6574.7
1994:2     6689.9
1994:3     6791.7
1994:4     6904.0
1995:1     7011.8
1995:2     7089.6
1995:3     7160.7
1995:4     7232.1
1996:1     7315.3
1996:2     7405.6
1996:3     7500.1
1996:4     7595.4


GDP_1995_03_22     Nominal GDP

1992:1     5896.8
1992:2     5971.3
1992:3     6043.6
1992:4     6169.3
1993:1     6235.9
1993:2     6299.9
1993:3     6359.2
1993:4     6478.1
1994:1     6574.7
1994:2     6689.9
1994:3     6791.7
1994:4     6888.1
1995:1     6985.9
1995:2     7056.5
1995:3     7132.4
1995:4     7212.2
1996:1     7299.6
1996:2     7386.0
1996:3     7472.4
1996:4     7557.8


GDP_1995_05_17     Nominal GDP

1992:1     5896.8
1992:2     5971.3
1992:3     6043.6
1992:4     6169.3
1993:1     6235.9
1993:2     6299.9
1993:3     6359.2
1993:4     6478.1
1994:1     6574.7
1994:2     6689.9
1994:3     6791.7
1994:4     6897.2
1995:1     6982.9
1995:2     7043.3
1995:3     7120.8
1995:4     7213.1
1996:1     7298.3
1996:2     7385.0
1996:3     7474.0
1996:4     7561.5


GDP_1995_06_28     Nominal GDP

1992:1     5896.8
1992:2     5971.3
1992:3     6043.6
1992:4     6169.3
1993:1     6235.9
1993:2     6299.9
1993:3     6359.2
1993:4     6478.1
1994:1     6574.7
1994:2     6689.9
1994:3     6791.7
1994:4     6897.2
1995:1     6979.7
1995:2     7009.8
1995:3     7076.9
1995:4     7176.7
1996:1     7258.1
1996:2     7336.9
1996:3     7418.8
1996:4     7502.8


GDP_1995_08_16     Nominal GDP

1992:1     5896.8
1992:2     5971.3
1992:3     6043.6
1992:4     6169.3
1993:1     6235.9
1993:2     6299.9
1993:3     6359.2
1993:4     6478.1
1994:1     6574.7
1994:2     6689.9
1994:3     6791.7
1994:4     6897.2
1995:1     6977.4
1995:2     7011.8
1995:3     7091.9
1995:4     7185.4
1996:1     7268.3
1996:2     7345.8
1996:3     7424.6
1996:4     7503.9


GDP_1995_09_20     Nominal GDP

1993:1     6235.9
1993:2     6299.9
1993:3     6359.2
1993:4     6478.1
1994:1     6574.7
1994:2     6689.9
1994:3     6791.7
1994:4     6897.2
1995:1     6977.4
1995:2     7024.9
1995:3     7112.0
1995:4     7200.5
1996:1     7290.3
1996:2     7366.6
1996:3     7440.4
1996:4     7514.7
1997:1     7590.5
1997:2     7662.9
1997:3     7735.7
1997:4     7808.5


GDP_1995_11_08     Nominal GDP

1993:1     6235.9
1993:2     6299.9
1993:3     6359.2
1993:4     6478.1
1994:1     6574.7
1994:2     6689.9
1994:3     6791.7
1994:4     6897.2
1995:1     6977.4
1995:2     7030.0
1995:3     7109.6
1995:4     7193.4
1996:1     7287.0
1996:2     7376.4
1996:3     7453.0
1996:4     7537.1
1997:1     7623.2
1997:2     7713.6
1997:3     7787.0
1997:4     7860.9


GDP_1995_12_14     Nominal GDP

1993:1     6235.9
1993:2     6299.9
1993:3     6359.2
1993:4     6478.1
1994:1     6574.7
1994:2     6689.9
1994:3     6791.7
1994:4     6897.2
1995:1     6977.4
1995:2     7030.0
1995:3     7131.2
1995:4     7199.4
1996:1     7289.5
1996:2     7373.5
1996:3     7446.5
1996:4     7535.0
1997:1     7621.3
1997:2     7708.8
1997:3     7786.3
1997:4     7867.0


GDP_1996_01_26     Nominal GDP

1993:1     6442.8
1993:2     6503.2
1993:3     6571.3
1993:4     6683.7
1994:1     6772.8
1994:2     6885.0
1994:3     6987.6
1994:4     7080.0
1995:1     7147.8
1995:2     7196.5
1995:3     7297.2
1995:4     7379.2
1996:1     7456.8
1996:2     7539.5
1996:3     7624.6
1996:4     7717.2
1997:1     7805.1
1997:2     7893.8
1997:3     7976.0
1997:4     8071.4


GDP_1996_03_21     Nominal GDP

1993:1     6442.8
1993:2     6503.2
1993:3     6571.3
1993:4     6683.7
1994:1     6772.8
1994:2     6885.0
1994:3     6987.6
1994:4     7080.0
1995:1     7147.8
1995:2     7196.5
1995:3     7298.5
1995:4     7335.9
1996:1     7416.7
1996:2     7523.0
1996:3     7603.8
1996:4     7695.2
1997:1     7788.5
1997:2     7880.1
1997:3     7962.6
1997:4     8061.7


GDP_1996_05_16     Nominal GDP

1993:1     6442.8
1993:2     6503.2
1993:3     6571.3
1993:4     6683.7
1994:1     6772.8
1994:2     6885.0
1994:3     6987.6
1994:4     7080.0
1995:1     7147.8
1995:2     7196.5
1995:3     7298.5
1995:4     7340.4
1996:1     7426.9
1996:2     7528.5
1996:3     7615.1
1996:4     7699.9
1997:1     7794.2
1997:2     7882.9
1997:3     7967.0
1997:4     8062.4


GDP_1996_06_26     Nominal GDP

1993:1     6442.8
1993:2     6503.2
1993:3     6571.3
1993:4     6683.7
1994:1     6772.8
1994:2     6885.0
1994:3     6987.6
1994:4     7080.0
1995:1     7147.8
1995:2     7196.5
1995:3     7298.5
1995:4     7340.4
1996:1     7421.5
1996:2     7520.2
1996:3     7603.3
1996:4     7684.8
1997:1     7768.5
1997:2     7855.4
1997:3     7940.6
1997:4     8029.4


GDP_1996_08_15     Nominal GDP

1993:1     6442.6
1993:2     6506.2
1993:3     6574.4
1993:4     6688.6
1994:1     6776.0
1994:2     6890.5
1994:3     6993.1
1994:4     7083.2
1995:1     7149.8
1995:2     7204.9
1995:3     7309.8
1995:4     7350.6
1996:1     7426.8
1996:2     7528.7
1996:3     7611.6
1996:4     7701.0
1997:1     7791.4
1997:2     7881.9
1997:3     7974.1
1997:4     8067.5


GDP_1996_09_18     Nominal GDP

1994:1     6776.0
1994:2     6890.5
1994:3     6993.1
1994:4     7083.2
1995:1     7149.8
1995:2     7204.9
1995:3     7309.8
1995:4     7350.6
1996:1     7426.8
1996:2     7545.6
1996:3     7623.2
1996:4     7708.0
1997:1     7802.0
1997:2     7890.9
1997:3     7979.4
1997:4     8070.4
1998:1     8163.9
1998:2     8255.5
1998:3     8346.9
1998:4     8441.0


GDP_1996_11_06     Nominal GDP

1994:1     6776.0
1994:2     6890.5
1994:3     6993.1
1994:4     7083.2
1995:1     7149.8
1995:2     7204.9
1995:3     7309.8
1995:4     7350.6
1996:1     7426.8
1996:2     7545.1
1996:3     7621.1
1996:4     7696.5
1997:1     7798.6
1997:2     7882.0
1997:3     7965.0
1997:4     8045.9
1998:1     8133.9
1998:2     8220.3
1998:3     8307.0
1998:4     8397.4


GDP_1996_12_12     Nominal GDP

1994:1     6776.0
1994:2     6890.5
1994:3     6993.1
1994:4     7083.2
1995:1     7149.8
1995:2     7204.9
1995:3     7309.8
1995:4     7350.6
1996:1     7426.8
1996:2     7545.1
1996:3     7614.2
1996:4     7698.0
1997:1     7797.8
1997:2     7883.7
1997:3     7967.9
1997:4     8052.7
1998:1     8141.8
1998:2     8225.8
1998:3     8309.1
1998:4     8395.6


GDP_1997_01_29     Nominal GDP

1994:1     6776.0
1994:2     6890.5
1994:3     6993.1
1994:4     7083.2
1995:1     7149.8
1995:2     7204.9
1995:3     7309.8
1995:4     7350.6
1996:1     7426.8
1996:2     7545.1
1996:3     7616.3
1996:4     7726.8
1997:1     7814.0
1997:2     7908.8
1997:3     7994.6
1997:4     8085.1
1998:1     8177.3
1998:2     8267.6
1998:3     8359.9
1998:4     8456.4


GDP_1997_03_19     Nominal GDP

1994:1     6776.0
1994:2     6890.5
1994:3     6993.1
1994:4     7083.2
1995:1     7149.8
1995:2     7204.9
1995:3     7309.8
1995:4     7350.6
1996:1     7426.8
1996:2     7545.1
1996:3     7616.3
1996:4     7718.3
1997:1     7839.7
1997:2     7941.9
1997:3     8029.8
1997:4     8116.5
1998:1     8211.7
1998:2     8305.2
1998:3     8398.9
1998:4     8494.0


GDP_1997_05_15     Nominal GDP

1994:1     6776.1
1994:2     6890.5
1994:3     6993.1
1994:4     7083.2
1995:1     7149.8
1995:2     7204.9
1995:3     7309.8
1995:4     7350.6
1996:1     7426.8
1996:2     7545.1
1996:3     7616.3
1996:4     7716.1
1997:1     7867.9
1997:2     7942.9
1997:3     8033.4
1997:4     8122.4
1998:1     8211.8
1998:2     8300.9
1998:3     8388.4
1998:4     8478.0


GDP_1997_06_25     Nominal GDP

1994:1     6776.1
1994:2     6890.5
1994:3     6993.1
1994:4     7083.2
1995:1     7149.8
1995:2     7204.9
1995:3     7309.8
1995:4     7350.6
1996:1     7426.8
1996:2     7545.1
1996:3     7616.3
1996:4     7716.1
1997:1     7868.1
1997:2     7943.1
1997:3     8036.3
1997:4     8129.3
1998:1     8220.7
1998:2     8311.1
1998:3     8396.1
1998:4     8479.0


GDP_1997_08_14     Nominal GDP

1994:1     6794.3
1994:2     6911.4
1994:3     6986.5
1994:4     7095.7
1995:1     7168.9
1995:2     7209.5
1995:3     7301.3
1995:4     7381.9
1996:1     7467.5
1996:2     7607.7
1996:3     7676.0
1996:4     7792.9
1997:1     7933.6
1997:2     8014.9
1997:3     8091.9
1997:4     8180.7
1998:1     8269.3
1998:2     8357.8
1998:3     8442.8
1998:4     8525.8


GDP_1997_09_24     Nominal GDP

1995:1     7168.9
1995:2     7209.5
1995:3     7301.3
1995:4     7381.9
1996:1     7467.5
1996:2     7607.7
1996:3     7676.0
1996:4     7792.9
1997:1     7933.6
1997:2     8035.4
1997:3     8123.9
1997:4     8224.0
1998:1     8330.8
1998:2     8428.3
1998:3     8510.8
1998:4     8586.2
1999:1     8668.3
1999:2     8744.6
1999:3     8822.0
1999:4     8902.2


GDP_1997_11_06     Nominal GDP

1995:1     7168.9
1995:2     7209.5
1995:3     7301.3
1995:4     7381.9
1996:1     7467.5
1996:2     7607.7
1996:3     7676.0
1996:4     7792.9
1997:1     7933.6
1997:2     8034.3
1997:3     8131.3
1997:4     8238.3
1998:1     8339.0
1998:2     8431.3
1998:3     8514.9
1998:4     8591.7
1999:1     8672.9
1999:2     8749.4
1999:3     8826.5
1999:4     8903.7


GDP_1997_12_11     Nominal GDP

1995:1     7168.9
1995:2     7209.5
1995:3     7301.3
1995:4     7381.9
1996:1     7467.5
1996:2     7607.7
1996:3     7676.0
1996:4     7792.9
1997:1     7933.6
1997:2     8034.3
1997:3     8130.2
1997:4     8250.7
1998:1     8336.8
1998:2     8407.3
1998:3     8474.8
1998:4     8541.7
1999:1     8610.2
1999:2     8677.0
1999:3     8747.6
1999:4     8821.1


GDP_1998_01_28     Nominal GDP

1995:1     7168.9
1995:2     7209.5
1995:3     7301.3
1995:4     7381.9
1996:1     7467.5
1996:2     7607.7
1996:3     7676.0
1996:4     7792.9
1997:1     7933.6
1997:2     8034.3
1997:3     8124.3
1997:4     8241.5
1998:1     8330.1
1998:2     8384.7
1998:3     8449.3
1998:4     8520.7
1999:1     8598.8
1999:2     8673.1
1999:3     8751.2
1999:4     8832.9


GDP_1998_03_25     Nominal GDP

1995:1     7168.9
1995:2     7209.5
1995:3     7301.3
1995:4     7381.9
1996:1     7467.5
1996:2     7607.7
1996:3     7676.0
1996:4     7792.9
1997:1     7933.6
1997:2     8034.3
1997:3     8124.3
1997:4     8232.1
1998:1     8323.6
1998:2     8397.2
1998:3     8475.3
1998:4     8555.7
1999:1     8641.0
1999:2     8722.9
1999:3     8808.8
1999:4     8898.5


GDP_1998_05_14     Nominal GDP

1995:1     7168.9
1995:2     7209.5
1995:3     7301.3
1995:4     7381.9
1996:1     7467.5
1996:2     7607.7
1996:3     7676.0
1996:4     7792.9
1997:1     7933.6
1997:2     8034.3
1997:3     8124.3
1997:4     8227.4
1998:1     8350.8
1998:2     8436.1
1998:3     8510.2
1998:4     8584.5
1999:1     8668.3
1999:2     8750.4
1999:3     8835.6
1999:4     8924.4


GDP_1998_06_24     Nominal GDP

1995:1     7168.9
1995:2     7209.5
1995:3     7301.3
1995:4     7381.9
1996:1     7467.5
1996:2     7607.7
1996:3     7676.0
1996:4     7792.9
1997:1     7933.6
1997:2     8034.3
1997:3     8124.3
1997:4     8227.4
1998:1     8357.1
1998:2     8432.8
1998:3     8507.3
1998:4     8577.9
1999:1     8649.7
1999:2     8722.9
1999:3     8806.4
1999:4     8894.1



GDP_1991_12_11     Nominal GDP

1989:1     5139.9
1989:2     5218.5
1989:3     5277.3
1989:4     5340.4
1990:1     5422.4
1990:2     5504.7
1990:3     5570.5
1990:4     5557.5
1991:1     5589.0
1991:2     5652.6
1991:3     5707.4
1991:4     5745.4
1992:1     5791.2
1992:2     5871.4
1992:3     5949.2
1992:4     6035.0
1993:1     6132.9
1993:2     6223.1
1993:3     6314.8
1993:4     6407.1


GDP_1992_01_30     Nominal GDP

1989:1     5139.9
1989:2     5218.5
1989:3     5277.3
1989:4     5340.4
1990:1     5422.4
1990:2     5504.7
1990:3     5570.5
1990:4     5557.5
1991:1     5589.0
1991:2     5652.6
1991:3     5709.2
1991:4     5736.6
1992:1     5797.0
1992:2     5866.2
1992:3     5944.8
1992:4     6027.3
1993:1     6125.8
1993:2     6214.8
1993:3     6302.0
1993:4     6388.0


GDP_1992_03_25     Nominal GDP

1989:1     5139.9
1989:2     5218.5
1989:3     5277.3
1989:4     5340.4
1990:1     5422.4
1990:2     5504.7
1990:3     5570.5
1990:4     5557.5
1991:1     5589.0
1991:2     5652.6
1991:3     5709.2
1991:4     5746.7
1992:1     5812.9
1992:2     5893.1
1992:3     5977.1
1992:4     6062.9
1993:1     6152.7
1993:2     6233.0
1993:3     6312.9
1993:4     6391.0


GDP_1992_05_14     Nominal GDP

1989:1     5139.9
1989:2     5218.5
1989:3     5277.3
1989:4     5340.4
1990:1     5422.4
1990:2     5504.7
1990:3     5570.5
1990:4     5557.5
1991:1     5589.0
1991:2     5652.6
1991:3     5709.2
1991:4     5739.7
1992:1     5809.3
1992:2     5879.7
1992:3     5966.2
1992:4     6052.3
1993:1     6141.4
1993:2     6223.6
1993:3     6304.0
1993:4     6384.3


GDP_1992_06_24     Nominal GDP

1989:1     5139.9
1989:2     5218.5
1989:3     5277.3
1989:4     5340.4
1990:1     5422.4
1990:2     5504.7
1990:3     5570.5
1990:4     5557.5
1991:1     5589.0
1991:2     5652.6
1991:3     5709.2
1991:4     5739.7
1992:1     5817.5
1992:2     5886.3
1992:3     5956.7
1992:4     6038.1
1993:1     6128.3
1993:2     6211.8
1993:3     6297.8
1993:4     6385.7


GDP_1992_08_13     Nominal GDP

1990:1     5445.2
1990:2     5522.6
1990:3     5559.6
1990:4     5561.3
1991:1     5585.8
1991:2     5657.6
1991:3     5713.1
1991:4     5753.3
1992:1     5840.2
1992:2     5893.6
1992:3     5942.5
1992:4     6022.0
1993:1     6107.0
1993:2     6187.8
1993:3     6270.9
1993:4     6354.0
1994:1     6445.8
1994:2     6526.8
1994:3     6605.5
1994:4     6685.1


GDP_1992_09_30     Nominal GDP

1990:1     5445.2
1990:2     5522.6
1990:3     5559.6
1990:4     5561.3
1991:1     5585.8
1991:2     5657.6
1991:3     5713.1
1991:4     5753.3
1992:1     5840.2
1992:2     5902.2
1992:3     5964.2
1992:4     6013.6
1993:1     6084.1
1993:2     6155.1
1993:3     6230.9
1993:4     6309.5
1994:1     6398.9
1994:2     6477.7
1994:3     6552.8
1994:4     6625.7


GDP_1992_11_12     Nominal GDP

1990:1     5445.2
1990:2     5522.6
1990:3     5559.6
1990:4     5561.3
1991:1     5585.8
1991:2     5657.6
1991:3     5713.1
1991:4     5753.3
1992:1     5840.2
1992:2     5902.2
1992:3     5967.1
1992:4     6032.4
1993:1     6104.4
1993:2     6167.8
1993:3     6236.0
1993:4     6307.3
1994:1     6388.0
1994:2     6462.3
1994:3     6535.3
1994:4     6608.9


GDP_1992_12_16     Nominal GDP

1990:1     5445.2
1990:2     5522.6
1990:3     5559.6
1990:4     5561.3
1991:1     5585.8
1991:2     5657.6
1991:3     5713.1
1991:4     5753.3
1992:1     5840.2
1992:2     5902.2
1992:3     5982.5
1992:4     6073.0
1993:1     6162.0
1993:2     6237.5
1993:3     6315.9
1993:4     6391.5
1994:1     6474.3
1994:2     6551.5
1994:3     6630.7
1994:4     6709.9


GDP_1993_01_29     Nominal GDP

1990:1     5445.2
1990:2     5522.6
1990:3     5559.6
1990:4     5561.3
1991:1     5585.8
1991:2     5657.6
1991:3     5713.1
1991:4     5753.3
1992:1     5840.2
1992:2     5902.2
1992:3     5978.5
1992:4     6061.9
1993:1     6153.7
1993:2     6231.0
1993:3     6309.4
1993:4     6387.6
1994:1     6469.4
1994:2     6548.6
1994:3     6627.1
1994:4     6706.0


GDP_1993_03_17     Nominal GDP

1990:1     5445.2
1990:2     5522.6
1990:3     5559.6
1990:4     5561.3
1991:1     5585.8
1991:2     5657.6
1991:3     5713.1
1991:4     5753.3
1992:1     5840.2
1992:2     5902.2
1992:3     5978.5
1992:4     6082.1
1993:1     6181.5
1993:2     6262.7
1993:3     6340.2
1993:4     6420.7
1994:1     6502.3
1994:2     6583.7
1994:3     6667.3
1994:4     6750.2


GDP_1993_05_14     Nominal GDP

1990:1     5445.2
1990:2     5522.6
1990:3     5559.6
1990:4     5561.3
1991:1     5585.8
1991:2     5657.6
1991:3     5713.1
1991:4     5753.3
1992:1     5840.2
1992:2     5902.2
1992:3     5978.5
1992:4     6081.8
1993:1     6158.8
1993:2     6223.0
1993:3     6295.2
1993:4     6373.0
1994:1     6453.1
1994:2     6533.6
1994:3     6616.7
1994:4     6696.7


GDP_1993_06_30     Nominal GDP

