year,quarter,macro_variable,number
1978,Q2,    State and local [gsl],273.8
1978,Q3,    State and local [gsl],281.1
1978,Q4,    State and local [gsl],288.4
1979,Q1,    State and local [gsl],295.5
1979,Q2,    State and local [gsl],302.6
1977,Q3,  Real GNP [gnp72],1347.4
1977,Q4,  Real GNP [gnp72],1360.2
1978,Q1,  Real GNP [gnp72],1365.0
1978,Q2,  Real GNP [gnp72],1387.2
1978,Q3,  Real GNP [gnp72],1402.1
1978,Q4,  Real GNP [gnp72],1418.0
1979,Q1,  Real GNP [gnp72],1434.0
1979,Q2,  Real GNP [gnp72],1448.6
1977,Q3,  Nominal personal income [yp],1549.8
1977,Q4,  Nominal personal income [yp],1603.0
1978,Q1,  Nominal personal income [yp],1637.6
1978,Q2,  Nominal personal income [yp],1684.5
1978,Q3,  Nominal personal income [yp],1732.7
1978,Q4,  Nominal personal income [yp],1779.8
1979,Q1,  Nominal personal income [yp],1824.1
1979,Q2,  Nominal personal income [yp],1868.4
1977,Q3,    Wage and salary disbursements [wsd],998.9
1977,Q4,    Wage and salary disbursements [wsd],1029.1
1978,Q1,    Wage and salary disbursements [wsd],1056.0
1978,Q2,    Wage and salary disbursements [wsd],1084.7
1978,Q3,    Wage and salary disbursements [wsd],1110.7
1978,Q4,    Wage and salary disbursements [wsd],1140.1
1979,Q1,    Wage and salary disbursements [wsd],1172.4
1979,Q2,    Wage and salary disbursements [wsd],1200.9
1977,Q3,  Disposable personal income [yd],1323.8
1977,Q4,  Disposable personal income [yd],1368.3
1978,Q1,  Disposable personal income [yd],1399.9
1978,Q2,  Disposable personal income [yd],1437.4
1978,Q3,  Disposable personal income [yd],1475.7
1978,Q4,  Disposable personal income [yd],1529.5
1979,Q1,  Disposable personal income [yd],1569.7
1979,Q2,  Disposable personal income [yd],1605.6
1977,Q3,    Saving rate [svpyd],5.5
1977,Q4,    Saving rate [svpyd],5.6
1978,Q1,    Saving rate [svpyd],5.8
1978,Q2,    Saving rate [svpyd],5.7
1978,Q3,    Saving rate [svpyd],5.9
1978,Q4,    Saving rate [svpyd],6.6
1979,Q1,    Saving rate [svpyd],6.4
1979,Q2,    Saving rate [svpyd],6.1
1977,Q3,"  Corporate profits, IVA & CCAdj. [zbivca]",149.0
1977,Q4,"  Corporate profits, IVA & CCAdj. [zbivca]",144.5
1978,Q1,"  Corporate profits, IVA & CCAdj. [zbivca]",138.9
1978,Q2,"  Corporate profits, IVA & CCAdj. [zbivca]",154.1
1978,Q3,"  Corporate profits, IVA & CCAdj. [zbivca]",158.0
1978,Q4,"  Corporate profits, IVA & CCAdj. [zbivca]",168.4
1979,Q1,"  Corporate profits, IVA & CCAdj. [zbivca]",167.8
1979,Q2,"  Corporate profits, IVA & CCAdj. [zbivca]",171.1
1977,Q3,    Corporate profits before tax [zb],172.8
1977,Q4,    Corporate profits before tax [zb],178.0
1978,Q1,    Corporate profits before tax [zb],180.3
1978,Q2,    Corporate profits before tax [zb],192.6
1978,Q3,    Corporate profits before tax [zb],195.6
1978,Q4,    Corporate profits before tax [zb],206.2
1979,Q1,    Corporate profits before tax [zb],206.1
1979,Q2,    Corporate profits before tax [zb],209.9
1977,Q3,  Federal surplus/deficit [defgf],-58.9
1977,Q4,  Federal surplus/deficit [defgf],-60.1
1978,Q1,  Federal surplus/deficit [defgf],-55.3
1978,Q2,  Federal surplus/deficit [defgf],-48.4
1978,Q3,  Federal surplus/deficit [defgf],-45.5
1978,Q4,  Federal surplus/deficit [defgf],-62.3
1979,Q1,  Federal surplus/deficit [defgf],-54.8
1979,Q2,  Federal surplus/deficit [defgf],-48.7
1977,Q3,    High employment surplus/deficit [hesurdef],-20.4
1977,Q4,    High employment surplus/deficit [hesurdef],-22.1
1978,Q1,    High employment surplus/deficit [hesurdef],-13.5
1978,Q2,    High employment surplus/deficit [hesurdef],-11.5
1978,Q3,    High employment surplus/deficit [hesurdef],-8.1
1978,Q4,    High employment surplus/deficit [hesurdef],-28.2
1979,Q1,    High employment surplus/deficit [hesurdef],-19.7
1979,Q2,    High employment surplus/deficit [hesurdef],-13.0
1977,Q3,  State and local surplus/deficit [defgsl],32.9
1977,Q4,  State and local surplus/deficit [defgsl],31.1
1978,Q1,  State and local surplus/deficit [defgsl],29.8
1978,Q2,  State and local surplus/deficit [defgsl],29.6
1978,Q3,  State and local surplus/deficit [defgsl],27.4
1978,Q4,  State and local surplus/deficit [defgsl],27.4
1979,Q1,  State and local surplus/deficit [defgsl],26.0
1979,Q2,  State and local surplus/deficit [defgsl],24.1
1977,Q3,    Exc. social insurance funds [defsig],17.4
1977,Q4,    Exc. social insurance funds [defsig],15.4
1978,Q1,    Exc. social insurance funds [defsig],12.3
1978,Q2,    Exc. social insurance funds [defsig],11.6
1978,Q3,    Exc. social insurance funds [defsig],8.9
1978,Q4,    Exc. social insurance funds [defsig],8.4
1979,Q1,    Exc. social insurance funds [defsig],6.5
1979,Q2,    Exc. social insurance funds [defsig],4.1
1977,Q3,  Civilian labor force [lc],97.6
1977,Q4,  Civilian labor force [lc],98.6
1978,Q1,  Civilian labor force [lc],99.2
1978,Q2,  Civilian labor force [lc],99.8
1978,Q3,  Civilian labor force [lc],100.3
1978,Q4,  Civilian labor force [lc],100.9
1979,Q1,  Civilian labor force [lc],101.5
1979,Q2,  Civilian labor force [lc],102.0
1977,Q3,  Unemployment rate [ru],6.9
1977,Q4,  Unemployment rate [ru],6.6
1978,Q1,  Unemployment rate [ru],6.2
1978,Q2,  Unemployment rate [ru],6.0
1978,Q3,  Unemployment rate [ru],6.0
1978,Q4,  Unemployment rate [ru],5.9
1979,Q1,  Unemployment rate [ru],5.8
1979,Q2,  Unemployment rate [ru],5.8
1977,Q3,  Nonfarm payroll employment [payrlem],82.5
1977,Q4,  Nonfarm payroll employment [payrlem],83.2
1978,Q1,  Nonfarm payroll employment [payrlem],84.1
1978,Q2,  Nonfarm payroll employment [payrlem],84.9
1978,Q3,  Nonfarm payroll employment [payrlem],85.4
1978,Q4,  Nonfarm payroll employment [payrlem],86.0
1979,Q1,  Nonfarm payroll employment [payrlem],86.6
1979,Q2,  Nonfarm payroll employment [payrlem],87.2
1977,Q3,    Manufacturing [payrlemmfg],19.6
1977,Q4,    Manufacturing [payrlemmfg],19.8
1978,Q1,    Manufacturing [payrlemmfg],20.1
1978,Q2,    Manufacturing [payrlemmfg],20.3
1978,Q3,    Manufacturing [payrlemmfg],20.5
1978,Q4,    Manufacturing [payrlemmfg],20.7
1979,Q1,    Manufacturing [payrlemmfg],20.9
1979,Q2,    Manufacturing [payrlemmfg],21.2
1977,Q3,  Industrial production index [jrfb],138.4
1977,Q4,  Industrial production index [jrfb],139.3
1978,Q1,  Industrial production index [jrfb],139.7
1978,Q2,  Industrial production index [jrfb],143.1
1978,Q3,  Industrial production index [jrfb],145.5
1978,Q4,  Industrial production index [jrfb],148.2
1979,Q1,  Industrial production index [jrfb],150.9
1979,Q2,  Industrial production index [jrfb],153.1
1977,Q3,    Capacity utilization rate -- mfg [ucapmfg],83.0
1977,Q4,    Capacity utilization rate -- mfg [ucapmfg],82.9
1978,Q1,    Capacity utilization rate -- mfg [ucapmfg],82.2
1978,Q2,    Capacity utilization rate -- mfg [ucapmfg],83.5
1978,Q3,    Capacity utilization rate -- mfg [ucapmfg],84.3
1978,Q4,    Capacity utilization rate -- mfg [ucapmfg],85.0
1979,Q1,    Capacity utilization rate -- mfg [ucapmfg],85.7
1979,Q2,    Capacity utilization rate -- mfg [ucapmfg],86.1
1977,Q3,      Materials (percent) [jfrbmat],82.3
1977,Q4,      Materials (percent) [jfrbmat],82.2
1978,Q1,      Materials (percent) [jfrbmat],81.6
1978,Q2,      Materials (percent) [jfrbmat],83.3
1978,Q3,      Materials (percent) [jfrbmat],84.2
1978,Q4,      Materials (percent) [jfrbmat],85.1
1979,Q1,      Materials (percent) [jfrbmat],86.1
1979,Q2,      Materials (percent) [jfrbmat],86.7
1977,Q3,"  Housing starts, private [hs]",2.0
1977,Q4,"  Housing starts, private [hs]",2.2
1978,Q1,"  Housing starts, private [hs]",1.8
1978,Q2,"  Housing starts, private [hs]",2.1
1978,Q3,"  Housing starts, private [hs]",1.9
1978,Q4,"  Housing starts, private [hs]",1.8
1979,Q1,"  Housing starts, private [hs]",1.8
1979,Q2,"  Housing starts, private [hs]",1.8
1977,Q3,  New auto sales [slau],10.9
1977,Q4,  New auto sales [slau],10.8
1978,Q1,  New auto sales [slau],10.8
1978,Q2,  New auto sales [slau],10.9
1978,Q3,  New auto sales [slau],10.9
1978,Q4,  New auto sales [slau],11.1
1979,Q1,  New auto sales [slau],11.1
1979,Q2,  New auto sales [slau],11.0
1977,Q3,      Domestic [slauna],8.9
1977,Q4,      Domestic [slauna],8.8
1978,Q1,      Domestic [slauna],8.8
1978,Q2,      Domestic [slauna],8.8
1978,Q3,      Domestic [slauna],8.9
1978,Q4,      Domestic [slauna],9.1
1979,Q1,      Domestic [slauna],9.2
1979,Q2,      Domestic [slauna],9.1
1977,Q3,      Foreign [slaufr],2.0
1977,Q4,      Foreign [slaufr],2.0
1978,Q1,      Foreign [slaufr],2.0
1978,Q2,      Foreign [slaufr],2.1
1978,Q3,      Foreign [slaufr],2.0
1978,Q4,      Foreign [slaufr],2.0
1979,Q1,      Foreign [slaufr],2.0
1979,Q2,      Foreign [slaufr],1.9
1977,Q3,  Nominal GNP [cgnp],46.0
1977,Q4,  Nominal GNP [cgnp],45.9
1978,Q1,  Nominal GNP [cgnp],41.5
1978,Q2,  Nominal GNP [cgnp],69.2
1978,Q3,  Nominal GNP [cgnp],56.5
1978,Q4,  Nominal GNP [cgnp],61.1
1979,Q1,  Nominal GNP [cgnp],62.2
1979,Q2,  Nominal GNP [cgnp],58.5
1977,Q3,    Inventory change [ccinv],1.9
1977,Q4,    Inventory change [ccinv],-10.1
1978,Q1,    Inventory change [ccinv],6.5
1978,Q2,    Inventory change [ccinv],4.5
1978,Q3,    Inventory change [ccinv],1.0
1978,Q4,    Inventory change [ccinv],1.5
1979,Q1,    Inventory change [ccinv],3.3
1979,Q2,    Inventory change [ccinv],1.2
1977,Q3,    Final sales [csf],44.0
1977,Q4,    Final sales [csf],56.0
1978,Q1,    Final sales [csf],35.0
1978,Q2,    Final sales [csf],64.7
1978,Q3,    Final sales [csf],55.5
1978,Q4,    Final sales [csf],59.6
1979,Q1,    Final sales [csf],58.9
1979,Q2,    Final sales [csf],57.3
1977,Q3,    Private [csfp],33.7
1977,Q4,    Private [csfp],43.1
1978,Q1,    Private [csfp],29.3
1978,Q2,    Private [csfp],53.7
1978,Q3,    Private [csfp],44.0
1978,Q4,    Private [csfp],45.7
1979,Q1,    Private [csfp],48.4
1979,Q2,    Private [csfp],46.2
1977,Q3,      Net exports [cexm],2.2
1977,Q4,      Net exports [cexm],-10.7
1978,Q1,      Net exports [cexm],-1.3
1978,Q2,      Net exports [cexm],5.1
1978,Q3,      Net exports [cexm],3.2
1978,Q4,      Net exports [cexm],-1.8
1979,Q1,      Net exports [cexm],0.7
1979,Q2,      Net exports [cexm],-0.4
1977,Q3,      Domestic final purchases [csfpexn],31.5
1977,Q4,      Domestic final purchases [csfpexn],53.8
1978,Q1,      Domestic final purchases [csfpexn],30.6
1978,Q2,      Domestic final purchases [csfpexn],48.6
1978,Q3,      Domestic final purchases [csfpexn],40.8
1978,Q4,      Domestic final purchases [csfpexn],47.5
1979,Q1,      Domestic final purchases [csfpexn],47.7
1979,Q2,      Domestic final purchases [csfpexn],46.6
1977,Q3,        Personal consumption expenditures [cc],24.9
1977,Q4,        Personal consumption expenditures [cc],40.6
1978,Q1,        Personal consumption expenditures [cc],24.6
1978,Q2,        Personal consumption expenditures [cc],35.7
1978,Q3,        Personal consumption expenditures [cc],32.8
1978,Q4,        Personal consumption expenditures [cc],39.7
1979,Q1,        Personal consumption expenditures [cc],39.2
1979,Q2,        Personal consumption expenditures [cc],37.4
1977,Q3,          Goods [ccg],6.4
1977,Q4,          Goods [ccg],26.5
1978,Q1,          Goods [ccg],5.5
1978,Q2,          Goods [ccg],19.2
1978,Q3,          Goods [ccg],18.1
1978,Q4,          Goods [ccg],22.4
1979,Q1,          Goods [ccg],20.2
1979,Q2,          Goods [ccg],18.3
1977,Q3,          Services [ccs],18.4
1977,Q4,          Services [ccs],14.2
1978,Q1,          Services [ccs],19.0
1978,Q2,          Services [ccs],16.5
1978,Q3,          Services [ccs],14.7
1978,Q4,          Services [ccs],17.3
1979,Q1,          Services [ccs],19.0
1979,Q2,          Services [ccs],19.1
1977,Q3,    Residential structures [cicr],1.7
1977,Q4,    Residential structures [cicr],7.2
1978,Q1,    Residential structures [cicr],1.0
1978,Q2,    Residential structures [cicr],5.0
1978,Q3,    Residential structures [cicr],1.0
1978,Q4,    Residential structures [cicr],0.5
1979,Q1,    Residential structures [cicr],1.0
1979,Q2,    Residential structures [cicr],1.5
1977,Q3,    Business fixed investment [cifixer],5.1
1977,Q4,    Business fixed investment [cifixer],6.0
1978,Q1,    Business fixed investment [cifixer],5.0
1978,Q2,    Business fixed investment [cifixer],7.9
1978,Q3,    Business fixed investment [cifixer],7.0
1978,Q4,    Business fixed investment [cifixer],7.3
1979,Q1,    Business fixed investment [cifixer],7.5
1979,Q2,    Business fixed investment [cifixer],7.7
1977,Q3,  Government consumption and investment [cgg],10.3
1977,Q4,  Government consumption and investment [cgg],12.9
1978,Q1,  Government consumption and investment [cgg],5.7
1978,Q2,  Government consumption and investment [cgg],11.0
1978,Q3,  Government consumption and investment [cgg],11.5
1978,Q4,  Government consumption and investment [cgg],13.9
1979,Q1,  Government consumption and investment [cgg],10.5
1979,Q2,  Government consumption and investment [cgg],11.1
1977,Q3,    Federal [gf72],4.5
1977,Q4,    Federal [gf72],5.7
1978,Q1,    Federal [gf72],0.8
1978,Q2,    Federal [gf72],2.1
1978,Q3,    Federal [gf72],4.2
1978,Q4,    Federal [gf72],6.6
1979,Q1,    Federal [gf72],3.4
1979,Q2,    Federal [gf72],4.0
1977,Q3,    State and local [cgsl72],5.9
1977,Q4,    State and local [cgsl72],7.1
1978,Q1,    State and local [cgsl72],4.9
1978,Q2,    State and local [cgsl72],8.9
1978,Q3,    State and local [cgsl72],7.3
1978,Q4,    State and local [cgsl72],7.3
1979,Q1,    State and local [cgsl72],7.1
1979,Q2,    State and local [cgsl72],7.1
1977,Q3,  Real GNP [cgnp72],16.7
1977,Q4,  Real GNP [cgnp72],12.8
1978,Q1,  Real GNP [cgnp72],4.8
1978,Q2,  Real GNP [cgnp72],22.2
1978,Q3,  Real GNP [cgnp72],14.9
1978,Q4,  Real GNP [cgnp72],15.9
1979,Q1,  Real GNP [cgnp72],16.0
1979,Q2,  Real GNP [cgnp72],14.6
1977,Q3,  Final sales [csf72],14.3
1977,Q4,  Final sales [csf72],19.7
1978,Q1,  Final sales [csf72],0.6
1978,Q2,  Final sales [csf72],19.3
1978,Q3,  Final sales [csf72],14.1
1978,Q4,  Final sales [csf72],15.1
1979,Q1,  Final sales [csf72],14.1
1979,Q2,  Final sales [csf72],13.3
1977,Q3,    Private [csfp72],10.3
1977,Q4,    Private [csfp72],16.7
1978,Q1,    Private [csfp72],0.9
1978,Q2,    Private [csfp72],16.2
1978,Q3,    Private [csfp72],10.8
1978,Q4,    Private [csfp72],12.4
1979,Q1,    Private [csfp72],11.9
1979,Q2,    Private [csfp72],10.6
1977,Q3,  Nominal GNP (% change) [q_gnp],10.2
1977,Q4,  Nominal GNP (% change) [q_gnp],9.9
1978,Q1,  Nominal GNP (% change) [q_gnp],8.7
1978,Q2,  Nominal GNP (% change) [q_gnp],14.5
1978,Q3,  Nominal GNP (% change) [q_gnp],11.4
1978,Q4,  Nominal GNP (% change) [q_gnp],12.0
1979,Q1,  Nominal GNP (% change) [q_gnp],11.9
1979,Q2,  Nominal GNP (% change) [q_gnp],10.8
1977,Q3,  Final sales (% change) [q_sf],9.9
1977,Q4,  Final sales (% change) [q_sf],12.4
1978,Q1,  Final sales (% change) [q_sf],7.4
1978,Q2,  Final sales (% change) [q_sf],13.7
1978,Q3,  Final sales (% change) [q_sf],11.3
1978,Q4,  Final sales (% change) [q_sf],11.8
1979,Q1,  Final sales (% change) [q_sf],11.3
1979,Q2,  Final sales (% change) [q_sf],10.7
1977,Q3,    Private (% change) [q_sfp],9.6
1977,Q4,    Private (% change) [q_sfp],12.1
1978,Q1,    Private (% change) [q_sfp],7.9
1978,Q2,    Private (% change) [q_sfp],14.5
1978,Q3,    Private (% change) [q_sfp],11.3
1978,Q4,    Private (% change) [q_sfp],11.5
1979,Q1,    Private (% change) [q_sfp],11.8
1979,Q2,    Private (% change) [q_sfp],10.9
1977,Q3,  Personal consumption expenditures (% change) [q_c],8.6
1977,Q4,  Personal consumption expenditures (% change) [q_c],14.0
1978,Q1,  Personal consumption expenditures (% change) [q_c],8.0
1978,Q2,  Personal consumption expenditures (% change) [q_c],11.6
1978,Q3,  Personal consumption expenditures (% change) [q_c],10.3
1978,Q4,  Personal consumption expenditures (% change) [q_c],12.3
1979,Q1,  Personal consumption expenditures (% change) [q_c],11.7
1979,Q2,  Personal consumption expenditures (% change) [q_c],10.9
1977,Q3,    Goods (% change) [q_CG],4.0
1977,Q4,    Goods (% change) [q_CG],17.0
1978,Q1,    Goods (% change) [q_CG],3.3
1978,Q2,    Goods (% change) [q_CG],11.6
1978,Q3,    Goods (% change) [q_CG],10.6
1978,Q4,    Goods (% change) [q_CG],12.9
1979,Q1,    Goods (% change) [q_CG],11.2
1979,Q2,    Goods (% change) [q_CG],9.8
1977,Q3,    Services (% change) [q_cs],14.3
1977,Q4,    Services (% change) [q_cs],10.5
1978,Q1,    Services (% change) [q_cs],14.0
1978,Q2,    Services (% change) [q_cs],11.6
1978,Q3,    Services (% change) [q_cs],10.0
1978,Q4,    Services (% change) [q_cs],11.6
1979,Q1,    Services (% change) [q_cs],12.4
1979,Q2,    Services (% change) [q_cs],12.1
1977,Q3,  Gross private domestic investment (% change) [q_ii],12.4
1977,Q4,  Gross private domestic investment (% change) [q_ii],4.1
1978,Q1,  Gross private domestic investment (% change) [q_ii],17.3
1978,Q2,  Gross private domestic investment (% change) [q_ii],23.7
1978,Q3,  Gross private domestic investment (% change) [q_ii],11.1
1978,Q4,  Gross private domestic investment (% change) [q_ii],11.2
1979,Q1,  Gross private domestic investment (% change) [q_ii],14.0
1979,Q2,  Gross private domestic investment (% change) [q_ii],11.8
1977,Q3,    Residential structures (% change) [q_icr],7.7
1977,Q4,    Residential structures (% change) [q_icr],35.0
1978,Q1,    Residential structures (% change) [q_icr],4.1
1978,Q2,    Residential structures (% change) [q_icr],21.4
1978,Q3,    Residential structures (% change) [q_icr],3.8
1978,Q4,    Residential structures (% change) [q_icr],1.9
1979,Q1,    Residential structures (% change) [q_icr],3.8
1979,Q2,    Residential structures (% change) [q_icr],5.7
1977,Q3,    Business fixed investment (% change) [q_ifix],11.6
1977,Q4,    Business fixed investment (% change) [q_ifix],13.4
1978,Q1,    Business fixed investment (% change) [q_ifix],10.7
1978,Q2,    Business fixed investment (% change) [q_ifix],16.9
1978,Q3,    Business fixed investment (% change) [q_ifix],14.3
1978,Q4,    Business fixed investment (% change) [q_ifix],14.4
1979,Q1,    Business fixed investment (% change) [q_ifix],14.3
1979,Q2,    Business fixed investment (% change) [q_ifix],14.2
1977,Q3,  Government consumption and investment (% change) [q_gg],11.0
1977,Q4,  Government consumption and investment (% change) [q_gg],13.5
1978,Q1,  Government consumption and investment (% change) [q_gg],5.6
1978,Q2,  Government consumption and investment (% change) [q_gg],10.9
1978,Q3,  Government consumption and investment (% change) [q_gg],11.1
1978,Q4,  Government consumption and investment (% change) [q_gg],13.2
1979,Q1,  Government consumption and investment (% change) [q_gg],9.5
1979,Q2,  Government consumption and investment (% change) [q_gg],9.9
1977,Q3,    Federal (% change) [q_gf],12.9
1977,Q4,    Federal (% change) [q_gf],16.3
1978,Q1,    Federal (% change) [q_gf],2.1
1978,Q2,    Federal (% change) [q_gf],5.5
1978,Q3,    Federal (% change) [q_gf],11.2
1978,Q4,    Federal (% change) [q_gf],17.4
1979,Q1,    Federal (% change) [q_gf],8.4
1979,Q2,    Federal (% change) [q_gf],9.7
1977,Q3,    State and local (% change) [q_gsl],9.9
1977,Q4,    State and local (% change) [q_gsl],11.8
1978,Q1,    State and local (% change) [q_gsl],7.8
1978,Q2,    State and local (% change) [q_gsl],14.1
1978,Q3,    State and local (% change) [q_gsl],11.1
1978,Q4,    State and local (% change) [q_gsl],10.8
1979,Q1,    State and local (% change) [q_gsl],10.2
1979,Q2,    State and local (% change) [q_gsl],10.0
1977,Q3,  Real GNP (% change) [q_gnp72],5.1
1977,Q4,  Real GNP (% change) [q_gnp72],3.8
1978,Q1,  Real GNP (% change) [q_gnp72],1.4
1978,Q2,  Real GNP (% change) [q_gnp72],6.7
1978,Q3,  Real GNP (% change) [q_gnp72],4.4
1978,Q4,  Real GNP (% change) [q_gnp72],4.6
1979,Q1,  Real GNP (% change) [q_gnp72],4.6
1979,Q2,  Real GNP (% change) [q_gnp72],4.1
1977,Q3,    Final sales (% change) [q_sf72],4.4
1977,Q4,    Final sales (% change) [q_sf72],6.1
1978,Q1,    Final sales (% change) [q_sf72],0.2
1978,Q2,    Final sales (% change) [q_sf72],5.8
1978,Q3,    Final sales (% change) [q_sf72],4.2
1978,Q4,    Final sales (% change) [q_sf72],4.4
1979,Q1,    Final sales (% change) [q_sf72],4.1
1979,Q2,    Final sales (% change) [q_sf72],3.8
1977,Q3,      Private (% change) [q_sfp72],4.0
1977,Q4,      Private (% change) [q_sfp72],6.5
1978,Q1,      Private (% change) [q_sfp72],0.3
