,start_date,end_date,DFF_Before_meeting,DFEDTR_before,DFEDTR_end,C_TREATMENT_alt_a,C_TREATMENT_SIZE_alt_a,justify_alt_a,Sentences_alt_a,C_TREATMENT_alt_b,C_TREATMENT_SIZE_alt_b,justify_alt_b,Sentences_alt_b,C_TREATMENT_alt_c,C_TREATMENT_SIZE_alt_c,justify_alt_c,Sentences_alt_c,C_TREATMENT_alt_d,C_TREATMENT_SIZE_alt_d,justify_alt_d,Sentences_alt_d,C_TREATMENT_alt_e,C_TREATMENT_SIZE_alt_e,justify_alt_e,Sentences_alt_e,comments
15,1969-09-09,1969-09-09,9.0,No target in FRED,No target in FRED,,,,No Sentences Alternative A,,,,No Sentences Alternative B,,,,No Sentences Alternative C,,,,No Sentences Alternative D,,,,No Sentences Alternative E,
16,1969-10-07,1969-10-07,9.5,No target in FRED,No target in FRED,,,,No Sentences Alternative A,,,,No Sentences Alternative B,,,,No Sentences Alternative C,,,,No Sentences Alternative D,,,,No Sentences Alternative E,
17,1969-10-28,1969-10-28,8.0,No target in FRED,No target in FRED,,,,"Prospective developments (7) For the second paragraph of the current economic policy directive, the Committee might wish to consider language along the following lines (alternative A): 'To implement this policy, System open market operations until the next meeting of the Committee shall be conducted with a view to main- taining the prevailing firm conditions in money and short-term credit -5- markets; provided, however, that operations shall be modified if bank credit appears to be deviating significantly from current projections. Assuming the bill rate remains within the range, however, we would not expect the November aggregatesto be more than a -9- percentage point or two stronger than projected under alternative A of the directive. Thus, relative to the alternative A projections, bank credit and deposit expansion, might show a more noticeable strengthening in December than in November.",,,,"Policy alternative (15) If the Committee should decide to move toward somewhat less firm money market conditions, it might wish to consider directive language along the following lines (alternative B): ""To implement this policy, System open market operations until the next meeting of the Committee shall be conducted with a view to achieving slightly less firm conditions in money and short-term credit markets; provided, however, that operations shall be modified if bank credit appears to be deviating significantly from current projections.",,,,No Sentences Alternative C,,,,No Sentences Alternative D,,,,No Sentences Alternative E,
18,1969-11-25,1969-11-25,8.5,No target in FRED,No target in FRED,,,,"Year 1968 7.8 6.0 9.0 9.8 n. a. 11.0 7.2 11.5 6.3 Jan. '69- June '69 0.7 -3.7 -3.5 -0.2 n.a. 3.0 4.3 -4.0 5.0 July '69- Sept. '69 - 9.3 - 4.8 -9.4 -6.2 -4.3 - 0.5 -13.3 2.1 Oct. '69 -10.9 -17.1 - 9.2 -10.0 - 7.5 0.3 0.6 -3.7 -0.5 Prospective developments (6) For the second paragraph of the current economic policy directive, the Committee might wish to continue the language currently in force which reads as follows (alternative A): ""To implement this policy, System open market operations until the next meeting of the Committee shall be conducted with a view to main- taining the prevailing firm conditions in money and short-term credit markets; provided, however, that operations shall be modified if bank credit appears to be deviating significantly from current projections.""",,,,"(13) If the Committee should decide to move toward slightly less firm money market conditions, it might wish to consider the following second paragraph for the directive (alternative B): ""To implement this policy, System open market operations until the next meeting of the Committee shall be conducted with a view to achieving slightly less firm conditions in money and short-term credit markets; provided, however, that operations shall be modified if bank credit appears to be deviating significantly from current projections.""",,,,No Sentences Alternative C,,,,No Sentences Alternative D,,,,No Sentences Alternative E,
19,1969-12-16,1969-12-16,9.0,No target in FRED,No target in FRED,,,,"Prospective developments (7) For the second paragraph of the current economic policy directive, the Committee may wish to consider the following wording (Alternative A): ""To implement this policy, System open market operations until the next meeting of the Committee shall be conducted with a view to maintaining the prevailing firm conditions in THE money [DEL: and-short term-credit markets; provided, however, that opera- tions shall be modified if bank credit appears to be deviating significantly from current projections or if UNUSUAL LIQUIDITY pressures SHOULD DEVELOP.""",,,,"(15) If current projections for December are realized, the annual rates of increase for key aggregates in the fourth quarter would be as follows (using the midpoint of the December projections): Annual Rates (in percentage points) Total reserves 2.0 Nonborrowed reserves -2.0 Money supply 0.0 Time and savings deposits 0.0 Total member bank deposits 0.5 Total member bank deposits plus nondeposit sources 2.0 Policy alternative (16) If the Committee should decide to move toward slightly less firm money market conditions, it might wish to consider the follow- ing second paragraph for the directive (Alternative B): 'To implement this policy, System open market operations until the next meeting of the Committee shall be conducted with a view to [DEL: maintaining-the prevailing-ACHIEVING SLIGHTLY LESS firm conditions in THE money and-short-term-credit markets;] provided, however, that operations shall be modified if bank credit appears to be deviating significantly from current projections or if UNUSUAL LIQUIDITY pressures SHOULD DEVELOP [DEL: aruse in connection with-possible bank regulatory changes.] -10- (17) The slightly less firm money market conditions might involve Federal funds most frequently around 8-1/2 per cent, member bank borrowings around $1 billion or a little less, and net borrowed reserves fluctuating around $800 million.",,,,No Sentences Alternative C,,,,No Sentences Alternative D,,,,No Sentences Alternative E,
20,1970-01-15,1970-01-15,8.0,No target in FRED,No target in FRED,,,,"- 9.3 - 4.8 0.0 -13.3 1.1 -0.4 1.2 0.2 - 9.4 - 6.2 - 4.3 0.0 2.1 - 0.8 0.8 2.0 Prospective developments (8) If the Committee decides to maintain unchanged conditions in the money market over the next four weeks, it may wish to consider the following second paragraph for the directive (alternative A): To implement this policy, WHILE TAKING ACCOUNT OF THE FORTHCOMING TREASURY REFUNDING, System open market operations until the next meeting of the Committee shall be conducted with a view to maintaining the prevailing firm conditions in the money market; provided, however, that operations shall be modified if bank credit appears to be deviating significantly from current projections [DEL: or if unusual liquidity pressures should develop.] (9) The fluctuations in net borrowed reserves and the Federal funds rate over the past several weeks make it difficult to define prevailing money market conditions.",,,,(14) Policy alternative B.,,,,(17) Policy alternative C.,,,,No Sentences Alternative D,,,,No Sentences Alternative E,
21,1970-02-10,1970-02-10,9.0,No target in FRED,No target in FRED,,,,"Prospective developments (8) If the Committee wishes to maintain an unchanged stance with respect to its views as to monetary aggregates and money market conditions, it may wish to consider the following second paragraph for the directive (alternative A): To implement this policy, while taking account of the CURRENT forthcoming Treasury refunding, possible bank regula- tory change, and the Committee's desire to see a modest growth in money and bank credit, System open market opera- tions until the next meeting of the Committee shall be con- ducted with a view to maintaining firm conditions in the money market; provided, however, that operations shall be modified if money and bank credit appear to be deviating significantly from current projections. Such an easing in money market conditions would likely be accompanied by a sharp drop in short-term interest rates, partly on expectational grounds, with the 3-month Treasury bill rate, for example, moving to and probably somewhat below 7 per cent. (17) Under such conditions, banks might be in a position to regain a substantial amount of CD's, Instead of an attrition running at about the $100-$300 million per month rate likely under alternative A (depending on the degree of firmness achieved under the specifications of that alternative), we would expect banks at least to maintain outstanding CD's at around the current $10 billion level.",,,,"(15) Should the Committee wish to move toward somewhat easier conditions in the money market, concomitant with somewhat stronger growth in the banking and deposit aggregates, it might con- sider the following second paragraph for the directive (alternative B): To implement this policy, while taking account of the CURRENT forthcoming Treasury refunding, possible bank regulatory changes and the Committee's desire to see MODERATE a-modest growth in money and bank credit, System open market operations until the next meeting of the Committee shall be conducted with a view to maintaining firm MOVING TOWARD SOMEWHAT EASIER conditions in the money market; provided, however, that operations shall be modified if money and bank credit appear to be deviating significantly from current projections.",,,,No Sentences Alternative C,,,,No Sentences Alternative D,,,,No Sentences Alternative E,
22,1970-03-10,1970-03-10,7.5,No target in FRED,No target in FRED,,,,"(3) While the staff had expected some gradual improvement in time deposit performance under the less restrictive alternative a opted by the Committee, the improvement developed more rapidly than projected partly because of an earlier and larger decline in bill rates than anticipated. Prospective developments (7) If the Committee wishes to continue on the growth path of monetary aggregates (taken together),and associated money market conditions, that are implicit in the policy stance adopted at the last meeting, it may wish to consider the following second paragraph for the directive (alternative A): To implement this policy, while taking account of [DEL: the current Treasury refundin possibble bank regulatory changes and] the Committee's desire to see moderate growth in money and bank credit over the months ahead, System open market operations until the next meeting of the Committee shall be conducted with a view to MAINTAINING THE SOMEWHAT LESS [DEL: moving gradually toward somewhat less] firm conditions THAT HAVE BEEN ATTAINED in the money market; provided, however, that operations shall be modified promptly to resist any tendency for money and bank credit to deviate significantly from a moderate growth pattern. (17) The anticipated weakness of the economy through the second quarter suggests that it will be difficult to generate much more growth in the money supply than indicated in alternative A without a -11- substantially lower level of interest rates. Mainly because of the rise in time deposits, the adjusted bank credit proxy would also be stronger than under alternative A, rising in an 8-11 per cent annual rate range in March and April together.",,,,"-10- Policy alternative (15) If it is the Committee's desire to encourage somewhat more growth in the monetary aggregates, and to move further toward less firm money market conditions, it may wish to consider the following second paragraph for the directive (alternative B): To implement this policy, while taking account of [DEL: the current Treasury refunding possible bank regulatory changes and] the Committee's desire to see moderate growth in money and bank credit over the months ahead, System open market operations until the next meeting of the Committee shall be conducted with a view to CONTINUING TO MOVE moving gradually toward somewhat less firm condi- tions in the money market; provided, however, that opera- tions shall be modified promptly to resist any tendency for money and bank credit to deviate significantly from THE ANTICIPATED [DEL: a moderate ] growth pattern. (18) Staff guesses as to how the monetary aggregates might develop under alternative B are shown in the table below (with figures representing percentage annual rates of change): First Second Quarter Quarter Money supply 2% 4% Time deposits 1/2 18 Adjusted bank credit proxy 1/2 7 Total reserves -3 1 Table 1 MARGINAL RESERVE MEASURES (Dollar amounts in millions, based on period averages of daily figures) Member Banks Borrowings Period Free Excess R e s e r v e C i t reserves reserves Total Major banks O r Country 8 N.Y. Outside N.Y. ter Monthly (reserves weeks ending in): 1969--January - 477 359 836 131 302 149 253 February - 580 256 836 62 255 215 304 March - 635 202 837 58 233 254 293 April - 844 187 1,031 85 411 260 275 May -1,116 243 1,359 123 346 397 493 June -1,078 277 1,355 57 459 288 550 July -1,045 266 1,311 89 250 364 608 August - 997 214 1,211 81 253 256 621 September - 744 282 1,026 83 236 222 485 October - 995 195 1,190 106 327 293 464 November - 975 238 1,213 120 387 250 456 December - 849 278 1,127 268 310 220 329 1970--January p - 744 184 928 148 292 227 261 February p - 951 175 1,126 106 318 288 414 Weekly: 1969--Sept. 3 - 838 402 1,240 57 286 233 664 10 - 349 391 740 64 39 172 465 17 - 886 132 1,018 128 331 136 423 24 - 901 204 1,105 83 306 328 388 Oct. 1 -1,116 320 1,436 95 531 257 553 8 - 828 139 967 170 112 267 418 15 -1,129 218 1,347 210 396 302 439 22 - 857 158 1,015 -- 275 344 396 29 -1,099 80 1,179 53 322 293 511 Nov. 5 -1,032 296 1,328 121 422 295 490 12 - 873 371 1,244 350 296 189 409 19 - 925 146 1,071 -- 390 260 421 26 -1,072 138 1,210 8 438 260 504 Dec. 3 - 988 203 1,191 266 307 241 379 10 - 903 297 1,200 293 264 264 379 17 - 946 98 1,044 164 296 301 296 24 - 832 264 1,096 296 356 150 292 31 - 576 528 1,104 319 334 153 299 1970--Jan. 7 - 567 285 852 196 327 87 243 14 - 788 77 865 234 281 188 162 21 p - 752 214 966 75 340 297 254 28 p - 870 158 1,028 86 218 339 385 Feb. 4 p -1,078 180 1,258 75 388 311 484 11 p - 922 149 1,071 130 351 269 321 18 p - 888 223 1,111 218 258 249 386 25 p - 918 146 1,064 -- 275 323 466 Mar. 4 p - 694 139 833 32 46 418 337 p - Preliminary.",,,,No Sentences Alternative C,,,,No Sentences Alternative D,,,,No Sentences Alternative E,
23,1970-04-07,1970-04-07,7.5,No target in FRED,No target in FRED,,,,"Prospective developments (7) If the Committee wishes to continue on the policy course adopted at the March meeting, it may want to renew the second paragraph of the directive issued then, with the addition of a reference to the Treasury financing, as follows (alternative A): To implement this policy, the Committee desires to see moderate growth in money and bank credit over the months ahead.",,,,No Sentences Alternative B,,,,No Sentences Alternative C,,,,"Alternative path (15) If the Committee desires to see somewhat more growth in money and bank credit over the months ahead, it may wish to consider the following directive language (alternative E); -11- To implement this policy, the Committee desires to see SOMEWHAT MORE moderate growth in money and bank credit over the months ahead THAN SOUGHT AT THE PRECEDING MEETING.",,,,,
24,1970-05-05,1970-05-05,8.5,No target in FRED,No target in FRED,,,,No Sentences Alternative A,,,,No Sentences Alternative B,,,,No Sentences Alternative C,,,,No Sentences Alternative D,,,,No Sentences Alternative E,
25,1970-05-26,1970-05-26,7.88,No target in FRED,No target in FRED,,,,"10- Alternative (12) Should the Committee--for example, because it wishes to accommodate what appears to be increased liquidity demands in the economy--wish to move onto a path that allows for somewhat greater rates of growth in the monetary aggregates than Alternative A, the following language for the second paragraph might be considered: To implement this policy, the Committee desires to see [DEL: moderate] SOMEWHAT GREATER growth in money and bank credit over the months ahead THAN PREVIOUSLY SOUGHT.",,,,No Sentences Alternative B,,,,No Sentences Alternative C,,,,No Sentences Alternative D,,,,No Sentences Alternative E,
26,1970-06-23,1970-06-23,7.75,No target in FRED,No target in FRED,,,,"Alternative A (11) If the Committee desires to continue for the time being primary emphasis on financial market conditions over monetary aggregates, it may wish to consider renewal of the directive language adopted at the last meeting, with the following minor changes: ""To implement this policy, in view of PERSISTING [DEL: current] market uncertainties and liquidity strains, open market operations until the next meeting of the Committee shall CONTINUE TO be conducted with a view to moderating pressures on financial markets, while, to the extent compatible there- with, maintaining bank reserves and money market conditions consistent with the Committee's longer-run objective of moderate growth in money and bank credit."" In these circumstances, the 3-month Treasury bill rate could also be expected to range somewhat higher than under Alternative A, perhaps between 6.60 and 7.10 per cent. Months June July August Septemb -13- (19) Growth in the adjusted credit proxy consistent with 4 per cent money growth and the money market conditions specified above is pro- jected at an annual rate averaging 5-1/2 per cent during the third quarter. The table also shows the projected weekly path associated with Alternative A. Weekly Path for Monetary Aggregates (Daily average levels, seasonally adjusted in billions of dollars) Adjusted Credit Proxy Money Supply Tctal Reserves l/ 2/ Week ending Alt.",,,,"Alternative B (17) If the Committee wishes to return to its earlier emphasis on moderate growth in the monetary aggregates as the primary operating -11- target for open market policy, it may wish to adopt a directive with the following language: ""To implement this policy, [DEL: in view of current market uncertainties and liquidity strains,] THE COMMITTEE SEEKS TO PROMOTE MODERATE GROWTH IN MONEY AND BANK CREDIT OVER THE MONTHS AHEAD. However, some possibility exists that the changes in short-term market interest rates required under Alternative B or C could be large enough to have appreciable effects on market expectations about the course of interest rates. On the other hand, given the still sensitive state of securities markets, the adoption of Alternative B, involving a marginal firming in money markets, might lead to some stiffening of market interest rates and renewed apprehensions about financial conditions.",,,,"-14- Alternative C (21) If the Committee believes that the somewhat weaker economic projection calls for a moderately more stimulative monetary policy, defined in terms of expansion rates for money, it may wish to consider the following alternative language: ""To implement this policy, [DEL: in view of current market uncertainties and liquidity strains,] THE COMMITTEE SEEKS TO PROMOTE SOMEWHAT GREATER GROWTH IN MONEY AND BANK CREDIT OVER THE MONTHS AHEAD THAN IN THE FIRST HALF OF THIS YEAR, SYSTEM open market operations until the next meeting of the Committee shall be conducted with a view to [DEL: moderating pressures on financial markets; while; to the extent compatible therewith; maintaining bank reserves and money market conditions consistent with the committee's longer run] THAT objective of-moderate-growth [DEL: in money and bank credit;] PROVIDED, HOWEVER, THAT OPERATIONS SHALL BE MODIFIED AS NEEDED TO COUNTER EXCESSIVE PRESSURES IN FINANCIAL MARKETS, SHOULD THEY DEVELOP."" Thus, the adoption of Alternative C might lead to a decline in short-term market rates sufficient to make large CD's marginally competitive again.",,,,No Sentences Alternative D,,,,No Sentences Alternative E,
27,1970-07-21,1970-07-21,7.13,No target in FRED,No target in FRED,,,,"(7) Of the two alternatives shown below for the second paragraph, alternative A calls for continuing the same degree of con- cern with financial markets as the previous two directives. Alternative A ""To implement this policy, in view of persisting market uncertainties and [DEL: liquidity strains] TAKING ACCOUNT OF THE FORTHCOMING TREASURY FINANCING, open market operations until the next meeting of the Committee shall continue to be con- ducted with a view to moderating pressures on financial markets. This set can be considered as consistent with either alternative A or B since, so far as the staff can judge now, money market conditions similar to those recently pre- vailing might be accompanied by a moderate growth in the money supply and no strong upward pressure on interest rates. Under alternative B, the Desk would be freer to react--though equally subject to ""even-keel"" considerations as in alternative A--should the aggregates be deviating from the indicated path, or from whatever modification of it the Committee may wish to make.",,,,"Alternative B ""To implement this policy, [DEL: in view of persisting market uncertainties and liquidity strains;] THE COMMITTEE SEEKS TO PROMOTE MODERATE GROWTH IN MONEY AND BANK CREDIT OVER THE MONTHS AHEAD, ALLOWING FOR A POSSIBLE CONTINUED SHIFT OF CREDIT FLOWS FROM MARKET TO BANKING CHANNELS. Under alternative B, the Desk would be freer to react--though equally subject to ""even-keel"" considerations as in alternative A--should the aggregates be deviating from the indicated path, or from whatever modification of it the Committee may wish to make.",,,,No Sentences Alternative C,,,,No Sentences Alternative D,,,,No Sentences Alternative E,
28,1970-08-18,1970-08-18,6.63,No target in FRED,No target in FRED,,,,"Prospective developments (8) If the Committee wishes to continue with a policy that encompasses financial flows and credit conditions consistent with a 5 per cent trend rate of growth for the money supply, the following language for the second paragraph of the directive may be considered (alternative A): To implement this policy, [DEL: while taking account of persisting market uncertainties; liquidity strains; and the forthcoming Treasury financing;] the Committee seeks to promote moderate growth in money and bank credit over the months ahead, WHILE TAKING ACCOUNT OF PERSISTING LIQUIDITY PROBLEMS AND allowing [DEL: for a possible] BANK CREDIT GROWTH TO REFLECT A continued shift of credit flows from market to banking channels. Nevertheless, with market rates reduced, total time deposits would be expected to grow somewhat more rapidly than under alternative A.",,,,No Sentences Alternative B,,,,No Sentences Alternative C,,,,No Sentences Alternative D,,,,No Sentences Alternative E,
29,1970-09-15,1970-09-15,6.38,No target in FRED,No target in FRED,,,,"1/ Alternative A path of previous Blue Book consistent wich a 5 per cent annual rate of growth in money stock for third quarter. Prospective developments (8) If the Committee wishes to continue with a policy that encompasses financial flows and credit conditions consistent with a 5 per cent rate of growth for the money supply, the following language for the second paragraph of the directive might be considered (alternative A): To implement this policy, the Committee seeks to promote [DEL:some easing of conditions in credit markets and somewhat greater MODERATE growth in money over the months ahead than occurred in the second quarter, while taking account of possible liquidity problems and allowing bank credit growth to reflect BANK EFFORTS TO REBUILD LIQUIDITY AND any continued shift of credit flows from market to banking channels. (17) Attainment of the more rapid growth in the money supply indicated in the above tables would require a more pronounced easing of money market conditions than under Alternative A. (18) The adjusted credit proxy is expected to grow some- what more rapidly, along with the more rapid growth in money supply, as compared with alternative A. Money supply growth is not expected to become more rapid until October, although the exact lags over the near- term in public and bank responses to monetary policy changes are con- jectural. (19) Weekly figures for monetary aggregates over the period between now and the next meeting are shown in the table below (with the money supply figures linked to the published series as under alternative A).",,,,"-11- Alternative B (14) Should the Committee desire to seek a 6 per cent growth rate for the money supply over the fourth quarter and a significant easing in credit market conditions, it may wish to consider the following language for the second paragraph of the directive (alternative B): To implement this policy, the Committee seeks to promote some FURTHER easing of conditions in credit markets and somewhat greater growth in money over the months ahead than occurred in the first half of the year, while taking account of possible liquidity problems and allowing bank credit growth to reflect BANK EFFORTS TO REBUILD LIQUIDITY AND any continued shift of credit flows from market to banking channels.",,,,No Sentences Alternative C,,,,No Sentences Alternative D,,,,No Sentences Alternative E,
30,1970-10-20,1970-10-20,6.13,No target in FRED,No target in FRED,,,,1/ Alternative A path of previous Blue Book.,,,,No Sentences Alternative B,,,,No Sentences Alternative C,,,,No Sentences Alternative D,,,,No Sentences Alternative E,
31,1970-11-17,1970-11-17,5.75,No target in FRED,No target in FRED,,,,"Recent Paths of Key Monetary Aggregates (Seasonally adjusted, billions of dollars) 2/Adjusted Credit Proxy Mone Supply / Indicated at Actual Indicated at Actual Last Meetingi/ Results Last Meetingi Results 1970 Month September October Week ending October 14 21 28 November 4 11 324.5 326.4 324.5 324.7 324.4 323.9 325.7 324.3 329.1 324.9 329.1 325.5 329.6 326.3 % Annual Ratesof Change 210.8 211.6 210.7 210.8 210.2 210.0 212.4 212.1 212.2 209.6 211.4 210.0 212.6 210.4 % Annual Rates of Change Third Quarter 17.2 17.2 5.0 4 (Sept. over June) October over September 7.0 0.7 4.5 0, 1/ Alternative A path of previous Blue Book. Two broad alternatives are discussed in the next two subsections: one (alternative A) calls for maintaining the target for money growth for the fourth and first quarters taken together at a 5 per cent annual rate; the other (alternative B) calls for a higher average rate of growth over that time span. Policy alternative A. (12) If the Committee wishes to stay on a 5 per cent growth path for the money supply, but is wiling to -10- permit some shortfall in the fourth quarter which would be made up in the first quarter, it might consider the following language for the second paragraph of the directive: ""To implement this policy, the Committee seeks to promote some easing of conditions in credit markets and moderate growth in money and attendant bank credit expan- sion over the months ahead, WITH ALLOWANCE FOR TEMPORARY SHIFTS IN MONEY AND CREDIT DEMANDS RELATED TO THE AUTO STRIKE. Policy alternative B. (16) This alternative is presented in the event that the Committee may wish to consider a more aggressive easing in the money market than under alternative A in order to increase the likelihood of moving closer to a 5 per cent money growth rate (and around 6 per cent bank credit) in the fourth quarter, partly as a way station to moving on to a 6 - 7 per cent growth path for money for the fourth and first quarters taken together.",,,,"Two broad alternatives are discussed in the next two subsections: one (alternative A) calls for maintaining the target for money growth for the fourth and first quarters taken together at a 5 per cent annual rate; the other (alternative B) calls for a higher average rate of growth over that time span. Policy alternative B. (16) This alternative is presented in the event that the Committee may wish to consider a more aggressive easing in the money market than under alternative A in order to increase the likelihood of moving closer to a 5 per cent money growth rate (and around 6 per cent bank credit) in the fourth quarter, partly as a way station to moving on to a 6 - 7 per cent growth path for money for the fourth and first quarters taken together. (20) The table below shows monthly patterns of monetary aggregates consistent with alternative B. -16- Selected Monetary Aggregates, Monthly ($ billion, seasonally adjusted--% annual rates of change in parentheses) Adjusted Money Supply Adjusted Bank Credit Proxy September, 1970 October November December, 1970 March, 1971 Fourth quarter (Dec. over Sept.) First quarter (March over Dec.) 210.",,,,No Sentences Alternative C,,,,No Sentences Alternative D,,,,No Sentences Alternative E,
32,1970-12-15,1970-12-15,5.25,No target in FRED,No target in FRED,,,,"1- 4.5 % Annual Rates of Change 17.2 0.7 6.0 17.2 Actual Results 324.5 324.8 326.9 326.0 326.7 327.8 328.3 331.0 1/ Alternative A path of previous Blue Book, levels and rates of growth for the money supply have been converted to a revised basis. Alternative A involves a 5 per cent money growth rate; alternative B, 6 per cent; and alternative C, 7 per cent. Under alternative A, such growth is projected to be a little less in the first quarter than in the fourth, but under alterna- tives B and C, time deposits are assumed to grow somewhat more rapidly because market interest rates would be relatively lower. Annual rates of increase in money supply Federal funds rate 4th Qtr. 1st Qtr. Alternative A 5--5-1/2 5% 5% B 4-5/8--5-1/8 5% 67. (11) In the case of alternative A, the Federal funds range is wide enough to allow for some tightening from recent levels. (15) Alternative A.",,,,"Alternative A involves a 5 per cent money growth rate; alternative B, 6 per cent; and alternative C, 7 per cent. (17) Alternative B.",,,,"Alternative A involves a 5 per cent money growth rate; alternative B, 6 per cent; and alternative C, 7 per cent. Under alternative C, declining market interest rates would very likely encourage some further shift away from Euro-dollar borrow- ings absent additional Board action. (8) Alternative C.",,,,(19) Alternative D.,,,,No Sentences Alternative E,
