start_date,end_date,Header1,Header2,Header3,Header4,Header5,Header6,Header7,Header8,Header9,Header10,Header11
1969-06-24,1969-06-24,"MONEY MARKET AND RESERVE RELATIONSHIPS
Recent developments","Any
subsequent curtailment of the contribution of overnight Euro-dollars
to cash items later would lead to an overstatement of money supply
Prospective developments","After
allowing for the normal seasonal decline in June and rebuilding in
July, however, attrition in the two months would not be materially","Moreover,
much of the expected increase in money supply reflects short-run shifts
out of Government deposits and would appear to be transitory, in view
of the attractiveness of market securities at current interest rate",,,,,,,
1969-07-15,1969-07-15,"MONEY MARKET AND RESERVE RELATIONSHIPS
Recent Developments",,,,,,,,,,
1969-08-12,1969-08-12,"MONEY MARKET AND RESERVE RELATIONSHIPS
Recent developments","These
attitudes, however, will be importantly influenced by dealer financing
costs, which have recently risen, as well as by the fundamental economic","A Policy Alternative",,,,,,,,
1969-09-09,1969-09-09,"",,,,,,,,,,
1969-10-07,1969-10-07,"MONEY MARKET AND RESERVE RELATIONSHIPS
Recent developments","Policy alternative",,,,,,,,,
1969-10-28,1969-10-28,"MONEY MARKET AND RESERVE RELATIONSHIPS
Recent developments","Prospective developments","This language is the same as that of the directive issued on October","Policy alternative",,,,,,,
1969-11-25,1969-11-25,"Over the fourth quarter as a whole money supply may grow in a",,,,,,,,,,
1969-12-16,1969-12-16,"MONEY MARKET AND RESERVE RELATIONSHIPS
Recent developments","And the December projection, as will be noted in the
section on prospective developments, has also been revised in a weaker","Nondeposit sources of funds in November added about",,,,,,,,
1970-01-15,1970-01-15,"MONEY MARKET AND RESERVE RELATIONSHIPS
Recent developments","If the Committee wished to encourage a larger
expansion in outstanding bank credit, this would appear to require
a rise in Regulation Q ceilings or a large drop in market interest","If projections of the
interrelation between the monetary aggregates and money market con-
ditions are accurate, a further modest lessening of restraint in
money market conditions would appear to be required as the quarter",,,,,,,,
1970-02-10,1970-02-10,"MONEY MARKET AND RESERVE RELATIONSHIPS
Recent developments","Prospective developments",,,,,,,,,
1970-03-10,1970-03-10,"CONFIDENTIAL (FR)
MONEY MARKET AND RESERVE RELATIONSHIPS
Recent developments","Prospective developments",,,,,,,,,
1970-04-07,1970-04-07,"MONEY MARKET AND RESERVE RELATIONSHIPS
Recent developments","Prospective developments","Alternative path",,,,,,,,
1970-05-05,1970-05-05,"Prospective Developments",,,,,,,,,,
1970-05-26,1970-05-26,"MONETARY AGGREGATES AND
MONEY MARKET CONDITIONS
Recent Developments",,,,,,,,,,
1970-06-23,1970-06-23,"June
over
December
(Proj.)
n. a.
n. a.
June
over
May
(Proj.)
n. a.
Prospective Developments","Alternative A","Alternative B","A
Alternative C",,,,,,,
1970-07-21,1970-07-21,"MONETARY AGGREGATES AND
MONEY MARKET CONDITIONS
Recent developments","Also, investors
are behaving quite selectively in regard to the quality of bond issues,
and spreads between the highest rated and lower rated issues have","Growth of Monetary Aggregates
(Daily averages, seasonally adjusted)
Adjusted Credit Proxy Money Supply Total Reserves
Annual Rate Annual Rate Asam l Rate
Months Levels of Change Levels of Change Levels of Change",,,,,,,,
1970-08-18,1970-08-18,"CONFIDENTIAL (FR)
MONETARY AGGREGATES AND
MONEY MARKET CONDITIONS
Recent developments","Nevertheless, as reported in
the Greenbook, total outstanding commercial and finance paper continued to
decline in July, a month in which seasonal factors would imply a sizable","Total
Reserves",,,,,,,,
1970-09-15,1970-09-15,"MONETARY AGGREGATES AND
MONEY MARKET CONDITIONS
Recent developments","Alternative B",,,,,,,,,
1970-10-20,1970-10-20,"MONETARY AGGREGATES AND
MONEY MARKET CONDITIONS
Recent developments","Actual
Results",,,,,,,,,
1970-11-17,1970-11-17,"MONETARY AGGREGATES AND
MONEY MARKET CONDITIONS
Recent developments","Bond markets have rallied in the last two weeks, bringing
yields somewhat below those prevailing around the time of the last FOMC","Prospective developments","Money Supply Bank Credit
Total Reserves
_ _~~ ___ __ ______",,,,,,,
1970-12-15,1970-12-15,"Last Meetin -
Third Quarter
(Sept. over June)
October over Sept.
November over
October
% Annual Rates of Change
Actual
Results","Possible directive language",,,,,,,,,
1971-01-12,1971-01-12,"MONETARY AGGREGATES
AND
MONEY MARKET CONDITIONS
Prepared for the Federal Open Market Committee
By the Staff
BOARD OF GOVERNORS OF THE FEDERAL RESERVE SYSTEM
CONFIDENTIAL (FR)
MONETARY AGGREGATES AND
MONEY MARKET CONDITIONS
Recent developments","C
Per cent
Annual Rates of Growth",,,,,,,,,
1971-02-09,1971-02-09,"MONETARY AGGERGATES AND
MONEY MARKET CONDITIONS
Recent developments","Possible directive language",,,,,,,,,
1971-03-09,1971-03-09,"Recent Rates of Growth in Key Monetary Aggregates
(Per cent Annual Rates of Change)
January February
Bluebook Bluebook Latest
Path Actual Path Fstim;tes","Thereafter, although
fluctuating rather widely from day-to-day, the funds rate averaged just under
the net reserve position of banks has been only slightly negative on average, and
average borrowings have been minimal (after allowance for special emergency","Prospective developments","Total
Reserves
Possible directive language",,,,,,,
1971-04-06,1971-04-06,"C
Per Cent Annual Rates of Growth
March
April
May
June
March
April
May
June","C",,,,,,,,,
1971-05-11,1971-05-11,"The relatively rapid growth expected for May-June
reflects in the main the lagged effect of earlier interest rate declines as
well as further upward revision made in light of the unexpected strength in","Possible directive language",,,,,,,,,
1971-06-08,1971-06-08,"But most recently, the","Possible directive language",,,,,,,,,
1971-06-29,1971-06-29,"MONETARY AGGREGATES
AND
MONEY MARKET CONDITIONS
Prepared for the Federal Open Market Committee
By the Staff
BOARD OF GOVERNORS OF THE FEDERAL RESERVE SYSTEM
CONFIDENTIAL (FR)
MONETARY AGGREGATES AND
MONEY MARKET CONDITIONS
Recent developments","Prospective developments","C
Per Cent Annual Rates of Growth
June
July
August
September","Possible directive language",,,,,,,
1971-07-27,1971-07-27,"MONETARY AGGREGATES
AND
MONEY MARKET CONDITIONS
Prepared for the Federal Open Market Committee
By the Staff
BOARD OF GOVERNORS OF THE FEDERAL RESERVE SYSTEM
CONFIDENTIAL (FR)
MONETARY AGGREGATES AND
MONEY MARKET CONDITIONS
Recent Developments","B
Per Cent Annual Rates of Growth
July
August
September
July
August
September
December
July
August
September
December","Possible directive language",,,,,,,,
1971-08-24,1971-08-24,"CONFIDENTIAL (FR)
MONETARY AGGREGATES AND
MONEY MARKET CONDITIONS
Recent developments","Prospective developments","If
the decline in borrowings needed to achieve the alternative B paths is some-
what overstated, the growth in nonborrowed reserve could be commensurately
Possible directive language",,,,,,,,
1971-09-21,1971-09-21,"MONETARY AGGREGATES AND
MONEY MARKET CONDITIONS
Recent developments","Recent Interest Rates
on Market Securities
Rate Levels (Per cent per annum)
August Subsequent September","Prospective developments","C
Per Cent Annual Rates of Growth","Possible directive language",,,,,,
1971-10-19,1971-10-19,"MONETARY AGGREGATES AND
MONEY MARKET CONDITIONS
Recent developments","Prospective developments","Possible directive language",,,,,,,,
1971-11-16,1971-11-16,"MONETARY AGGREGATES AND
MONEY MARKET CONDITIONS
Recent developments","Possible directive language",,,,,,,,,
1971-12-14,1971-12-14,"It should be remembered that we have not worked into the monthly
or weekly figures any allowance for reflows arising from an international","Possible directive language",,,,,,,,,
1972-01-11,1972-01-11,"Proposed directives",,,,,,,,,,
1972-02-15,1972-02-15,"Prospective relationships among aggregates and interest rates","Proposed directive","To provide a possible quantitative
interpretation of these adjectives, they are numbered I, II, and III to
correspond with the three aggregate patterns described in the preceding","The latter deletion is suggested on the assumption that the Committee
will no longer consider it necessary to make explicit provision for the
contingency that sudden large reflows from abroad will pose major problems
for open market operations, given the passage of time since the Smithsonian
agreement and the absence to date of market churning as a consequence of",,,,,,,
1972-03-21,1972-03-21,"Prospective developments",,,,,,,,,,
1972-04-18,1972-04-18,"Prospective developments","However, as market rates rise, especially under pattern
II, major money market banks can be expected to raise interest rates offer-
ed on time deposits, both large and small, to keep deposit inflows from
slowing markedly further in what appears to be a period of developing loan
Proposed directive",,,,,,,,,
1972-05-23,1972-05-23,"Prospective developments","Expectations might not
change to any significant degree under alternative A but would shift more
markedly if short-term market conditions move into the ranges associated
with B and C.
Proposed directive",,,,,,,,,
1972-06-19,1972-06-20,"Prospective developments","C
Per Cent Annual Rates of Growth
to support private nonbank deposits.I/ Reserves available","Proposed directive",,,,,,,,
1972-07-18,1972-07-18,"Some of this may be invested in Treasury
specials; some may be accommodated through sales of bills from the
Exchange Stabilization Fund; and some may have to be purchased in the","Prospective developments","Proposed directive",,,,,,,,
1972-08-15,1972-08-15,"C","Proposed directives",,,,,,,,,
1972-09-19,1972-09-19,"In other markets,
changes have been more moderate, with increases in short rates ranging up to","Prospective developments","There may also be money market churning, and perhaps
more volatility in member bank borrowings, if inflows and outflows of
reserve funds differ from bank expectations in the initial stages of the new","Upward market rate adjustments would, of course, be quite sharp under
alternative D.
Prooosed directives",,,,,,,
1972-10-17,1972-10-17,"Prospective developments","Proposed directives",,,,,,,,,
1972-11-20,1972-11-21,"Although deferral of these payments substantially reduced early November drains
on its cash balances, the Treasury still raised new money at mid-month and
scheduled an additional cash borrowing for payment right after Thanksgiving
in order to spread out its fourth quarter financings and minimize their market","Proposed directives",,,,,,,,,
1972-12-19,1972-12-19,"C","Proposed directives",,,,,,,,,
1973-01-16,1973-01-16,"Prospective developments","However, as borrowings continue large,many banks will wear
out their welcome at the window and this will add further to pressure on
open market rates and on banks to restrict acquisitions of loans and","Proposed directives",,,,,,,,
1973-02-13,1973-02-13,"The
roll-back of the prime rate increase at three banks in response to CID
inquiries, and the abandonment of its rate formula:by the last of the
""floating"" banks, helped to moderate upward rate pressures in these","Proposed directive",,,,,,,,,
1973-03-19,1973-03-20,"Proposed directives",,,,,,,,,,
1973-04-17,1973-04-17,"If the Committee were to choose
alternative A or C, but limit the downward or upward movement of the
funds rate to smaller dimensions than indicated, it would, of course,
extend the period needed to achieve the aggregate objectives of either
Proposed directive",,,,,,,,,,
1973-05-15,1973-05-15,"Given the low growth rates for the aggre-
gates expected for the third quarter under this alternative, the Committee may
find it necessary to ease money market conditions in the course of summer
if it desires to stay on the longer-run growth paths of alternative C
Proposed directive",,,,,,,,,,
1973-06-18,1973-06-19,"Prospective developments","On balance, taking all deposit
flows into account, growth in the bank credit proxy is expected to slow
further in the second half of the year under all three alternatives, with
the slowing greatest under alternative C.
Proposed directive",,,,,,,,,
1973-07-17,1973-07-17,"Of course, it market participants should come
to believe in a strong Phase IV control program or the probability of
vigorous fiscal action, the outlook for interest rates would be modified
Proposed directive",,,,,,,,,,
1973-08-21,1973-08-21,"Prospective developments","In addition,
the funds rate ranges associated with the three alternatives have also been
raised somewhat, reflecting in part the upward revisions in projected nominal","However, such a one-
time stock adjustment is likely to be short-lived in its effects on cash
balances mainly held for transactions purposes or for normal financial market","Proposed directive",,,,,,,
1973-09-18,1973-09-18,"Proposed directive language",,,,,,,,,,
1973-10-16,1973-10-16,"Prospective developments","Proposed directive language",,,,,,,,,
1973-11-19,1973-11-20,"C","Proposed directive",,,,,,,,,
1973-12-17,1973-12-18,"C","Proposed directive language",,,,,,,,,
1974-01-21,1974-01-22,"Proposed directive language",,,,,,,,,,
1974-02-20,1974-02-20,"Prospective developments","C","This
would be expected to lower transactions demands for money and therefore
to reduce the interest rates associated with a given growth in the money","Proposed directive",,,,,,,
1974-03-18,1974-03-19,"C
Alternative Lonzer-Run Tareets _ ___ ____","There could well be significant feedback effects on GNP
of such developments by late summer, though more particularly by the fourth","Proposed directive language",,,,,,,,
1974-04-15,1974-04-16,"Current
Projection","C","Proposed directive language",,,,,,,,
1974-05-21,1974-05-21,"The mortgage market would come under great
pressure and some nonfinancial businesses would encounter serious liquidity",,,,,,,,,,
1974-06-18,1974-06-18,"Prospective developments","C","The increase in bond yields, at least on the highest quality issues, would
be moderated, however, to the extent that evidence of monetary restraint
tends to make investors somewhat less pessimistic about the outlook for",,,,,,,,
1974-07-16,1974-07-16,"Proposed directive language",,,,,,,,,,
1974-08-20,1974-08-20,"Proposed directive",,,,,,,,,,
1974-09-10,1974-09-10,"Mortgage rates
continued to rise, as deposit inflows to thrift institutions were severely",,,,,,,,,,
1974-10-14,1974-10-15,"Proposed directive language",,,,,,,,,,
1974-11-19,1974-11-19,"Prospective developments","Proposed directive",,,,,,,,,
1974-12-16,1974-12-17,"Prospective developments","Proposed directive",,,,,,,,,
1975-01-20,1975-01-21,"Proposed directive",,,,,,,,,,
1975-02-19,1975-02-19,"Longer-term rates may
show rather modest further declines, however, since corporate and state
and local government demands on bond markets are expected to remain","Proposed directive",,,,,,,,,
1975-03-18,1975-03-18,"Proposed directive",,,,,,,,,,
1975-04-14,1975-04-15,"Proposed directive",,,,,,,,,,
1975-05-20,1975-05-20,"Prospective developments","Proposed directive",,,,,,,,,
1975-06-16,1975-06-17,"With loan
demands weak, banks have continued to run off large CD's and have
allocated the bulk of their net deposit growth to investments in Treasury","In the statement week ending June, the funds rate did average about","Prospective developments","Proposed directive",,,,,,,
1975-07-15,1975-07-15,"Prospective developments","The Treasury
will be adding substantial amounts to weekly and monthly bill auctions,
but private short-term credit demands still appear weak enough so that
Treasury bills can probably be readily marketed to banks and other","Later this fall reduced inflows might
be expected to exert more pronounced pressures on banks to raise
additional funds in the CD market and on thrift institutions to borrow
from Home Loan Banks and commercial banks under either alternatives B
or C.
Proposed directive",,,,,,,,
1975-08-19,1975-08-19,"The bank credit
proxy is expected to remain quite weak, since banks are unlikely
to become aggressive in seeking funds through issuance of CD's
and non-deposit liabilities until business loan demand strengthens","Proposed directive",,,,,,,,,
1975-09-16,1975-09-16,"Prospective developments","Pressures on such flows would be intensified later in the fall and early
next year, when further increases in the Federal funds rate would be",,,,,,,,,
1975-10-21,1975-10-21,"Prospective developments","However, over the longer-run, with
upward interest rate pressures still anticipated, the staff believes that
institutional savings flows will come under renewed pressure, and we have
assumed an increase in Regulation Q ceilings in the first quarter of next",,,,,,,,,
1975-11-18,1975-11-18,"These banks
also relied less than they usually do on purchases of Federal funds during
the past month and generally have lengthened the maturities of their managed","Prospective developments","Proposed directive",,,,,,,,
1975-12-16,1975-12-16,"Prospective developments","Proposed directive",,,,,,,,,
1976-01-20,1976-01-20,"Prospective developments","Proposed directive",,,,,,,,,
1976-02-17,1976-02-18,"Past Past
Prospective developments","Proposed directive",,,,,,,,,
1976-03-15,1976-03-16,"Prospective developments","Proposed directive",,,,,,,,,
1976-04-20,1976-04-20,"Prospective developments","Proposed directive",,,,,,,,,
1976-05-18,1976-05-18,"Rates in the
secondary mortgage market have increased along with yields in other sectors
of the credit markets; however, primary mortgage rates have only halted
their downward trend as deposit growth continued strong at nonbank thrift","Prospective developments","Proposed directive",,,,,,,,
1976-06-22,1976-06-22,"Net acquisitions of
mortgages by savings and loan associations remained at a relatively high
level in April, and loan commitments increased to their highest level in","Prospective developments","Proposed directive",,,,,,,,
1976-07-19,1976-07-20,"Prospective developments","Under alternative A, inflows of other deposits should reduce the
need for banks to rely on such sources of funds over the balance of the
Proposed directive",,,,,,,,,
1976-08-17,1976-08-17,"Proposed directive",,,,,,,,,,
1976-09-21,1976-09-21,"Deposit inflows at nonbank thrift institutions also picked up in
August, and this higher rate of growth appears to have continued in early
Growth in Monetary Aggregates
over August-September Period
(SAAR in per cent)
Memo:
Federal funds rate
(per cent per annum)
Latest Estimates
Avg. for statement
week ending","Moreover, much of the growth in deposits has occurred
in categories--such as savings deposits--with relatively low reserve","Issues of state and local government securities
remained relatively large, and the U.S. Treasury raised a substantial
additional volume of new money through sales of intermediate-term coupon","Prospective developments","Proposed directive",,,,,,
1976-10-19,1976-10-19,"The Desk
responded by gradually lowering its Federal funds rate objective to the","Proposed directive",,,,,,,,,
1976-11-16,1976-11-16,"In the following week, with additional data suggesting
continued strength in the aggregates, the Chairman advised the Desk that
an increase in the funds rate would be inconsistent with the Committee's","Proposed directive",,,,,,,,,
1976-12-20,1976-12-21,"Prospective developments","Proposed directive",,,,,,,,,
1977-01-17,1977-01-18,"Offering rates reportedly have been cut,
and longer-term certificates are apparently not being offered by some","Proposed directive",,,,,,,,,
1977-02-15,1977-02-15,"Proposed directive",,,,,,,,,,
1977-03-15,1977-03-15,"The tightening of the
money market under alternative C would introduce monetary restraint earlier
in the year and hence would require less of a rise in interest rates by
year-end than either alternative A or B.
Directive language",,,,,,,,,,
1977-04-19,1977-04-19,"The increase in rates
would probably be moderate, though, with the funds rate rising to about","Directive language",,,,,,,,,
1977-05-17,1977-05-17,"Still, growth in the weeks ahead
is likely to be slower than the pace during the first quarter in view
of the higher level of short- and intermediate-term market rates now","In bond markets, rates may show some increase, but
these increases may be limited by the continued large volume of
institutional funds seeking long-term outlets and by any effect that
a tightening of the money market may have in dampening inflationary","Directive language",,,,,,,,
1977-06-21,1977-06-21,"Yields on primary mortgages, on the other hand, have changed","Prospective developments",,,,,,,,,
1977-07-19,1977-07-19,"They could, however,
lose some funds to thrift institutions, which can offer somewhat higher","But assuming that incoming economic news does not
cast doubt on the fundamental strength of the economy, interest rate declines
may be limited over the next month or so as corporations and State and local
governments increase market borrowing in anticipation of higher interest
rates later on and as the market focuses on the Treasury's large fall cash","Meanwhile, however, for most of the one-year period ahead, short-
term rates would have been lower than under alternative B, with consequent
relatively easier credit and liquidity conditions at banks and other
Directive language",,,,,,,,
1977-08-16,1977-08-16,"Business
loans also posted a further advance during the month, but the
increase was significantly below the average monthly gain of the second","Also, while issuance of publicly-offered corporate bonds picked
up a bit in July, the volume coming to market in August has declined",,,,,,,,,
1977-09-20,1977-09-20,"",,,,,,,,,,
1977-10-17,1977-10-18,"Directive language",,,,,,,,,,
1977-11-15,1977-11-15,"Directive language",,,,,,,,,,
1977-12-19,1977-12-20,"Directive language",,,,,,,,,,
1978-01-17,1978-01-17,"Prospective developments","The staff would expect the funds rate under this alternative to average","The delayed rise in short-
term rates would postpone the need for a change in deposit rate
Directive language",,,,,,,,
1978-02-28,1978-02-28,"C","C","Both
primary and secondary mortgage rates will probably continue to be under
upward pressure, given the slowing of deposit growth at the thrift","Directive language",,,,,,,
1978-03-21,1978-03-21,"Indeed, as noted earlier,
interest rates would soon need to begin rising in order to restrain
growth in the aggregates to the mid-point of their longer-run ranges,
and by autumn would have to reach levels higher than under alternatives
B and C.
Directive language",,,,,,,,,,
1978-04-18,1978-04-18,"C Current","C","Directive language",,,,,,,,
1978-05-16,1978-05-16,"As the year progresses, therefore, the ability and willingness of
these institutions to meet credit demands can be expected to decline
Directive language",,,,,,,,,,
1978-06-20,1978-06-20,"Directive language",,,,,,,,,,
1978-07-18,1978-07-18,"At the same time, the higher short-term rates would
tend to provide support for the dollar in international exchange","Directive language",,,,,,,,,
1978-08-15,1978-08-15,"Federal funds rate projections
through the second quarter of next year are shown in appendix I.
Directive language",,,,,,,,,,
1978-09-19,1978-09-19,"Yields on new conventional mortgages have edged a bit lower in recent","Demands
for short-term funds from sponsored agencies should moderate somewhat
in the weeks ahead from their strong summer pace,in view of the recent
strength in thrift deposit flows, and the Treasury will probably not
tap the bill market for new money until the latter part of the fourth","Directive language",,,,,,,,
1978-10-17,1978-10-17,"Directive language",,,,,,,,,,
1978-11-21,1978-11-21,"Directive language",,,,,,,,,,
1978-12-19,1978-12-19,"Directive language",,,,,,,,,,
1979-02-06,1979-02-06,"Prospective developments: short-run","With some moderation in total
thrift deposit inflows, and a continuing shift in the deposit mix
at thrifts toward high cost MMC's, mortgage markets conditions
are expected to tighten somewhat further in the intermeeting","Directive language",,,,,,,,
1979-03-20,1979-03-20,"The dollar may well continue
to trade around current levels in the exchange markets over the next few
weeks, accompanied by continuation of some central bank net sales of","A tightening action at this time,
while widely discussed by financial market participants in recent weeks,
does not appear to have been fully discounted, and thus market interest
rates would be expected to move up rather significantly in both long-
and short-term markets, with the increases greatest in the short-term","Directive language",,,,,,,,
1979-04-17,1979-04-17,"Prospective developments","Directive language",,,,,,,,,
1979-05-22,1979-05-22,"Prospective developments","Directive language",,,,,,,,,
1979-07-11,1979-07-11,"Prospective developments: long-run","Prospective developments: short-run","Directive language",,,,,,,,
1979-08-14,1979-08-14,"Prospective developments","Thrift deposit flows would benefit
from the decline in market rates, especially if bill yields fell enough
to reopen a ceiling rate differential, and mortgage rates might edge",,,,,,,,,
1979-09-18,1979-09-18,"Prospective developments","Directive language",,,,,,,,,
1979-11-20,1979-11-20,"Prospective developments","Directive language",,,,,,,,,
1980-01-08,1980-01-09,"Alternative longer-run targets and strategy","Policy alternatives for the short-run","Directive language",,,,,,,,
1980-02-04,1980-02-05,"For example, reports from some sectors of the
country indicate that thrift institutions have liberalized commitment","These are summarized in the second and third
lines of each panel and will be described in the chart show at the February","Shorter-run targets","Even if bond yields were to move somewhat
higher, mortgage rates would be unlikely to rise significantly, given the
already slack demand for residential mortgage loans at current rate levels;
a retracing of recent bond rate increases would reinforce the tendency
apparent in the mortgage market of late toward some easing of lending","Directive language",,,,,,
1980-03-18,1980-03-18,"Dec. to
Jan. Feb. Dec. to Feb. Mar. Target
Monetary Aggregates","Prospective Developments and Short-term Targets","C
Growth Rates
Monthly
Quarterly Average","The dollar would likely strengthen
further, even though some additional U.S. monetary restraint would not come as
a great surprise to the market; foreign central bank intervention sales,
however, would likely limit the extent of the rise in the dollar's exchange",,,,,,,
1980-04-22,1980-04-22,"Prospective Developments and Short-term Targets","Directive language",,,,,,,,,
1980-05-20,1980-05-20,"B
Growth Rates
Quarterly Average","Directive language",,,,,,,,,
1980-07-09,1980-07-09,"Longer-run targets and strategy","Shorter-run targets","Directive language",,,,,,,,
1980-08-12,1980-08-12,"With the demand for excess reserves
apparently subsiding, federal funds have traded most recently in a range of","Given the strength of core deposits
and limited credit expansion, banks reduced slightly further their managed","Directive language",,,,,,,,
1980-09-16,1980-09-16,"Prospective developments","Directive language",,,,,,,,,
1980-10-21,1980-10-21,"Prospective developments","B
Growth Rates
Monthly
Quarterly Average","Under
such circumstances, other market rates would likely fluctuate around current","Directive language",,,,,,,
1980-11-18,1980-11-18,"Prospective developments","Directive language",,,,,,,,,
1980-12-18,1980-12-19,"Near-term targets","Directive language",,,,,,,,,
1981-02-02,1981-02-03,"Only a very small part of the higher excess reserves
that emerged beginning in November was held by nonmember commercial banks and","Alternative Longer-Run Targets","Short-run alternatives","Directive language",,,,,,,
1981-03-31,1981-03-31,"Directive language",,,,,,,,,,
1981-05-18,1981-05-18,"Prospective developments","Other short-term rates
would probably rise substantially further under these alternatives, with
upward pressures particularly intense under alternative C. Long-term
interest rates would also rise further over the weeks ahead, probably
inducing a large volume of postponements and cancellations of bond","Although the new mortgage instruments recently approved by the FHLBB are
likely to be translated into an increased willingness of thrifts to make
mortgage loans, their impact on interest income will be modest for some
Directive language",,,,,,,,
1981-07-06,1981-07-07,"Growth in Monetary Aggregates
(Seasonally adjusted annual rates)
April March
Ma June to June to June","In June, credit expansion at large weekly
reporting banks evidently was rapid, but partial data for smaller banks
suggest that total bank credit may have increased at only half the May","C
Growth Rates
Monthly
Quarterly Average","Business credit demands are expected
to expand, as internally generated funds do not keep pace with capital","Business demands on
commercial banks could surge for a time, partly in response to higher
bond market yields, possibly requiring heavy CD issuance and/or Eurodollar",,,,,,
1981-08-18,1981-08-18,"Prospective developments","Directive language",,,,,,,,,
1981-10-05,1981-10-06,"Prospective developments","Nonborrowed reserves would be targeted to expand at a","Directive language",,,,,,,,
1981-11-17,1981-11-17,"Prospective Developments","How-
ever, any tendency for the dollar to fall substantially on exchange markets
could be limited in the degree that declining interest rates here and/or
the tendency for foreign currencies to appreciate leads foreign authorities
to ease their monetary policies, given continued weak economic performance","Directive language",,,,,,,,
1981-12-21,1981-12-22,"However, we estimate that no more than roughly
Near-term Targets","C
Growth Rates
Monthly
Quarterly Average
Annual Average",,,,,,,,,
1982-02-01,1982-02-02,"In December and January, commercial banks supple-
mented their other deposit flows by stepping up issuance of large time
deposits, while S&Ls continued to issue such deposits at an appreciable","Alternative longer-run monetary strategies","Near-term targets","Directive language",,,,,,,
1982-03-29,1982-03-30,"Alternative near-term targets","Thus, while we have allowed for a bulge in growth in April,
a relatively moderate growth cannot be ruled out, particularly if tax
payments are made out of NOW accounts that were built up earlier or out
of money market funds (thereby avoiding a temporary build-up in demand",,,,,,,,,
1982-05-18,1982-05-18,"It is doubtful that recent developments in
the Congress on the budget, in view of the general uncertainties surrounding
the process, have had an appreciable effect on recent market rate","Alternative near-term targets","Declines in
U.S. short-term interest rates could extend the recent reduction in the
foreign exchange value of the dollar from its current relatively high",,,,,,,,
1982-06-30,1982-07-01,"This evolves out of the continued strength in nominal
income and associated money demand relative to money supply targets, with
nominal income sustained by stimulative fiscal policy of the Federal
Government whose credit demands are generally insensitive to interest
Alternative short-run targets","The dollar
probably would come under further substantial upward pressure in exchange
Directive language",,,,,,,,,
1982-08-24,1982-08-24,"Even as
rates have declined, there has been a marked widening of quality spreads
on commercial paper and a more pronounced tiering in the CD and RP
markets, in the aftermath of the Penn Square failure, the recent bank-
ruptcy of Lombard-Wall, and rumors about bank problems with Mexican","Alternative near-term targets",,,,,,,,,
1982-10-05,1982-10-05,"Demand
deposits also grew rather rapidly in September, perhaps partly in response
to increased securities markets activity and possibly to some increase in
compensating balances as the earnings value to banks of corporate deposits","Alternative near-term targets","Money
market fund growth should remain slow, and some part of the sizable volume
of ASCs maturing in October might shift to market instruments, particularly
municipals, though the staff believes that the bulk will be either rolled","Directive language",,,,,,,
1982-11-16,1982-11-16,"Alternative near-term targets","Directive language",,,,,,,,,
1982-12-20,1982-12-21,"Prospective developments","On the other hand, signs of an easing in reserve availability,
particularly against a backdrop of continued relatively rapid money growth,
might intensify inflationary concerns, exerting upward pressure on bond","Directive language",,,,,,,,
1983-02-08,1983-02-09,"Near-term targets",,,,,,,,,,
