start_date,end_date,TotalParagraphs,TotalRelevantParagraphs,alternatives_discussed,alternatives_parags
1974-04-15,1974-04-16,21,10,"Alternative A, Alternative B, Alternative C","(9), (10), (11), (12), (14), (15), (18), (19), (20), (21)"
1974-05-21,1974-05-21,23,11,"Alternative A, Alternative B, Alternative C","(12), (13), (14), (16), (17), (18), (19), (20), (21), (22), (23)"
1974-06-18,1974-06-18,16,7,"Alternative A, Alternative B, Alternative C","(8), (9), (11), (12), (14), (15), (16)"
1974-07-16,1974-07-16,17,8,"Alternative A, Alternative B, Alternative C","(9), (10), (12), (13), (14), (15), (16), (17)"
1974-08-20,1974-08-20,17,7,"Alternative A, Alternative B, Alternative C","(9), (10), (11), (12), (13), (16), (17)"
1974-09-10,1974-09-10,16,7,"Alternative A, Alternative B, Alternative C","(8), (9), (11), (12), (14), (15), (16)"
1974-10-14,1974-10-15,15,6,"Alternative A, Alternative B, Alternative C","(7), (8), (10), (12), (14), (15)"
1974-11-19,1974-11-19,13,5,"Alternative A, Alternative B, Alternative C","(8), (9), (11), (12), (13)"
1974-12-16,1974-12-17,16,6,"Alternative A, Alternative B, Alternative C, Alternative D","(9), (10), (11), (12), (14), (16)"
1975-01-20,1975-01-21,16,8,"Alternative A, Alternative B, Alternative C","(7), (8), (9), (10), (11), (13), (14), (16)"
1975-02-19,1975-02-19,18,9,"Alternative A, Alternative B, Alternative C, Alternative D","(9), (10), (12), (13), (14), (15), (16), (17), (18)"
1975-03-18,1975-03-18,17,8,"Alternative A, Alternative B, Alternative C","(9), (10), (11), (12), (13), (15), (16), (17)"
1975-04-14,1975-04-15,17,6,"Alternative A, Alternative B, Alternative C","(9), (12), (14), (15), (16), (17)"
1975-05-20,1975-05-20,16,5,"Alternative A, Alternative B, Alternative C","(10), (11), (13), (14), (16)"
1975-06-16,1975-06-17,18,9,"Alternative A, Alternative B, Alternative C","(7), (8), (10), (11), (12), (15), (16), (17), (18)"
1975-07-15,1975-07-15,17,9,"Alternative A, Alternative B, Alternative C","(8), (9), (10), (11), (12), (13), (15), (16), (17)"
1975-08-19,1975-08-19,17,10,"Alternative A, Alternative B, Alternative C","(7), (8), (9), (10), (11), (12), (13), (14), (15), (17)"
1975-09-16,1975-09-16,19,7,"Alternative A, Alternative B, Alternative C","(9), (12), (13), (14), (16), (17), (19)"
1975-10-21,1975-10-21,18,6,"Alternative A, Alternative B, Alternative C","(11), (12), (14), (15), (16), (18)"
1975-11-18,1975-11-18,17,6,"Alternative A, Alternative B, Alternative C","(8), (10), (12), (13), (14), (17)"
1975-12-16,1975-12-16,14,5,"Alternative A, Alternative B, Alternative C","(7), (9), (11), (12), (14)"
1976-01-20,1976-01-20,19,7,"Alternative A, Alternative B, Alternative C","(9), (10), (12), (14), (15), (17), (19)"
1976-02-17,1976-02-18,17,8,"Alternative A, Alternative B, Alternative C","(8), (9), (10), (11), (12), (13), (14), (17)"
1976-03-15,1976-03-16,14,5,"Alternative A, Alternative B, Alternative C","(7), (9), (10), (12), (14)"
1976-04-20,1976-04-20,15,10,"Alternative A, Alternative B, Alternative C","(5), (6), (8), (9), (10), (11), (12), (13), (14), (15)"
1976-05-18,1976-05-18,17,6,"Alternative A, Alternative B, Alternative C","(9), (11), (12), (13), (15), (17)"
1976-06-22,1976-06-22,16,7,"Alternative A, Alternative B, Alternative C","(8), (9), (11), (12), (13), (14), (16)"
1976-07-19,1976-07-20,18,8,"Alternative A, Alternative B, Alternative C","(9), (11), (12), (13), (14), (15), (17), (18)"
1976-08-17,1976-08-17,18,7,"Alternative A, Alternative B, Alternative C","(8), (9), (10), (13), (14), (15), (18)"
1976-09-21,1976-09-21,17,7,"Alternative A, Alternative B, Alternative C","(7), (8), (11), (12), (13), (14), (17)"
1976-10-19,1976-10-19,17,8,"Alternative A, Alternative B, Alternative C","(9), (11), (12), (13), (14), (15), (16), (17)"
1976-11-16,1976-11-16,18,6,"Alternative A, Alternative B, Alternative C","(8), (9), (10), (13), (14), (18)"
1976-12-20,1976-12-21,15,5,"Alternative A, Alternative B, Alternative C","(7), (11), (12), (13), (15)"
1977-01-17,1977-01-18,17,7,"Alternative A, Alternative B, Alternative C","(6), (8), (11), (13), (14), (15), (17)"
1977-02-15,1977-02-15,18,10,"Alternative A, Alternative B, Alternative C","(7), (8), (9), (10), (11), (13), (14), (15), (16), (18)"
1977-03-15,1977-03-15,13,3,"Alternative A, Alternative B, Alternative C","(7), (11), (12)"
1977-04-19,1977-04-19,20,9,"Alternative A, Alternative B, Alternative C","(7), (9), (10), (12), (15), (16), (17), (18), (19)"
1977-05-17,1977-05-17,16,6,"Alternative A, Alternative B, Alternative C","(9), (11), (12), (13), (14), (15)"
1977-06-21,1977-06-21,16,6,"Alternative A, Alternative B, Alternative C","(8), (10), (12), (13), (14), (15)"
1977-07-19,1977-07-19,20,9,"Alternative A, Alternative B, Alternative C, Alternative D","(9), (11), (13), (14), (15), (16), (17), (18), (19)"
1977-08-16,1977-08-16,18,5,"Alternative A, Alternative B, Alternative C","(9), (10), (15), (16), (17)"
1977-09-20,1977-09-20,14,5,"Alternative A, Alternative B, Alternative C","(7), (9), (11), (12), (13)"
1977-10-17,1977-10-18,19,8,"Alternative A, Alternative B, Alternative D","(6), (8), (10), (11), (13), (15), (16), (18)"
1977-11-15,1977-11-15,17,5,"Alternative B, Alternative C","(8), (10), (12), (14), (16)"
1977-12-19,1977-12-20,19,5,"Alternative A, Alternative B, Alternative C","(11), (12), (14), (16), (18)"
1978-01-17,1978-01-17,20,9,"Alternative A, Alternative B, Alternative C","(7), (8), (10), (11), (13), (14), (15), (18), (19)"
1978-02-28,1978-02-28,22,11,"Alternative A, Alternative B, Alternative C","(8), (9), (10), (12), (13), (14), (18), (19), (20), (21), (22)"
1978-03-21,1978-03-21,17,8,"Alternative A, Alternative B, Alternative C","(7), (9), (11), (12), (13), (14), (15), (16)"
1978-04-18,1978-04-18,22,11,"Alternative A, Alternative B, Alternative C","(7), (8), (9), (10), (12), (13), (14), (18), (19), (20), (21)"
1978-05-16,1978-05-16,16,6,"Alternative A, Alternative B","(8), (9), (12), (13), (15), (16)"
1978-06-20,1978-06-20,19,6,"Alternative A, Alternative B","(8), (9), (11), (12), (14), (17)"
1978-07-18,1978-07-18,23,8,"Alternative A, Alternative B, Alternative C","(6), (8), (9), (11), (14), (15), (19), (20)"
1978-08-15,1978-08-15,16,8,"Alternative A, Alternative B, Alternative D","(8), (9), (11), (12), (13), (14), (15), (16)"
1978-09-19,1978-09-19,17,6,"Alternative A, Alternative B","(8), (10), (12), (14), (15), (16)"
1978-10-17,1978-10-17,24,6,"Alternative A, Alternative B, Alternative C","(7), (10), (11), (12), (13), (20)"
1978-11-21,1978-11-21,17,6,"Alternative A, Alternative B","(8), (9), (11), (13), (14), (16)"
1978-12-19,1978-12-19,20,6,"Alternative A, Alternative B","(9), (10), (13), (16), (18), (19)"
1979-02-06,1979-02-06,26,8,"Alternative A, Alternative B, Alternative C","(10), (11), (13), (14), (15), (16), (17), (18)"
1979-03-20,1979-03-20,22,8,"Alternative A, Alternative B, Alternative C","(9), (13), (14), (16), (17), (18), (20), (21)"
1979-04-17,1979-04-17,17,8,"Alternative A, Alternative B, Alternative C","(8), (9), (10), (11), (12), (14), (15), (16)"
1979-05-22,1979-05-22,18,7,"Alternative A, Alternative B, Alternative C","(8), (9), (10), (11), (15), (16), (17)"
1979-07-11,1979-07-11,24,9,"Alternative A, Alternative B, Alternative C","(11), (12), (13), (14), (17), (18), (19), (22), (23)"
1979-08-14,1979-08-14,17,8,"Alternative A, Alternative B, Alternative C","(8), (9), (10), (11), (13), (14), (15), (16)"
1979-09-18,1979-09-18,17,8,"Alternative A, Alternative B, Alternative C","(8), (9), (10), (12), (13), (14), (15), (16)"
1979-11-20,1979-11-20,23,9,"Alternative A, Alternative B, Alternative C","(11), (12), (13), (16), (17), (18), (19), (20), (21)"
1980-01-08,1980-01-09,27,8,"Alternative A, Alternative B, Alternative C","(17), (18), (20), (22), (23), (24), (25), (26)"
1980-02-04,1980-02-05,24,6,"Alternative A, Alternative B, Alternative C","(14), (16), (17), (19), (20), (21)"
1980-03-18,1980-03-18,18,10,"Alternative A, Alternative B, Alternative C","(7), (8), (9), (11), (12), (13), (14), (15), (16), (17)"
1980-04-22,1980-04-22,21,11,"Alternative A, Alternative B, Alternative C","(9), (10), (11), (12), (13), (15), (16), (17), (18), (19), (20)"
1980-05-20,1980-05-20,19,8,"Alternative A, Alternative B","(10), (11), (12), (13), (14), (15), (16), (18)"
1980-07-09,1980-07-09,22,7,"Alternative A, Alternative B, Alternative C","(13), (16), (17), (18), (19), (20), (21)"
1980-08-12,1980-08-12,16,5,"Alternative A, Alternative B","(11), (12), (13), (14), (15)"
1980-09-16,1980-09-16,16,7,"Alternative A, Alternative B","(9), (10), (11), (12), (13), (14), (15)"
1980-10-21,1980-10-21,16,5,"Alternative A, Alternative B","(8), (9), (11), (12), (13)"
1980-11-18,1980-11-18,16,7,"Alternative A, Alternative B, Alternative C, Alternative D","(9), (10), (11), (12), (13), (14), (15)"
1980-12-18,1980-12-19,21,5,"Alternative A, Alternative B, Alternative C","(15), (16), (17), (19), (20)"
1981-02-02,1981-02-03,21,5,"Alternative A, Alternative B, Alternative C","(10), (13), (14), (16), (17)"
1981-03-31,1981-03-31,17,4,"Alternative A, Alternative B, Alternative C","(10), (12), (14), (15)"
1981-05-18,1981-05-18,14,6,"Alternative A, Alternative B, Alternative C","(8), (9), (10), (11), (12), (14)"
1981-07-06,1981-07-07,24,5,"Alternative A, Alternative B, Alternative C","(18), (20), (21), (23), (24)"
1981-08-18,1981-08-18,13,4,"Alternative A, Alternative B","(8), (10), (12), (13)"
1981-10-05,1981-10-06,17,7,"Alternative A, Alternative B, Alternative C","(8), (9), (10), (12), (13), (16), (17)"
1981-11-17,1981-11-17,16,6,"Alternative A, Alternative B, Alternative C","(7), (9), (12), (13), (14), (15)"
1981-12-21,1981-12-22,24,6,"Alternative A, Alternative B, Alternative C","(16), (18), (20), (21), (22), (23)"
1982-02-01,1982-02-02,21,8,"Alternative A, Alternative B, Alternative C, Alternative D","(12), (13), (14), (15), (16), (17), (19), (20)"
1982-03-29,1982-03-30,16,5,"Alternative A, Alternative B, Alternative C","(8), (11), (13), (14), (15)"
1982-05-18,1982-05-18,16,8,"Alternative A, Alternative B, Alternative C","(8), (9), (10), (12), (13), (14), (15), (16)"
1982-06-30,1982-07-01,22,6,"Alternative A, Alternative B, Alternative C","(7), (8), (14), (18), (20), (21)"
1982-08-24,1982-08-24,17,7,"Alternative A, Alternative B, Alternative C","(9), (10), (11), (13), (14), (15), (17)"
1982-10-05,1982-10-05,19,8,"Alternative A, Alternative B, Alternative C","(9), (10), (11), (12), (13), (15), (17), (19)"
1982-11-16,1982-11-16,18,6,"Alternative A, Alternative B, Alternative C","(7), (10), (13), (14), (15), (16)"
1982-12-20,1982-12-21,20,6,"Alternative A, Alternative B, Alternative C","(11), (12), (14), (15), (16), (17)"
1983-02-08,1983-02-09,25,4,"Alternative A, Alternative B, Alternative C","(21), (22), (23), (24)"
1983-03-28,1983-03-29,19,7,"Alternative A, Alternative B, Alternative C, Alternative D","(9), (11), (14), (16), (17), (18), (19)"
1983-05-24,1983-05-24,23,9,"Alternative A, Alternative B, Alternative C, Alternative D, alternative
e","(14), (15), (16), (17), (18), (19), (20), (21), (23)"
1983-07-12,1983-07-13,29,9,"Alternative A, Alternative B, Alternative C","(14), (16), (18), (20), (21), (23), (25), (26), (29)"
1983-08-23,1983-08-23,19,7,"Alternative A, Alternative B, Alternative C","(9), (11), (15), (16), (17), (18), (19)"
1983-10-04,1983-10-04,0,0,"No alternatives found","No alternatives found"
1983-11-14,1983-11-15,20,7,"Alternative A, Alternative B, Alternative C","(9), (10), (11), (14), (16), (18), (19)"
1983-12-19,1983-12-20,27,4,"Alternative A, Alternative B, Alternative C","(17), (19), (22), (25)"
1984-01-30,1984-01-31,23,7,"Alternative A, Alternative B, Alternative C","(15), (16), (17), (18), (19), (21), (23)"
1984-03-26,1984-03-27,19,9,"Alternative A, Alternative B, Alternative C","(9), (10), (11), (12), (14), (15), (16), (17), (19)"
1984-05-21,1984-05-22,17,7,"Alternative A, Alternative B, Alternative C","(7), (8), (11), (12), (13), (14), (15)"
1984-07-16,1984-07-17,27,8,"Alternative A, Alternative B, Alternative C, Alternative E","(6), (17), (18), (20), (21), (22), (23), (25)"
1984-08-21,1984-08-21,17,6,"Alternative A, Alternative B, Alternative C","(8), (11), (12), (13), (14), (15)"
1984-10-02,1984-10-02,16,6,"Alternative A, Alternative B, Alternative C","(8), (9), (10), (12), (14), (16)"
1984-11-07,1984-11-07,16,5,"Alternative A, Alternative B","(7), (8), (12), (14), (15)"
1984-12-17,1984-12-18,17,8,"Alternative A, Alternative B, Alternative C, Alternative D","(9), (10), (12), (13), (14), (15), (16), (17)"
1985-02-12,1985-02-13,26,7,"Alternative A, Alternative B, Alternative C","(16), (17), (19), (21), (22), (23), (24)"
1985-03-26,1985-03-26,19,7,"Alternative A, Alternative B, Alternative C","(7), (8), (12), (14), (15), (17), (19)"
1985-05-21,1985-05-21,15,6,"Alternative A, Alternative B, Alternative C","(7), (9), (10), (12), (14), (15)"
1985-07-09,1985-07-10,29,8,"Alternative A, Alternative B, Alternative C","(19), (20), (21), (22), (24), (25), (26), (27)"
1985-08-20,1985-08-20,19,5,"Alternative A, Alternative B, Alternative C","(7), (8), (11), (14), (17)"
1985-10-01,1985-10-01,19,6,"Alternative A, Alternative B, Alternative C","(11), (12), (14), (15), (16), (17)"
1985-11-04,1985-11-05,15,6,"Alternative A, Alternative B, Alternative C","(9), (10), (11), (12), (13), (14)"
1985-12-16,1985-12-17,14,4,"Alternative A, Alternative B, Alternative C","(8), (9), (10), (13)"
1986-02-11,1986-02-12,27,8,"Alternative A, Alternative B, Alternative C","(17), (18), (19), (20), (21), (22), (23), (24)"
1986-04-01,1986-04-01,18,9,"Alternative A, Alternative B, Alternative C","(8), (9), (10), (11), (13), (14), (15), (16), (17)"
1986-05-20,1986-05-20,15,8,"Alternative A, Alternative B, Alternative C, Alternative D","(7), (8), (9), (10), (11), (12), (13), (15)"
1986-07-08,1986-07-09,28,5,"Alternative A, Alternative B, Alternative C","(19), (20), (21), (22), (24)"
1986-08-19,1986-08-19,18,8,"Alternative A, Alternative B, Alternative C","(8), (9), (10), (11), (13), (14), (15), (16)"
1986-09-23,1986-09-23,18,8,"Alternative A, Alternative B, Alternative C","(8), (9), (10), (11), (12), (14), (15), (16)"
1986-11-05,1986-11-05,18,6,"Alternative A, Alternative B, Alternative C","(9), (10), (11), (12), (14), (16)"
1986-12-15,1986-12-16,17,7,"Alternative A, Alternative B, Alternative C","(8), (9), (10), (11), (13), (14), (15)"
1987-02-10,1987-02-11,27,9,"Alternative A, Alternative B, Alternative C","(13), (18), (19), (20), (21), (22), (23), (24), (25)"
1987-03-31,1987-03-31,18,8,"Alternative A, Alternative B, Alternative C","(8), (9), (10), (11), (12), (14), (16), (17)"
1987-05-19,1987-05-19,17,9,"Alternative A, Alternative B, Alternative C","(8), (9), (10), (11), (12), (13), (14), (15), (16)"
1987-07-07,1987-07-07,30,7,"Alternative A, Alternative B, Alternative C","(19), (20), (22), (23), (25), (26), (27)"
1987-08-18,1987-08-18,18,9,"Alternative A, Alternative B, Alternative C","(9), (10), (11), (12), (13), (14), (15), (16), (17)"
1987-09-22,1987-09-22,17,8,"Alternative A, Alternative B, Alternative C","(9), (10), (11), (12), (13), (14), (15), (16)"
1987-11-03,1987-11-03,19,9,"Alternative A, Alternative B, Alternative C","(11), (12), (13), (14), (15), (16), (17), (18), (19)"
1987-12-15,1987-12-16,18,9,"Alternative A, Alternative B, Alternative C","(7), (9), (10), (11), (12), (13), (14), (15), (17)"
1988-02-09,1988-02-10,23,9,"Alternative A, Alternative B, Alternative C","(12), (14), (15), (16), (17), (18), (19), (20), (21)"
1988-03-29,1988-03-29,18,7,"Alternative A, Alternative B, Alternative C","(7), (10), (11), (13), (14), (15), (16)"
1988-05-17,1988-05-17,15,8,"Alternative A, Alternative B, Alternative C","(7), (8), (9), (10), (11), (12), (13), (14)"
1988-06-29,1988-06-30,24,8,"Alternative A, Alternative B, Alternative C","(13), (16), (18), (19), (20), (21), (22), (23)"
1988-08-16,1988-08-16,15,6,"Alternative B, Alternative C","(7), (9), (10), (12), (13), (14)"
1988-09-20,1988-09-20,14,6,"Alternative A, Alternative B, Alternative C, alternative e","(7), (9), (10), (11), (12), (13)"
1988-11-01,1988-11-01,18,6,"Alternative A, Alternative B, Alternative C","(7), (11), (12), (14), (16), (17)"
1988-12-13,1988-12-14,16,8,"Alternative A, Alternative B, Alternative C","(8), (9), (10), (11), (12), (13), (14), (15)"
1989-02-07,1989-02-08,25,4,"Alternative B, Alternative C","(20), (22), (23), (24)"
1989-03-28,1989-03-28,16,6,"Alternative A, Alternative B, Alternative C","(8), (10), (11), (12), (14), (15)"
1989-05-16,1989-05-16,14,5,"Alternative A, Alternative B, Alternative C","(7), (9), (11), (12), (13)"
1989-07-05,1989-07-06,33,8,"Alternative A, Alternative B, Alternative C","(22), (24), (27), (28), (29), (30), (31), (32)"
1989-08-22,1989-08-22,19,7,"Alternative A, Alternative B, Alternative C","(8), (9), (10), (11), (13), (14), (17)"
1989-10-03,1989-10-03,15,6,"Alternative A, Alternative B, Alternative C","(8), (10), (11), (12), (13), (14)"
1989-11-14,1989-11-14,16,7,"Alternative A, Alternative B","(8), (9), (10), (12), (13), (14), (15)"
1989-12-18,1989-12-19,18,8,"Alternative A, Alternative B, Alternative C","(9), (10), (11), (12), (13), (15), (16), (17)"
1990-02-06,1990-02-07,27,7,"Alternative A, Alternative B, Alternative C","(19), (20), (22), (23), (24), (25), (26)"
1990-03-27,1990-03-27,16,7,"Alternative A, Alternative B, Alternative C","(7), (9), (10), (11), (12), (13), (15)"
1990-05-15,1990-05-15,13,5,"Alternative A, Alternative B, Alternative C","(6), (7), (8), (11), (12)"
1990-07-02,1990-07-03,30,6,"Alternative A, Alternative B, Alternative C","(21), (22), (23), (25), (26), (27)"
1990-08-21,1990-08-21,16,5,"Alternative A, Alternative B, Alternative C","(9), (11), (13), (14), (15)"
1990-10-02,1990-10-02,18,4,"Alternative A, Alternative B, Alternative C","(7), (11), (13), (15)"
1990-11-13,1990-11-13,16,5,"Alternative A, Alternative B, Alternative C","(8), (9), (10), (11), (13)"
1990-12-18,1990-12-18,19,7,"Alternative A, Alternative B","(10), (11), (12), (13), (15), (16), (18)"
1991-02-05,1991-02-06,26,7,"Alternative A, Alternative B, Alternative C","(14), (18), (20), (21), (22), (24), (25)"
1991-03-26,1991-03-26,19,10,"Alternative A, Alternative B, Alternative C","(8), (9), (10), (11), (12), (13), (14), (15), (17), (18)"
1991-05-14,1991-05-14,15,7,"Alternative A, Alternative B","(8), (9), (10), (11), (12), (13), (14)"
1991-07-02,1991-07-03,30,5,"Alternative A, Alternative B, Alternative C","(24), (25), (26), (27), (28)"
1991-08-20,1991-08-20,14,5,"Alternative A, Alternative B, Alternative C","(7), (9), (10), (11), (13)"
1991-10-01,1991-10-01,16,6,"Alternative A, Alternative B","(7), (8), (9), (12), (13), (15)"
1991-11-05,1991-11-05,14,7,"Alternative A, Alternative B","(7), (9), (10), (11), (12), (13), (14)"
1991-12-17,1991-12-17,18,6,"Alternative A, Alternative B","(10), (11), (12), (13), (15), (17)"
1992-02-04,1992-02-05,27,7,"Alternative A, Alternative B, Alternative C","(13), (21), (22), (23), (24), (25), (26)"
1992-03-31,1992-03-31,17,9,"Alternative A, Alternative B, Alternative C","(8), (9), (10), (11), (12), (13), (14), (15), (16)"
1992-05-19,1992-05-19,16,8,"Alternative A, Alternative B, Alternative C","(8), (9), (10), (11), (13), (14), (15), (16)"
1992-06-30,1992-07-01,29,10,"Alternative A, Alternative B, Alternative C","(16), (18), (19), (20), (21), (22), (23), (24), (25), (26)"
1992-08-18,1992-08-18,16,9,"Alternative A, Alternative B, Alternative C","(6), (7), (8), (9), (10), (12), (13), (14), (15)"
1992-10-06,1992-10-06,16,6,"Alternative A, Alternative B","(8), (10), (11), (12), (14), (15)"
1992-11-17,1992-11-17,22,5,"Alternative A, Alternative B","(14), (16), (17), (20), (21)"
