start_date,end_date,TotalParagraphs,TotalRelevantParagraphs,alternatives_discussed,alternatives_parags,alternativeA,numberofsentences_altA,alternativeB,numberofsentences_altB,alternativeC,numberofsentences_altC,alternativeD,numberofsentences_altD
1970-01-15,1970-01-15,21,3,"Alternative A, Alternative B, Alternative C","(8), (14), (17)","(8) If the Committee decides to maintain unchanged conditions
in the money market over the next four weeks, it may wish to consider
the following second paragraph for the directive (alternative A):
To implement this policy, WHILE TAKING ACCOUNT OF
THE FORTHCOMING TREASURY REFUNDING, System open market
operations until the next meeting of the Committee shall
be conducted with a view to maintaining the prevailing
firm conditions in the money market; provided, however,
that operations shall be modified if bank credit appears
to be deviating significantly from current projections
[DEL: or if unusual liquidity pressures should develop.].",1,"(14) Policy alternative B.",1,"(17) Policy alternative C.",1,"No Sentences Alternative D",0
1970-02-10,1970-02-10,20,3,"Alternative A, Alternative B","(8), (15), (17)","(8) If the Committee wishes to maintain an unchanged stance
with respect to its views as to monetary aggregates and money market
conditions, it may wish to consider the following second paragraph for
the directive (alternative A):
To implement this policy, while taking account of the
CURRENT forthcoming Treasury refunding, possible bank regula-
tory change, and the Committee's desire to see a modest
growth in money and bank credit, System open market opera-
tions until the next meeting of the Committee shall be con-
ducted with a view to maintaining firm conditions in the
money market; provided, however, that operations shall be
modified if money and bank credit appear to be deviating
significantly from current projections..
(15) Should the Committee wish to move toward somewhat
easier conditions in the money market, concomitant with somewhat
stronger growth in the banking and deposit aggregates, it might con-
sider the following second paragraph for the directive (alternative B):
To implement this policy, while taking account of the
CURRENT forthcoming Treasury refunding, possible bank
regulatory changes and the Committee's desire to see
MODERATE a-modest growth in money and bank credit, System
open market operations until the next meeting of the
Committee shall be conducted with a view to maintaining
firm MOVING TOWARD SOMEWHAT EASIER conditions in the
money market; provided, however, that operations shall be
modified if money and bank credit appear to be deviating
significantly from current projections..
(17) Under such conditions, banks might be in a position to regain
a substantial amount of CD's, Instead of an attrition running at about
the $100-$300 million per month rate likely under alternative A (depending
on the degree of firmness achieved under the specifications of that
alternative), we would expect banks at least to maintain outstanding CD's
at around the current $10 billion level.",1,"(8) If the Committee wishes to maintain an unchanged stance
with respect to its views as to monetary aggregates and money market
conditions, it may wish to consider the following second paragraph for
the directive (alternative A):
To implement this policy, while taking account of the
CURRENT forthcoming Treasury refunding, possible bank regula-
tory change, and the Committee's desire to see a modest
growth in money and bank credit, System open market opera-
tions until the next meeting of the Committee shall be con-
ducted with a view to maintaining firm conditions in the
money market; provided, however, that operations shall be
modified if money and bank credit appear to be deviating
significantly from current projections..
(15) Should the Committee wish to move toward somewhat
easier conditions in the money market, concomitant with somewhat
stronger growth in the banking and deposit aggregates, it might con-
sider the following second paragraph for the directive (alternative B):
To implement this policy, while taking account of the
CURRENT forthcoming Treasury refunding, possible bank
regulatory changes and the Committee's desire to see
MODERATE a-modest growth in money and bank credit, System
open market operations until the next meeting of the
Committee shall be conducted with a view to maintaining
firm MOVING TOWARD SOMEWHAT EASIER conditions in the
money market; provided, however, that operations shall be
modified if money and bank credit appear to be deviating
significantly from current projections..
(17) Under such conditions, banks might be in a position to regain
a substantial amount of CD's, Instead of an attrition running at about
the $100-$300 million per month rate likely under alternative A (depending
on the degree of firmness achieved under the specifications of that
alternative), we would expect banks at least to maintain outstanding CD's
at around the current $10 billion level.",1,"No Sentences Alternative C",0,"No Sentences Alternative D",0
1970-03-10,1970-03-10,18,5,"Alternative A, Alternative B","(3), (7), (15), (17), (18)","(3) While the staff had expected some gradual improvement
in time deposit performance under the less restrictive alternative a opted
by the Committee, the improvement developed more rapidly than projected
partly because of an earlier and larger decline in bill rates than
anticipated. In addition, the attrition of domestic large negotiable CD's
came to a halt in early February, and inflows of foreign official funds
into time deposits were larger than expected..
(7) If the Committee wishes to continue on the growth path
of monetary aggregates (taken together),and associated money market
conditions, that are implicit in the policy stance adopted at the
last meeting, it may wish to consider the following second paragraph
for the directive (alternative A):
To implement this policy, while taking account of [DEL: the
current Treasury refundin possibble bank regulatory changes
and] the Committee's desire to see moderate growth in money and
bank credit over the months ahead, System open market operations
until the next meeting of the Committee shall be conducted with
a view to MAINTAINING THE SOMEWHAT LESS [DEL: moving gradually toward
somewhat less] firm conditions THAT HAVE BEEN ATTAINED in the
money market; provided, however, that operations shall be
modified promptly to resist any tendency for money and bank credit
to deviate significantly from a moderate growth pattern..
(15) If it is the Committee's desire to encourage somewhat
more growth in the monetary aggregates, and to move further toward less
firm money market conditions, it may wish to consider the following
second paragraph for the directive (alternative B):
To implement this policy, while taking account of
[DEL: the current Treasury refunding possible bank regulatory
changes and] the Committee's desire to see moderate growth
in money and bank credit over the months ahead, System
open market operations until the next meeting of the
Committee shall be conducted with a view to CONTINUING
TO MOVE moving gradually toward somewhat less firm condi-
tions in the money market; provided, however, that opera-
tions shall be modified promptly to resist any tendency for
money and bank credit to deviate significantly from THE
ANTICIPATED [DEL: a moderate ] growth pattern..
(17) The anticipated weakness of the economy through the
second quarter suggests that it will be difficult to generate much more
growth in the money supply than indicated in alternative A without a
substantially lower level of interest rates. Mainly because of the rise in time deposits, the adjusted
bank credit proxy would also be stronger than under alternative A,
rising in an 8-11 per cent annual rate range in March and April together.",3,"In addition, the attrition of domestic large negotiable CD's
came to a halt in early February, and inflows of foreign official funds
into time deposits were larger than expected..
(7) If the Committee wishes to continue on the growth path
of monetary aggregates (taken together),and associated money market
conditions, that are implicit in the policy stance adopted at the
last meeting, it may wish to consider the following second paragraph
for the directive (alternative A):
To implement this policy, while taking account of [DEL: the
current Treasury refundin possibble bank regulatory changes
and] the Committee's desire to see moderate growth in money and
bank credit over the months ahead, System open market operations
until the next meeting of the Committee shall be conducted with
a view to MAINTAINING THE SOMEWHAT LESS [DEL: moving gradually toward
somewhat less] firm conditions THAT HAVE BEEN ATTAINED in the
money market; provided, however, that operations shall be
modified promptly to resist any tendency for money and bank credit
to deviate significantly from a moderate growth pattern..
(15) If it is the Committee's desire to encourage somewhat
more growth in the monetary aggregates, and to move further toward less
firm money market conditions, it may wish to consider the following
second paragraph for the directive (alternative B):
To implement this policy, while taking account of
[DEL: the current Treasury refunding possible bank regulatory
changes and] the Committee's desire to see moderate growth
in money and bank credit over the months ahead, System
open market operations until the next meeting of the
Committee shall be conducted with a view to CONTINUING
TO MOVE moving gradually toward somewhat less firm condi-
tions in the money market; provided, however, that opera-
tions shall be modified promptly to resist any tendency for
money and bank credit to deviate significantly from THE
ANTICIPATED [DEL: a moderate ] growth pattern..
(17) The anticipated weakness of the economy through the
second quarter suggests that it will be difficult to generate much more
growth in the money supply than indicated in alternative A without a
substantially lower level of interest rates. It is assumed that the additional time deposits obtained by banks would
substitute in part for funds now obtained through nondeposit sources..
(18) Staff guesses as to how the monetary aggregates might
develop under alternative B are shown in the table below (with figures
representing percentage annual rates of change):
First Second
Quarter Quarter
Money supply 2% 4%
Time deposits 1/2 18
Adjusted bank credit proxy 1/2 7
Total reserves -3 1
Table 1
MARGINAL RESERVE MEASURES
(Dollar amounts in millions, based on period averages of daily figures)
Member Banks Borrowings
Period Free Excess R e s e r v e C i t
reserves reserves Total Major banks O r Country
p - Preliminary.",2,"No Sentences Alternative C",0,"No Sentences Alternative D",0
1970-04-07,1970-04-07,18,2,"Alternative A, alternative E","(7), (15)","(7) If the Committee wishes to continue on the policy course
adopted at the March meeting, it may want to renew the second paragraph
of the directive issued then, with the addition of a reference to the
Treasury financing, as follows (alternative A):
To implement this policy, the Committee desires to see
moderate growth in money and bank credit over the months ahead.",1,"No Sentences Alternative B",0,"No Sentences Alternative C",0,"No Sentences Alternative D",0
1970-05-05,1970-05-05,15,0,"No alternatives found","No alternatives found","No Sentences Alternative A",0,"No Sentences Alternative B",0,"No Sentences Alternative C",0,"No Sentences Alternative D",0
1970-05-26,1970-05-26,13,1,"Alternative A","(12)","(12) Should the Committee--for example, because it wishes
to accommodate what appears to be increased liquidity demands in the
economy--wish to move onto a path that allows for somewhat greater
rates of growth in the monetary aggregates than Alternative A, the
following language for the second paragraph might be considered:
To implement this policy, the Committee desires to
see [DEL: moderate] SOMEWHAT GREATER growth in money and bank
credit over the months ahead THAN PREVIOUSLY SOUGHT.",1,"No Sentences Alternative B",0,"No Sentences Alternative C",0,"No Sentences Alternative D",0
1970-06-23,1970-06-23,24,5,"Alternative A, Alternative B, Alternative C, Alternative D","(10), (16), (18), (20), (24)","Alternative A.
(16) Time deposits--not shown in the table--are projected to
grow at about a 9-1/2 per cent rate on average over the third quarter. In these
circumstances, the 3-month Treasury bill rate could also be expected to
range somewhat higher than under Alternative A, perhaps between 6.60 and
June
July
August
Septemb. The table also shows the projected weekly
path associated with Alternative A.
Weekly Path for Monetary Aggregates
(Daily average levels, seasonally adjusted in billions of dollars)
Adjusted Credit Proxy Money Supply Tctal Reserves
l/ 2/
Week ending Alt.",3,"Alternative B.
(18) For the money supply to grow at the targeted 4 per cent annual
rate in the third quarter, money market conditions would have to be somewhat
firmer than those currently prevailing as described in paragraph (12) above. However, some possibility exists that
the changes in short-term market interest rates required under
Alternative B or C could be large enough to have appreciable effects
on market expectations about the course of interest rates. On the other hand, given the still sensitive state
of securities markets, the adoption of Alternative B, involving a
marginal firming in money markets, might lead to some stiffening of
market interest rates and renewed apprehensions about financial
Table 1
MARGINAL RESERVE MEASURES
(Dollar amounts in millions, based on period averages of daily figures)
Member Banks Borrowings
Period Frec Excess Reserve C ty
reserves reserves Total Major banksI Country
R N.Y Outside N YV Other
Monthly (reserves weeks
ending in):
Weekly:
1969- Nov. 5 -1,032 296 1,328 121
p - Freliminary.",3,"A
Alternative C.
(24) Given the known pitfalls in projecting financial data,
the differences in implications of the three alternative directives
may not seem very significant. Thus,
the adoption of Alternative C might lead to a decline in short-term
market rates sufficient to make large CD's marginally competitive
again.",2,"No Sentences Alternative D",0
1970-07-21,1970-07-21,15,2,"Alternative A, Alternative B","(7), (8)","(7) Of the two alternatives shown below for the second
paragraph, alternative A calls for continuing the same degree of con-
cern with financial markets as the previous two directives. Alternative A
""To implement this policy, in view of persisting market
uncertainties and [DEL: liquidity strains] TAKING ACCOUNT OF THE
FORTHCOMING TREASURY FINANCING, open market operations until
the next meeting of the Committee shall continue to be con-
ducted with a view to moderating pressures on financial
markets. This set can be considered
as consistent with either alternative A or B since, so far as the staff
can judge now, money market conditions similar to those recently pre-
vailing might be accompanied by a moderate growth in the money supply
and no strong upward pressure on interest rates. Under
alternative B, the Desk would be freer to react--though equally
subject to ""even-keel"" considerations as in alternative A--should the
aggregates be deviating from the indicated path, or from whatever
modification of it the Committee may wish to make.",4,"Alternative B
""To implement this policy, [DEL: in view of persisting market
uncertainties and liquidity strains;] THE COMMITTEE SEEKS TO
PROMOTE MODERATE GROWTH IN MONEY AND BANK CREDIT OVER THE
MONTHS AHEAD, ALLOWING FOR A POSSIBLE CONTINUED SHIFT OF CREDIT
FLOWS FROM MARKET TO BANKING CHANNELS. Under
alternative B, the Desk would be freer to react--though equally
subject to ""even-keel"" considerations as in alternative A--should the
aggregates be deviating from the indicated path, or from whatever
modification of it the Committee may wish to make.",2,"No Sentences Alternative C",0,"No Sentences Alternative D",0
1970-08-18,1970-08-18,18,2,"Alternative A","(8), (17)","(8) If the Committee wishes to continue with a policy that
encompasses financial flows and credit conditions consistent with a 5 per
cent trend rate of growth for the money supply, the following language for
the second paragraph of the directive may be considered (alternative A):
To implement this policy, [DEL: while taking account of persisting
market uncertainties; liquidity strains; and the forthcoming Treasury
financing;] the Committee seeks to promote moderate growth in money
and bank credit over the months ahead, WHILE TAKING ACCOUNT OF
PERSISTING LIQUIDITY PROBLEMS AND allowing [DEL: for a possible] BANK
CREDIT GROWTH TO REFLECT A continued shift of credit flows from market
to banking channels. Nevertheless,
with market rates reduced, total time deposits would be expected to grow
somewhat more rapidly than under alternative A.",2,"No Sentences Alternative B",0,"No Sentences Alternative C",0,"No Sentences Alternative D",0
1970-09-15,1970-09-15,19,8,"Alternative A, Alternative B","(2), (8), (13), (14), (16), (17), (18), (19)","1/ Alternative A path of previous Blue Book consistent wich a 5 per cent
annual rate of growth in money stock for third quarter. (8) If the Committee wishes to continue with a policy that
encompasses financial flows and credit conditions consistent with a 5 per
cent rate of growth for the money supply, the following language for the
second paragraph of the directive might be considered (alternative A):
To implement this policy, the Committee seeks to promote
[DEL:some easing of conditions in credit markets and somewhat greater
MODERATE growth in money over the months ahead than occurred in the
second quarter, while taking account of possible liquidity problems
and allowing bank credit growth to reflect BANK EFFORTS TO REBUILD
LIQUIDITY AND any continued shift of credit flows from market to
banking channels. (17) Attainment of the more rapid growth in the money supply
indicated in the above tables would require a more pronounced easing of
money market conditions than under Alternative A. On the other hand, some partly offsetting
upward interest rate pressure, chiefly in longer maturity ranges,
might develop if there were a heightening of expectations that signifi-
cantly easier credit availability would lead to intensification of
inflationary conditions later on..
(18) The adjusted credit proxy is expected to grow some-
what more rapidly, along with the more rapid growth in money supply,
as compared with alternative A. Money supply growth is not expected to
become more rapid until October, although the exact lags over the near-
term in public and bank responses to monetary policy changes are con-
jectural. Thus,
the upward effect on the adjusted bank credit proxy of the rather
marked lowering of market interest rates expected under this alterna-
tive might not be extremely sharp, and will likely depend in part on the
extent to which businesses switch from open market to bank borrowing
and on the extent to which banks and dealers take speculative positions
in securities..
(19) Weekly figures for monetary aggregates over the period
between now and the next meeting are shown in the table below (with
the money supply figures linked to the published series as under
alternative A).",5,"Alternative B.
(14) Should the Committee desire to seek a 6 per cent growth
rate for the money supply over the fourth quarter and a significant easing
in credit market conditions, it may wish to consider the following
language for the second paragraph of the directive (alternative B):
To implement this policy, the Committee seeks to promote
some FURTHER easing of conditions in credit markets and somewhat
greater growth in money over the months ahead than occurred in
the first half of the year, while taking account of possible
liquidity problems and allowing bank credit growth to reflect
BANK EFFORTS TO REBUILD LIQUIDITY AND any continued shift of
credit flows from market to banking channels.",1,"No Sentences Alternative C",0,"No Sentences Alternative D",0
1970-10-20,1970-10-20,14,0,"No alternatives found","No alternatives found","No Sentences Alternative A",0,"No Sentences Alternative B",0,"No Sentences Alternative C",0,"No Sentences Alternative D",0
1970-11-17,1970-11-17,18,3,"Alternative A, Alternative B","(11), (15), (20)","Two broad alternatives are discussed in
the next two subsections: one (alternative A) calls for maintaining the
target for money growth for the fourth and first quarters taken together
at a 5 per cent annual rate; the other (alternative B) calls for a higher
average rate of growth over that time span. Policy alternative A. (12) If the Committee wishes to stay
on a 5 per cent growth path for the money supply, but is wiling to
permit some shortfall in the fourth quarter which would be made up in
the first quarter, it might consider the following language for the
second paragraph of the directive:
""To implement this policy, the Committee seeks to
promote some easing of conditions in credit markets and
moderate growth in money and attendant bank credit expan-
sion over the months ahead, WITH ALLOWANCE FOR TEMPORARY
SHIFTS IN MONEY AND CREDIT DEMANDS RELATED TO THE AUTO
STRIKE. Policy alternative B. (16) This alternative is presented in
the event that the Committee may wish to consider a more aggressive
easing in the money market than under alternative A in order to increase
the likelihood of moving closer to a 5 per cent money growth rate (and
around 6 per cent bank credit) in the fourth quarter, partly as a way
station to moving on to a 6 - 7 per cent growth path for money for the
fourth and first quarters taken together.",3,"Two broad alternatives are discussed in
the next two subsections: one (alternative A) calls for maintaining the
target for money growth for the fourth and first quarters taken together
at a 5 per cent annual rate; the other (alternative B) calls for a higher
average rate of growth over that time span. Policy alternative B. (16) This alternative is presented in
the event that the Committee may wish to consider a more aggressive
easing in the money market than under alternative A in order to increase
the likelihood of moving closer to a 5 per cent money growth rate (and
around 6 per cent bank credit) in the fourth quarter, partly as a way
station to moving on to a 6 - 7 per cent growth path for money for the
fourth and first quarters taken together. (20) The table below shows monthly patterns of monetary
aggregates consistent with alternative B.
Selected Monetary Aggregates, Monthly
($ billion, seasonally adjusted--% annual rates of change in parentheses)
Adjusted Money
Supply
Adjusted Bank
Credit Proxy
September, 1970
December, 1970
March, 1971
Fourth quarter
(Dec. over Sept.)
First quarter
(March over Dec.)
(7.0) (10.5)
Total
Reserves
_ __ __ ____
INTEREST BEARING SOURCES OF BANK FUNDS
BILLIONS OF DOLLARS
TOTAL TIME AND
SAVINGS DEPOSITS
- 180
TIME AND SAVINGS DEPOSITS180
OTHER THAN CD'S
NONDEPOSIT SOURCES
/ - 20
Table 1
PATHS OF KEY MONETARY AGGREGATES
SEASONALLY ADJUSTED
STRICTLY CON FIDENTIAL (FR)
NOVEMBER 13, 1970
Adjusted Money Supply Money Supply U.S. Government Time Deposit Total Reserves
Credit Proxy As Published Adjusted Demand Deposits
Period 1 Path 2 3 Path 4 5 Path 6 7 Path 8 9 Path 10
1 1 path 12
as of Current as of Current as of Current as of Current
as of Current as of Current
Oct. 20 Proj Oct. 20 Projl Oct. 20 Pro Oct 20 Proj.",3,"No Sentences Alternative C",0,"No Sentences Alternative D",0
1970-12-15,1970-12-15,18,7,"Alternative A, Alternative B, Alternative C, Alternative D","(8), (9), (10), (11), (15), (17), (19)","Alternative A involves a 5 per cent
money growth rate; alternative B, 6 per cent; and alternative C, 7 per
cent. Under alternative A, such growth is projected to be a
little less in the first quarter than in the fourth, but under alterna-
tives B and C, time deposits are assumed to grow somewhat more rapidly
because market interest rates would be relatively lower. Annual rates of increase
in money supply
Federal funds rate 4th Qtr. 1st Qtr.
Alternative A 5--5-1/2 5% 5%
B 4-5/8--5-1/8 5% 67. C 4-1/4--4-3/4 5% 77
Weekly figures for the aggregates between now and the next FOMC meeting
consistent with these paths are shown in the table on page 9..
(11) In the case of alternative A, the Federal funds range
is wide enough to allow for some tightening from recent levels. If demand for money at given Federal funds rates
continues to be greater than anticipated--as a result of financial
transactions or the need to finance a temporary large post-strike bulge
in GNP--the Committee may be faced with the possibility of either per-
mitting the Federal funds rate to rise above the ranges shown in
paragraph (10) for any particular alternative chosen, or permitting,
at least temporarily, a higher money growth rate than contemplated..
(15) Alternative A.",5,"Alternative A involves a 5 per cent
money growth rate; alternative B, 6 per cent; and alternative C, 7 per
cent. While some rise in the Federal funds rate would not
necessarily be inconsistent with continued declines in long-term rates,
particularly if over-all credit demands slacken, it is assumed that the
Committee would not want to indicate that it was seeking ""to promote""
some easing of credit market conditions under a policy course that
contemplates the possibility of some firming of money market conditions..
(17) Alternative B.",2,"Alternative A involves a 5 per cent
money growth rate; alternative B, 6 per cent; and alternative C, 7 per
cent. Under alternative C, declining market interest rates would
very likely encourage some further shift away from Euro-dollar borrow-
ings absent additional Board action. (8) Alternative C.",3,"Deletion of the word ""some"" from the statement that ""the Committee
seeks to promote some easing of conditions in credit markets"" is
suggested because of the greater degree of credit market easing likely
to ensue under this policy course..
(19) Alternative D.",1
