macro_variable,meeting_date,forecast_date,projection
gRPCE,19881026,1988.1,4.5
gRPCE,19881026,1988.2,3.0
gRPCE,19881026,1988.3,3.9
gRPCE,19881026,1988.4,2.0
gRPCE,19881026,1989.1,2.4
gRPCE,19881026,1989.2,1.9
gRPCE,19881026,1989.3,1.9
gRPCE,19881026,1989.4,1.8
gRPCE,19881207,1988.3,4.0
gRPCE,19881207,1988.4,2.4
gRPCE,19881207,1989.1,3.5
gRPCE,19881207,1989.2,2.4
gRPCE,19881207,1989.3,2.4
gRPCE,19881207,1989.4,1.8
gRPCE,19881207,1990.1,0.8
gRPCE,19881207,1990.2,0.6
gRPCE,19881207,1990.3,0.4
gRPCE,19881207,1990.4,0.7
gRPCE,19890201,1988.3,3.9
gRPCE,19890201,1988.4,2.8
gRPCE,19890201,1989.1,3.5
gRPCE,19890201,1989.2,3.0
gRPCE,19890201,1989.3,2.2
gRPCE,19890201,1989.4,1.6
gRPCE,19890201,1990.1,0.8
gRPCE,19890201,1990.2,0.5
gRPCE,19890201,1990.3,0.6
gRPCE,19890201,1990.4,0.9
gRPCE,19890322,1988.3,3.9
gRPCE,19890322,1988.4,3.5
gRPCE,19890322,1989.1,2.6
gRPCE,19890322,1989.2,4.1
gRPCE,19890322,1989.3,2.7
gRPCE,19890322,1989.4,1.3
gRPCE,19890322,1990.1,1.0
gRPCE,19890322,1990.2,0.7
gRPCE,19890322,1990.3,0.6
gRPCE,19890322,1990.4,0.9
gRPCE,19890510,1988.3,3.9
gRPCE,19890510,1988.4,3.5
gRPCE,19890510,1989.1,1.3
gRPCE,19890510,1989.2,3.1
gRPCE,19890510,1989.3,2.4
gRPCE,19890510,1989.4,1.4
gRPCE,19890510,1990.1,1.6
gRPCE,19890510,1990.2,0.9
gRPCE,19890510,1990.3,0.8
gRPCE,19890510,1990.4,1.1
gRPCE,19890628,1988.3,3.9
gRPCE,19890628,1988.4,3.5
gRPCE,19890628,1989.1,1.3
gRPCE,19890628,1989.2,1.4
gRPCE,19890628,1989.3,2.2
gRPCE,19890628,1989.4,1.3
gRPCE,19890628,1990.1,1.6
gRPCE,19890628,1990.2,1.3
gRPCE,19890628,1990.3,1.3
gRPCE,19890628,1990.4,1.5
gRPCE,19890816,1988.3,3.3
gRPCE,19890816,1988.4,3.0
gRPCE,19890816,1989.1,2.0
gRPCE,19890816,1989.2,1.1
gRPCE,19890816,1989.3,3.8
gRPCE,19890816,1989.4,1.9
gRPCE,19890816,1990.1,2.6
gRPCE,19890816,1990.2,1.5
gRPCE,19890816,1990.3,1.6
gRPCE,19890816,1990.4,1.7
gRPCE,19890927,1988.3,3.3
gRPCE,19890927,1988.4,3.0
gRPCE,19890927,1989.1,2.0
gRPCE,19890927,1989.2,1.9
gRPCE,19890927,1989.3,4.7
gRPCE,19890927,1989.4,1.6
gRPCE,19890927,1990.1,2.6
gRPCE,19890927,1990.2,1.6
gRPCE,19890927,1990.3,1.6
gRPCE,19890927,1990.4,1.6
gRPCE,19890927,1991.1,1.4
gRPCE,19890927,1991.2,1.4
gRPCE,19890927,1991.3,1.2
gRPCE,19890927,1991.4,1.2
gRPCE,19891108,1988.4,3.0
gRPCE,19891108,1989.1,2.0
gRPCE,19891108,1989.2,1.9
gRPCE,19891108,1989.3,5.8
gRPCE,19891108,1989.4,1.8
gRPCE,19891108,1990.1,2.9
gRPCE,19891108,1990.2,1.8
gRPCE,19891108,1990.3,1.5
gRPCE,19891108,1990.4,1.5
gRPCE,19891108,1991.1,1.4
gRPCE,19891108,1991.2,1.3
gRPCE,19891108,1991.3,1.2
gRPCE,19891108,1991.4,1.3
gRPCE,19891213,1988.4,3.0
gRPCE,19891213,1989.1,2.0
gRPCE,19891213,1989.2,1.9
gRPCE,19891213,1989.3,6.2
gRPCE,19891213,1989.4,-0.3
gRPCE,19891213,1990.1,4.5
gRPCE,19891213,1990.2,2.0
gRPCE,19891213,1990.3,1.5
gRPCE,19891213,1990.4,1.4
gRPCE,19891213,1991.1,1.5
gRPCE,19891213,1991.2,1.6
gRPCE,19891213,1991.3,1.6
gRPCE,19891213,1991.4,1.7
gRPCE,19900131,1989.3,5.6
gRPCE,19900131,1989.4,-0.1
gRPCE,19900131,1990.1,2.2
gRPCE,19900131,1990.2,2.7
gRPCE,19900131,1990.3,1.5
gRPCE,19900131,1990.4,1.5
gRPCE,19900131,1991.1,1.6
gRPCE,19900131,1991.2,1.6
gRPCE,19900131,1991.3,1.7
gRPCE,19900131,1991.4,1.7
gRPCE,19900321,1989.3,5.6
gRPCE,19900321,1989.4,0.4
gRPCE,19900321,1990.1,1.7
gRPCE,19900321,1990.2,3.3
gRPCE,19900321,1990.3,2.3
gRPCE,19900321,1990.4,1.8
gRPCE,19900321,1991.1,1.4
gRPCE,19900321,1991.2,1.5
gRPCE,19900321,1991.3,1.5
gRPCE,19900321,1991.4,1.5
gRPCE,19900509,1989.3,5.6
gRPCE,19900509,1989.4,0.5
gRPCE,19900509,1990.1,2.5
gRPCE,19900509,1990.2,2.1
gRPCE,19900509,1990.3,2.4
gRPCE,19900509,1990.4,2.0
gRPCE,19900509,1991.1,1.7
gRPCE,19900509,1991.2,1.5
gRPCE,19900509,1991.3,1.6
gRPCE,19900509,1991.4,1.8
gRPCE,19900627,1989.3,5.6
gRPCE,19900627,1989.4,0.5
gRPCE,19900627,1990.1,1.6
gRPCE,19900627,1990.2,0.6
gRPCE,19900627,1990.3,2.0
gRPCE,19900627,1990.4,1.7
gRPCE,19900627,1991.1,1.7
gRPCE,19900627,1991.2,1.9
gRPCE,19900627,1991.3,2.0
gRPCE,19900627,1991.4,2.1
gRPCE,19900815,1989.3,4.6
gRPCE,19900815,1989.4,-0.8
gRPCE,19900815,1990.1,1.1
gRPCE,19900815,1990.2,-0.3
gRPCE,19900815,1990.3,1.7
gRPCE,19900815,1990.4,0.6
gRPCE,19900815,1991.1,1.5
gRPCE,19900815,1991.2,1.8
gRPCE,19900815,1991.3,2.0
gRPCE,19900815,1991.4,1.8
gRPCE,19900815,1992.1,2.0
gRPCE,19900815,1992.2,2.0
gRPCE,19900815,1992.3,2.1
gRPCE,19900815,1992.4,2.0
gRPCE,19900926,1989.3,4.6
gRPCE,19900926,1989.4,-0.8
gRPCE,19900926,1990.1,1.1
gRPCE,19900926,1990.2,0.2
gRPCE,19900926,1990.3,2.6
gRPCE,19900926,1990.4,-0.7
gRPCE,19900926,1991.1,0.5
gRPCE,19900926,1991.2,1.7
gRPCE,19900926,1991.3,1.8
gRPCE,19900926,1991.4,1.4
gRPCE,19900926,1992.1,1.6
gRPCE,19900926,1992.2,1.6
gRPCE,19900926,1992.3,1.7
gRPCE,19900926,1992.4,1.6
gRPCE,19901107,1989.4,-0.8
gRPCE,19901107,1990.1,1.1
gRPCE,19901107,1990.2,0.2
gRPCE,19901107,1990.3,3.6
gRPCE,19901107,1990.4,-1.7
gRPCE,19901107,1991.1,-1.5
gRPCE,19901107,1991.2,1.5
gRPCE,19901107,1991.3,1.4
gRPCE,19901107,1991.4,1.5
gRPCE,19901107,1992.1,1.6
gRPCE,19901107,1992.2,1.7
gRPCE,19901107,1992.3,1.6
gRPCE,19901107,1992.4,1.6
gRPCE,19901212,1989.4,-0.8
gRPCE,19901212,1990.1,1.1
gRPCE,19901212,1990.2,0.2
gRPCE,19901212,1990.3,3.2
gRPCE,19901212,1990.4,-2.5
gRPCE,19901212,1991.1,-1.6
gRPCE,19901212,1991.2,2.5
gRPCE,19901212,1991.3,1.4
gRPCE,19901212,1991.4,1.5
gRPCE,19901212,1992.1,1.7
gRPCE,19901212,1992.2,1.8
gRPCE,19901212,1992.3,1.8
gRPCE,19901212,1992.4,1.8
gRPCE,19910130,1990.1,1.1
gRPCE,19910130,1990.2,0.2
gRPCE,19910130,1990.3,2.7
gRPCE,19910130,1990.4,-3.1
gRPCE,19910130,1991.1,-1.5
gRPCE,19910130,1991.2,2.5
gRPCE,19910130,1991.3,1.7
gRPCE,19910130,1991.4,2.0
gRPCE,19910130,1992.1,2.1
gRPCE,19910130,1992.2,2.2
gRPCE,19910130,1992.3,2.2
gRPCE,19910130,1992.4,2.2
gRPCE,19910320,1990.1,1.1
gRPCE,19910320,1990.2,0.2
gRPCE,19910320,1990.3,2.7
gRPCE,19910320,1990.4,-2.9
gRPCE,19910320,1991.1,-3.5
gRPCE,19910320,1991.2,3.6
gRPCE,19910320,1991.3,3.0
gRPCE,19910320,1991.4,2.6
gRPCE,19910320,1992.1,2.6
gRPCE,19910320,1992.2,2.6
gRPCE,19910320,1992.3,2.5
gRPCE,19910320,1992.4,2.5
gRPCE,19910508,1990.2,0.2
gRPCE,19910508,1990.3,2.7
gRPCE,19910508,1990.4,-3.4
gRPCE,19910508,1991.1,-1.4
gRPCE,19910508,1991.2,1.5
gRPCE,19910508,1991.3,2.7
gRPCE,19910508,1991.4,2.5
gRPCE,19910508,1992.1,2.8
gRPCE,19910508,1992.2,2.8
gRPCE,19910508,1992.3,2.7
gRPCE,19910508,1992.4,2.6
gRPCE,19910628,1990.2,0.2
gRPCE,19910628,1990.3,2.7
gRPCE,19910628,1990.4,-3.4
gRPCE,19910628,1991.1,-1.5
gRPCE,19910628,1991.2,3.4
gRPCE,19910628,1991.3,2.2
gRPCE,19910628,1991.4,2.5
gRPCE,19910628,1992.1,3.0
gRPCE,19910628,1992.2,2.8
gRPCE,19910628,1992.3,2.7
gRPCE,19910628,1992.4,2.7
gRPCE,19910814,1990.3,2.7
gRPCE,19910814,1990.4,-3.4
gRPCE,19910814,1991.1,-1.5
gRPCE,19910814,1991.2,3.6
gRPCE,19910814,1991.3,2.1
gRPCE,19910814,1991.4,2.1
gRPCE,19910814,1992.1,2.8
gRPCE,19910814,1992.2,3.0
gRPCE,19910814,1992.3,2.9
gRPCE,19910814,1992.4,2.8
gRPCE,19910814,1993.1,2.7
gRPCE,19910814,1993.2,2.6
gRPCE,19910814,1993.3,2.6
gRPCE,19910814,1993.4,2.5
gRPCE,19910925,1990.3,2.7
gRPCE,19910925,1990.4,-3.4
gRPCE,19910925,1991.1,-1.5
gRPCE,19910925,1991.2,2.8
gRPCE,19910925,1991.3,3.8
gRPCE,19910925,1991.4,1.7
gRPCE,19910925,1992.1,2.5
gRPCE,19910925,1992.2,2.9
gRPCE,19910925,1992.3,3.1
gRPCE,19910925,1992.4,2.9
gRPCE,19910925,1993.1,2.8
gRPCE,19910925,1993.2,2.7
gRPCE,19910925,1993.3,2.7
gRPCE,19910925,1993.4,2.6
gRPCE,19911030,1990.4,-3.4
gRPCE,19911030,1991.1,-1.5
gRPCE,19911030,1991.2,2.5
gRPCE,19911030,1991.3,3.8
gRPCE,19911030,1991.4,0.6
gRPCE,19911030,1992.1,1.7
gRPCE,19911030,1992.2,2.5
gRPCE,19911030,1992.3,3.3
gRPCE,19911030,1992.4,3.7
gRPCE,19911030,1993.1,3.3
gRPCE,19911030,1993.2,3.1
gRPCE,19911030,1993.3,3.0
gRPCE,19911030,1993.4,2.9
gRPCE,19911211,1990.4,-3.5
gRPCE,19911211,1991.1,-1.3
gRPCE,19911211,1991.2,1.4
gRPCE,19911211,1991.3,2.3
gRPCE,19911211,1991.4,-1.0
gRPCE,19911211,1992.1,0.8
gRPCE,19911211,1992.2,1.9
gRPCE,19911211,1992.3,2.6
gRPCE,19911211,1992.4,3.1
gRPCE,19911211,1993.1,3.5
gRPCE,19911211,1993.2,3.6
gRPCE,19911211,1993.3,3.6
gRPCE,19911211,1993.4,3.6
gRPCE,19920130,1991.1,-1.3
gRPCE,19920130,1991.2,1.4
gRPCE,19920130,1991.3,2.3
gRPCE,19920130,1991.4,-1.1
gRPCE,19920130,1992.1,1.1
gRPCE,19920130,1992.2,2.2
gRPCE,19920130,1992.3,2.9
gRPCE,19920130,1992.4,3.3
gRPCE,19920130,1993.1,3.8
gRPCE,19920130,1993.2,3.7
gRPCE,19920130,1993.3,3.4
gRPCE,19920130,1993.4,3.3
gRPCE,19920325,1991.1,-1.3
gRPCE,19920325,1991.2,1.4
gRPCE,19920325,1991.3,2.3
gRPCE,19920325,1991.4,-0.2
gRPCE,19920325,1992.1,4.3
gRPCE,19920325,1992.2,2.4
gRPCE,19920325,1992.3,3.1
gRPCE,19920325,1992.4,3.7
gRPCE,19920325,1993.1,3.4
gRPCE,19920325,1993.2,3.1
gRPCE,19920325,1993.3,2.9
gRPCE,19920325,1993.4,2.8
gRPCE,19920514,1991.2,1.4
gRPCE,19920514,1991.3,2.3
gRPCE,19920514,1991.4,0.0
gRPCE,19920514,1992.1,5.3
gRPCE,19920514,1992.2,1.9
gRPCE,19920514,1992.3,3.1
gRPCE,19920514,1992.4,3.4
gRPCE,19920514,1993.1,3.2
gRPCE,19920514,1993.2,3.0
gRPCE,19920514,1993.3,2.8
gRPCE,19920514,1993.4,2.7
gRPCE,19920626,1991.2,1.4
gRPCE,19920626,1991.3,2.3
gRPCE,19920626,1991.4,0.0
gRPCE,19920626,1992.1,5.0
gRPCE,19920626,1992.2,1.0
gRPCE,19920626,1992.3,2.3
gRPCE,19920626,1992.4,2.8
gRPCE,19920626,1993.1,2.8
gRPCE,19920626,1993.2,2.8
gRPCE,19920626,1993.3,2.8
gRPCE,19920626,1993.4,2.9
gRPCE,19920813,1991.3,1.5
gRPCE,19920813,1991.4,-0.3
gRPCE,19920813,1992.1,5.1
gRPCE,19920813,1992.2,-0.3
gRPCE,19920813,1992.3,1.9
gRPCE,19920813,1992.4,2.5
gRPCE,19920813,1993.1,2.9
gRPCE,19920813,1993.2,2.8
gRPCE,19920813,1993.3,2.8
gRPCE,19920813,1993.4,3.0
gRPCE,19920813,1994.1,2.9
gRPCE,19920813,1994.2,2.9
gRPCE,19920813,1994.3,2.9
gRPCE,19920813,1994.4,2.9
gRPCE,19920930,1991.3,1.5
gRPCE,19920930,1991.4,-0.3
gRPCE,19920930,1992.1,5.1
gRPCE,19920930,1992.2,-0.1
gRPCE,19920930,1992.3,3.5
gRPCE,19920930,1992.4,1.2
gRPCE,19920930,1993.1,1.8
gRPCE,19920930,1993.2,1.9
gRPCE,19920930,1993.3,2.6
gRPCE,19920930,1993.4,3.8
gRPCE,19920930,1994.1,3.8
gRPCE,19920930,1994.2,3.6
gRPCE,19920930,1994.3,3.4
gRPCE,19920930,1994.4,3.1
gRPCE,19921112,1991.4,-0.3
gRPCE,19921112,1992.1,5.1
gRPCE,19921112,1992.2,-0.1
gRPCE,19921112,1992.3,3.4
gRPCE,19921112,1992.4,2.0
gRPCE,19921112,1993.1,2.3
gRPCE,19921112,1993.2,2.1
gRPCE,19921112,1993.3,2.6
gRPCE,19921112,1993.4,3.2
gRPCE,19921112,1994.1,3.3
gRPCE,19921112,1994.2,3.6
gRPCE,19921112,1994.3,3.1
gRPCE,19921112,1994.4,2.8
gRPCE,19921216,1991.4,-0.3
gRPCE,19921216,1992.1,5.1
gRPCE,19921216,1992.2,-0.1
gRPCE,19921216,1992.3,3.7
gRPCE,19921216,1992.4,4.7
gRPCE,19921216,1993.1,3.0
gRPCE,19921216,1993.2,2.9
gRPCE,19921216,1993.3,3.1
gRPCE,19921216,1993.4,3.3
gRPCE,19921216,1994.1,3.2
gRPCE,19921216,1994.2,3.3
gRPCE,19921216,1994.3,3.2
gRPCE,19921216,1994.4,3.0
gRPCE,19930129,1992.1,5.1
gRPCE,19930129,1992.2,-0.1
gRPCE,19930129,1992.3,3.7
gRPCE,19930129,1992.4,4.3
gRPCE,19930129,1993.1,2.6
gRPCE,19930129,1993.2,3.3
gRPCE,19930129,1993.3,3.1
gRPCE,19930129,1993.4,3.3
gRPCE,19930129,1994.1,3.1
gRPCE,19930129,1994.2,3.5
gRPCE,19930129,1994.3,3.2
gRPCE,19930129,1994.4,3.3
gRPCE,19930317,1992.1,5.1
gRPCE,19930317,1992.2,-0.1
gRPCE,19930317,1992.3,3.7
gRPCE,19930317,1992.4,4.8
gRPCE,19930317,1993.1,3.2
gRPCE,19930317,1993.2,3.3
gRPCE,19930317,1993.3,2.7
gRPCE,19930317,1993.4,2.9
gRPCE,19930317,1994.1,2.9
gRPCE,19930317,1994.2,3.1
gRPCE,19930317,1994.3,2.8
gRPCE,19930317,1994.4,2.9
gRPCE,19930514,1992.2,-0.1
gRPCE,19930514,1992.3,3.7
gRPCE,19930514,1992.4,5.1
gRPCE,19930514,1993.1,1.2
