meeting_date,article_date,source,headline,content
2003-08-12 00:00:00,2003-08-13 00:00:00,The New York Times,Fed's Stance on Low Rates Could Be Nudge Stocks Need,
2003-08-12 00:00:00,2003-08-13 00:00:00,The New York Times,Fed Maintains Its Key Rate And Suggests No Shift Soon,
2003-08-12 00:00:00,2003-08-13 00:00:00,The New York Times,Fed Statement on Rates,
2003-08-12 00:00:00,2003-08-13 00:00:00,The Wall Street Journal,Currency Trading: Dollar Finishes Mostly Higher But Remains in Narrow Range,
2007-03-21 00:00:00,2007-03-22 00:00:00,The Wall Street Journal,"Hovnanian, Beazer Rise On Fed Note",
2007-03-21 00:00:00,2007-03-22 00:00:00,The New York Times,Text of the Fed's Statement,
2008-09-16 00:00:00,2008-09-17 00:00:00,The New York Times,Text of the Fed Statement,
2008-09-16 00:00:00,2008-09-17 00:00:00,The New York Times,"Challenged On 2 Fronts, Fed Leaves Rate Alone",
2004-05-04 00:00:00,2004-05-05 00:00:00,The New York Times,"Fed Toughens Rate Hints, Seeing a Rise As 'Measured' [CORRECTED]",
2004-05-04 00:00:00,2004-05-05 00:00:00,The New York Times,Fed Statement About Rates,
2004-05-04 00:00:00,2004-05-05 00:00:00,The Wall Street Journal,Fed Accompli,
2004-05-04 00:00:00,2004-05-05 00:00:00,The Wall Street Journal,Long-Dated Treasurys Plunge On Fed's Inflation Assessment --- Market Fears Policy Makers Aren't Aggressive Enough; Two-Year Notes Are Steady,
2001-05-15 00:00:00,2001-05-16 00:00:00,The New York Times,Text of Fed's Statement,
2001-05-15 00:00:00,2001-05-16 00:00:00,The New York Times,"CITING DOWNTURN, FED LOWERS RATES 5TH TIME THIS YEAR",
2006-10-25 00:00:00,2006-10-26 00:00:00,The Wall Street Journal,Fed Again Leaves Rates Unchanged --- Central Bank Remains Worried About Inflation But Sees Pressures Easing,
2006-10-25 00:00:00,2006-10-26 00:00:00,The Wall Street Journal,Dollar Eases as Fed Stands Pat,
2006-10-25 00:00:00,2006-10-26 00:00:00,The New York Times,Fed Again Leaves Rate Unchanged,
2006-10-25 00:00:00,2006-10-26 00:00:00,The New York Times,Fed Panel's Statement on Interest Rates,
1989-02-08 00:00:00,1989-02-09 00:00:00,The Wall Street Journal,"Dollar Is Pushed Lower by Uncertainty About Bush Budget, Fear of Intervention",
1999-10-05 00:00:00,1999-10-06 00:00:00,The New York Times,"Fed Leaves Rates Steady, For This Time",
2007-10-31 00:00:00,2007-11-01 00:00:00,The New York Times,Text of the Fed's Statement on Cutting Interest Rates,
2007-10-31 00:00:00,2007-11-01 00:00:00,The Wall Street Journal,Dollar Drops Further Vs. Euro on Rate Cut --- Canadian Currency Also Hits a High,
2007-10-31 00:00:00,2007-11-01 00:00:00,The Wall Street Journal,Fed's Rate Cut Could Be Last For a While,
1989-10-03 00:00:00,1989-10-04 00:00:00,The Wall Street Journal,The Fed's Costly Trips to the Market,
1994-11-15 00:00:00,1994-11-16 00:00:00,The New York Times,FEDERAL RESERVE INCREASES INTEREST RATES BY 3/4 POINT; JUMP IS LARGEST SINCE 1981,
1994-11-15 00:00:00,1994-11-16 00:00:00,The New York Times,CREDIT MARKETS; Long-Bond Yield Dips After Fed's Tightening,
1995-03-28 00:00:00,1995-03-29 00:00:00,The New York Times,"The Fed Meets, and Doesn't Raise Rates",
2008-06-25 00:00:00,2008-06-26 00:00:00,The Wall Street Journal,Dollar Declines Against Euro,
2008-06-25 00:00:00,2008-06-26 00:00:00,The New York Times,Text of the Federal Reserve's Statement,
1997-07-02 00:00:00,1997-07-03 00:00:00,The Wall Street Journal,Fed Leaves Interest Rates Unchanged --- Low Inflation Is Decisive; Economists Are Divided On Rise in Near Future,
1996-05-21 00:00:00,1996-05-22 00:00:00,The New York Times,BUSINESS DIGEST,
1998-09-29 00:00:00,1998-09-30 00:00:00,The New York Times,FEDERAL RESERVE LOWERS KEY RATE BY QUARTER-POINT,
1998-09-29 00:00:00,1998-09-30 00:00:00,The New York Times,Text of Release From the Fed,
2004-12-14 00:00:00,2004-12-15 00:00:00,The New York Times,Federal Reserve Statement on Rate Increase,
2004-12-14 00:00:00,2004-12-15 00:00:00,The Wall Street Journal,"Fed Raises Interest-Rate Target For 5th Time This Year, to 2.25% --- Central Bank Shows No Sign It Will Change the Pace Of Adjustments Next...",
2004-12-14 00:00:00,2004-12-15 00:00:00,The Wall Street Journal,Dow Industrials Getting Closer To 2004 High,
2004-12-14 00:00:00,2004-12-15 00:00:00,The Wall Street Journal,Lumber Rises as Duty Reduction Is Smaller Than Market Expected,
2006-01-31 00:00:00,2006-02-01 00:00:00,The Wall Street Journal,"Fed Lifts Rate by Quarter Point, Casts Doubt on More Increases --- Last Act Under Greenspan Leaves Space for Successor To Chart the Next...",
2006-01-31 00:00:00,2006-02-01 00:00:00,The Wall Street Journal,Short-Term Treasurys Take a Setback,
2006-01-31 00:00:00,2006-02-01 00:00:00,The New York Times,"Exit Greenspan, Amid Questions on Economy",
2006-01-31 00:00:00,2006-02-01 00:00:00,The New York Times,Text of the Fed's Statement on Interest Rates,
2002-03-19 00:00:00,2002-03-20 00:00:00,The Wall Street Journal,Money Rates,
2002-03-19 00:00:00,2002-03-20 00:00:00,The Wall Street Journal,"Fed Gives First Hint of Future Tightening --- Interest Rates Aren't Changed, But Inflation Is as Big Risk As a Weak Economy Now",
2002-03-19 00:00:00,2002-03-20 00:00:00,The New York Times,Fed Leaves Rates Steady; Hints Increases May Be Coming,
2002-03-19 00:00:00,2002-03-20 00:00:00,The New York Times,Statement by Fed Panel,
2001-01-31 00:00:00,2001-02-01 00:00:00,The Wall Street Journal,"Psychology Test: Latest Fed Rate Cut Combats a Contagion Of Low Confidence --- Amid New Signs of Gloom, Anxiety About Recession Could Be...",
2001-01-31 00:00:00,2001-02-01 00:00:00,The New York Times,Text of the Fed Statement on Rate Cuts,
2005-03-22 00:00:00,2005-03-23 00:00:00,The New York Times,Fed Lifts Rate 7th Time in Year And Warns of Greater Inflation,
2005-03-22 00:00:00,2005-03-23 00:00:00,The New York Times,Text of the Fed Statement on Interest Rates,
2005-03-22 00:00:00,2005-03-23 00:00:00,The Wall Street Journal,"Yields Continue Upward March As Inflation Concerns Mount --- Ten-Year Note Tops 4. 60%, A Higher Level Than When Rate Increases Were Started",
2005-03-22 00:00:00,2005-03-23 00:00:00,The Wall Street Journal,"Dollar Gains Against Competitors, Potentially Offering Some Shelter",
1999-11-16 00:00:00,1999-11-17 00:00:00,The New York Times,SHORT-TERM RATES ARE RAISED BY FED A QUARTER-POINT,
1999-11-16 00:00:00,1999-11-17 00:00:00,The New York Times,Text of Decision by Monetary Committee,
1999-11-16 00:00:00,1999-11-17 00:00:00,The New York Times,Shares Rally on Fed's Action; Dow Jumps 171.58 Points,
1994-12-20 00:00:00,1994-12-21 00:00:00,The New York Times,CREDIT MARKETS; Bills Gain On Inaction By the Fed,
1994-12-20 00:00:00,1994-12-21 00:00:00,The New York Times,The Fed Forgoes a Seventh Rate Increase,
1994-03-22 00:00:00,1994-03-23 00:00:00,The New York Times,CREDIT MARKETS; Interest Rates Tumble After Fed Acts Again,
1994-03-22 00:00:00,1994-03-23 00:00:00,The New York Times,FEDERAL RESERVE MOVES ONCE AGAIN TO RAISE KEY RATE,
1990-12-18 00:00:00,1990-12-19 00:00:00,The Wall Street Journal,Dollar Falls Across the Board as Fed Cuts Discount Rate to 6.5% from 7%,
1990-12-18 00:00:00,1990-12-19 00:00:00,The New York Times,FED CUTS KEY RATE TO BOLSTER FIGHT AGAINST RECESSION,
1995-05-23 00:00:00,1995-05-24 00:00:00,The New York Times,CREDIT MARKETS; Bond Rally Sends Rates Downward,
1995-05-23 00:00:00,1995-05-24 00:00:00,The New York Times,Fed Policy Makers Decide To Leave Rates Unchanged,
1989-05-16 00:00:00,1989-05-17 00:00:00,The Wall Street Journal,Rallies Fade For Stocks And Dollar --- Bond Prices Edge Up; Fear of Missing Out Checks Equities' Fall,
1991-12-17 00:00:00,1991-12-18 00:00:00,The Wall Street Journal,New York Fed Picks McDonough to Lead Foreign Operations,
1991-12-17 00:00:00,1991-12-18 00:00:00,The New York Times,Housing Starts Dropped 2.1% in November,
1994-08-16 00:00:00,1994-08-17 00:00:00,The New York Times,CREDIT MARKETS; Rate Move Buoys Price Of Bonds,
1994-08-16 00:00:00,1994-08-17 00:00:00,The New York Times,FEDERAL RESERVE RAISES KEY RATES TO COOL ECONOMY,
1999-06-30 00:00:00,1999-07-01 00:00:00,The New York Times,"FED RAISES A RATE, BUT THEN SUGGESTS THAT MAY SUFFICE",
1999-06-30 00:00:00,1999-07-01 00:00:00,The New York Times,Fed Statement on Rates,
2003-03-18 00:00:00,2003-03-19 00:00:00,The Wall Street Journal,Vanguard Bond Advice Is Unheeded --- Firm's Urgings Not to Pile Into Fixed-Income Funds Aren't Followed by Investors,
2003-03-18 00:00:00,2003-03-19 00:00:00,The Wall Street Journal,"Currency Trading: Dollar Continues to Move Up, But Iraq Events May Stop Gains",
2003-03-18 00:00:00,2003-03-19 00:00:00,The Wall Street Journal,The Economy: Fed Holds Rates Steady but Omits Risk Assessment,
2003-03-18 00:00:00,2003-03-19 00:00:00,The New York Times,Fed Leaves Interest Rates Unchanged,
2003-03-18 00:00:00,2003-03-19 00:00:00,The New York Times,Text of Statement From Federal Reserve,
2005-06-30 00:00:00,2005-07-01 00:00:00,The New York Times,Fed Board Keeps Its Measured Pace for 9th Time,
2005-06-30 00:00:00,2005-07-01 00:00:00,The New York Times,Text of Fed Statement on Rates,
2005-06-30 00:00:00,2005-07-01 00:00:00,The Wall Street Journal,Fed Lifts Rates for 9th Time in Year --- Comments Suggest No Sign Of Pause in Measured Steps Despite Bond Market Worry,
2005-06-30 00:00:00,2005-07-01 00:00:00,The Wall Street Journal,Dollar Rises Strongly Against Yen Yielding A 39-Week High,
2005-06-30 00:00:00,2005-07-01 00:00:00,The Wall Street Journal,"Market's Margin for Error Narrows --- Many Investors Bet the Fed Will Pause in Raising Rates; Waiting, Hoping for a Hint",
2003-01-29 00:00:00,2003-01-30 00:00:00,The Wall Street Journal,"Treasury Prices Decline Following Fed Decision --- Central Bank's Assessment Of Risk Didn't Change, Disappointing Investors",
2003-01-29 00:00:00,2003-01-30 00:00:00,The New York Times,Fed Leaves Key Short-Term Rate Unchanged at 1.25%,
2003-01-29 00:00:00,2003-01-30 00:00:00,The New York Times,Text of Statement by Panel of Fed,
2006-08-08 00:00:00,2006-08-09 00:00:00,The New York Times,Text of Fed's Statement on Rates,
2006-08-08 00:00:00,2006-08-09 00:00:00,The Wall Street Journal,"Fed Pause Aims To Balance Risks Facing Economy --- Central Bank Holds Rates At 5.25%, but Says Inflation May Prompt More Increases",
2006-08-08 00:00:00,2006-08-09 00:00:00,The Wall Street Journal,Dollar Eases After Fed Matches Expectations With Rate Pause,
2003-06-25 00:00:00,2003-06-26 00:00:00,The Wall Street Journal,"Currency Trading: Dollar Retreats, Then Recovers Following Fed Interest-Rate Cut",
2003-06-25 00:00:00,2003-06-26 00:00:00,The New York Times,Fed Statement On Decision To Cut Rate,
1997-02-05 00:00:00,1997-02-06 00:00:00,The New York Times,Fed's Policy-Making Panel Leaves Rates Unchanged,
1995-07-06 00:00:00,1995-07-07 00:00:00,The New York Times,CREDIT MARKETS; Interest Rate Cut By Fed Pushes Treasury Prices Up,
1998-11-17 00:00:00,1998-11-18 00:00:00,The New York Times,Federal Reserve Cuts Key Rates In Its 3d Attack on Global Slump,
1989-07-06 00:00:00,1989-07-07 00:00:00,The Wall Street Journal,"Tokyo Shares Advance Slightly in Dull Trading, But Stocks Fall Again in London and Frankfurt ---- A Wall Street Journal News Roundup",
1989-07-06 00:00:00,1989-07-07 00:00:00,The Wall Street Journal,Greenspan May Have Moved to Ease Credit Before This Week's Fed Meeting,
1989-07-06 00:00:00,1989-07-07 00:00:00,The New York Times,CREDIT MARKETS; Treasury Securities Inch Higher,
2001-08-21 00:00:00,2001-08-22 00:00:00,The Wall Street Journal,Dollar Slips Against the Yen and Euro In Wake of Fed Interest-Rate Reduction,
2001-08-21 00:00:00,2001-08-22 00:00:00,The Wall Street Journal,Money Rates,
2001-08-21 00:00:00,2001-08-22 00:00:00,The Wall Street Journal,"JDS Uniphase, Brocade Tumble As Rate Cut Reinforces Pessimism",
2001-08-21 00:00:00,2001-08-22 00:00:00,The Wall Street Journal,"Fed Cuts Rates to Lowest Level Since '94 --- Quarter-Point Reduction Tied to Slump Overseas, Weak Business Climate",
2001-08-21 00:00:00,2001-08-22 00:00:00,The Wall Street Journal,Dollar Slips Against the Yen and Euro In Wake of Fed Interest-Rate Reduction,
2001-08-21 00:00:00,2001-08-22 00:00:00,The New York Times,Text of Federal Reserve's Statement,
2007-09-18 00:00:00,2007-09-19 00:00:00,The New York Times,"Fed Cuts Rate Half Point, And Stock Markets Soar","WASHINGTON, Sept. 18 -- The Federal Reserve rolled out its most powerful interest rate weapon on Tuesday in a bid to stop the turmoil in housing and financial markets from bringing down the overall economy.    But even as stock markets soared in a thunderous rally, the Fed carefully stopped short of implying any commitment to reduce rates even more in the months ahead. Indeed, policy makers cautioned that they still have lingering worries about inflation -- a concern that would weigh against stimulating the economy further with cheaper money.    In reducing its benchmark interest rate by an unusually large one-half percentage point, to 4.75 percent from 5.25 percent, the central bank made it clear that policy makers viewed the turbulence and disruptions of the past couple of months as too dangerous to ignore.    The reaction in stock markets was ecstatic: the Dow Jones industrial average jumped 200 points almost instantly and ended the day up 335 points, or 2.51 percent, at 13,739.39.    The move was the Fed's first rate reduction of any kind in four years, the steepest in nearly five years and its most abrupt reversal of course since January 2001, when policy makers sharply cut rates at an unscheduled emergency meeting just before the last recession.    ''Shock therapy,'' summed up Ethan Harris, chief United States economist at  Lehman Brothers. For consumers, the Fed's move could mean lower borrowing costs for mortgages and automobile loans. But the impact may be muted, because investors remain deeply anxious about the credit quality of mortgages and other long-term loans. The main problem in the last month has not been high rates so much as the availability of capital to complete deals.    Analysts described the Fed's action as a bold attempt to restore confidence, with a quieter caveat that investors and consumers should not assume the certainty of more painkillers later this year.    ''The important policy debate now centers on the future interest rate path, but Fed officials left that more ambiguous,'' said Richard Berner, chief United States economist at  Morgan Stanley. Indeed, while many on Wall Street have been clamoring for an aggressive rate cut, some economists had warned against it, saying that it might send the wrong signal by bailing out those who contributed to the housing bubble and encourage future market excesses.    In both the bold stroke and the fine print, the Fed's move offered a revealing hint about Ben. S. Bernanke, the former professor from Princeton who took over as Fed chairman last year.    Mr. Bernanke, a champion of steady rules to guide monetary policy, has long been seen as more skeptical about reacting to financial turbulence than his predecessor, Alan Greenspan.    Mr. Bernanke, for example, made it clear that he did not want to rescue investors or real estate speculators who made bad decisions. But in shielding the economy from a downturn, the Fed will inevitably be helping some of the very people Mr. Bernanke did not want to help.    What seems to have driven Mr. Bernanke to act more boldly, analysts said, was the jolt from the Labor Department's unexpectedly poor employment report for August, which showed that the nation had lost jobs for the first time in four years.    Still, Mr. Bernanke's move was nothing if not a Greenspanian display of ''discretionary'' policy in response to trouble but before the signs of an economic downturn were unambiguous. And in doing so, he obtained unanimous agreement from other board members, even though some Fed officials have been dubious about the need for a rescue.    The Fed's course change has been under way since early August, when fears about huge losses on subprime mortgage loans and a continued downturn in housing caused a much broader panic in credit markets.    The resulting credit tightness has now affected all but the safest home mortgages and has also greatly reduced the ability of private equity funds and hedge funds to borrow money at low rates. Many banks, which had been planning to resell their loans into the giant market for tradable commercial debt securities, are now being forced to absorb loans that the securities markets will no longer take.    In the rate cut and an accompanying statement, the central bank acknowledged that the risks of a recession were too big to ignore.    ''The tightening of credit conditions has the potential to intensify the housing correction and restrain economic growth more generally,'' the Fed's policy-making committee said in its statement. ''Today's action is intended to forestall some of the adverse effects on the broader economy that might otherwise arise from the disruptions in financial markets.''    Leaving the door open for the possibility of additional rate cuts, the central bank said it would ''continue to assess'' the economic outlook and ''act as needed to foster price stability and sustainable economic growth.''    But while Fed policy makers abandoned previous statements that the risk of inflation was their ''predominant concern,'' they did not say that the risk of a downturn had replaced inflation as their main worry. Rather, they spoke of ''uncertainty'' and left it at that.    ''The Fed kept its cards much closer to its vest than anyone would have guessed,'' said David Rosenberg, chief North American economist for  Merrill Lynch. ''It's not at all clear they think they have more to do.''    Trading among investors indicated that Wall Street expects the central bank to keep cutting rates. Many analysts contend that it needs to cut twice as deeply as it has so far by early next year.    And in a sign that the politics of rate-cutting could become more bruising, at least one prominent Democrat quickly criticized the Fed's cautionary warning about inflation at a time of slowing growth. Representative Barney Frank, Democrat of Massachusetts and chairman of the House Financial Services Committee, said he was ''surprised'' by the Fed's statement.    ''I hope, in this instance, that markets and consumers will pay more attention to what the F.O.M.C. did than to what it said,'' Mr. Frank added, referring to the Federal Open Market Committee, which sets interest rates.    In a separate move to bolster the banking system, the Fed also said that it had cut its discount lending rate, which applies to short-term emergency loans to banks, by a half a percentage point, to 5.25 percent.    As in 2001, the Fed's move came after a panic in financial markets and the collapse of a speculative bubble. Today, the panic is in credit markets unnerved by dubious mortgages on inflated housing prices. Back then, it was the stock market that was in trouble, initially because the air went out of inflated dot-com stocks.    But the debate within the Fed was all about risk probabilities: what were the odds that the twin meltdowns in housing and mortgage markets would tip the overall economy into a recession?    If policy makers cut rates too cautiously, they risk a recession; if they cut them too much or too early, they risk stoking inflation.    Ever since the jobs data was released this month, it seemed clear that Fed policy makers were no longer debating whether to reduce rates but how much to lower them. A smaller rate reduction posed a risk of moving too slowly if the economy was indeed in danger of stalling. But a bigger rate reduction could have been taken as a sign of Fed panic, and it added to the risk of stoking inflationary pressures that the central bank had just begun to tamp down.    Just a few hours before the central bank announced its decision, new statistics indicated that the pace of home foreclosures was accelerating.    RealtyTrac of Irvine, Calif., reported that the number of foreclosure filings -- from default notices and auction sale notices to bank repossessions -- was 36 percent higher in August than in July and 115 percent higher than one year ago.    But except for the housing downturn, which Fed officials admit is much more severe than they had expected, the evidence of a recession in the real economy is indecisive. Global economic growth is much stronger than in 2001, and American exports have climbed about 14 percent over the last year.    Instead of the United States being the world's engine of growth, the global economy could now become the engine of American growth.    Many Wall Street economists place the odds of a recession at about one-in-three or somewhat higher. Mr. Greenspan puts the odds at somewhat more than the one-in-three that he estimated earlier this year.    On Aug. 17, the Federal Reserve moved to ease the liquidity crisis by encouraging banks to borrow money through its discount window, an outlet originally created as an emergency source of overnight funding for banks in a cash squeeze.    But by most accounts, the turmoil in the credit markets has abated very little. The market for subprime mortgages has all but disappeared and demand for all forms of asset-backed commercial paper -- which are securities backed by mortgages, credit card debt and company receivables -- remains very weak.    PHOTO: Analysts say Ben S. Bernanke, the Feds chairman, may have been jolted by the unexpectedly poor August employment data. (PHOTOGRAPH BY JASON REED/REUTERS)(pg. A19)    CHART: ''The Fed's Words'' The Federal Reserve today lowered its benchmark interest rate to 4.75%. In its policy statement announcing the rate change, the Fed left open the possibility of further rate cuts later this year, citing unusual uncertainty about the outlook for the economy and credit markets. (Source: Federal Reserve) GRAPH: ''Fed funds rate'' Graph show the annual inflation rate since 2001. (Sources: Federal Reserve; Bureau of Labor Statistics)   "
2007-09-18 00:00:00,2007-09-19 00:00:00,The Wall Street Journal,Rate Cut Drags Down Dollar To New Lows Against Euro --- Fed Move Pressures Yen by Reigniting The Carry Trade,
2007-09-18 00:00:00,2007-09-19 00:00:00,The Wall Street Journal,Fed Cut Aims to Contain Damage --- Stocks Soar as Bernanke Tackles Credit Crunch With Half-Point Move,
1990-03-27 00:00:00,1990-03-28 00:00:00,The Wall Street Journal,Programs Help Stocks Post Gains --- Prices of Bonds End Down a Bit Despite Dollar's Sharp Rise,
1996-01-31 00:00:00,1996-02-01 00:00:00,The New York Times,FEDERAL RESERVE TRIMS KEY RATES TO SPUR ECONOMY,
2000-08-22 00:00:00,2000-08-23 00:00:00,The Wall Street Journal,Money Rates,
2000-08-22 00:00:00,2000-08-23 00:00:00,The Wall Street Journal,Federal Reserve Leaves Rates Unchanged --- Specter of Inflation Remains A Concern as Economy Grows More Moderately,
2000-08-22 00:00:00,2000-08-23 00:00:00,The Wall Street Journal,"Financial Sector, Sensitive to Rates, Advances After Federal Reserve Decides to Hold Steady",
2000-08-22 00:00:00,2000-08-23 00:00:00,The New York Times,"Still Inflation-Wary, Fed Lets Rates Stand",
2000-08-22 00:00:00,2000-08-23 00:00:00,The New York Times,Text of Fed's Statement,
2009-04-29 00:00:00,2009-04-30 00:00:00,The Wall Street Journal,U.S. News: Fed Signals Its Intention to Stay the Course,
2009-04-29 00:00:00,2009-04-30 00:00:00,The Wall Street Journal,DreamWorks Shines As Ameristar Cashes In,
2009-04-29 00:00:00,2009-04-30 00:00:00,The New York Times,Text of the Federal Reserve's Statement on Interest Rates,
2007-06-28 00:00:00,2007-06-29 00:00:00,The New York Times,Text of Fed's Decision to Hold Rates Steady,
2007-06-28 00:00:00,2007-06-29 00:00:00,The Wall Street Journal,Treasurys Fall as Rates Hold --- Fed's Tough Stance On Inflation Leaves Investors Downcast,
2007-06-28 00:00:00,2007-06-29 00:00:00,The Wall Street Journal,Fed Sidesteps Inflation Question --- Policy Makers Don't Say If Reading Is Low Enough But Damp Rate-Cut Hopes,
2007-06-28 00:00:00,2007-06-29 00:00:00,The Wall Street Journal,Dollar Gains On Yen as Fed Eases Concerns,
1998-03-31 00:00:00,1998-04-01 00:00:00,The New York Times,Prices Up on Signs of Sound Economy and Scant Price Pressure,
